country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
GQ,ATE,Aseng FPSO,Aseng FPSO,,RL,------7-,,3.3666666666666667,9.133333333333333,
GQ,BSG,Bata,Bata,,RQ,1--45---,,1.9093582,9.80749101607464,true
GQ,BUL,Butuku-Luba,Butuku-Luba,,RQ,1-------,,,,
GQ,COG,Cogo,Cogo,,RQ,1-------,,1.086572,9.694291,true
GQ,KNT,Ebebiy�n,Ebebiyin,KN,RL,-23-----,,2.15,11.316666666666666,
GQ,LUB,Luba,Luba,BS,RQ,1-------,,3.459841,8.5544476,true
GQ,SSG,Malabo,Malabo,BN,AI,1--4----,,3.741877,8.7740663,true
GQ,GEM,Mongomeyen,Mongomeyen,WN,AI,--34----,,1.7,11.016666666666667,
GQ,MON,Mongomo,Mongomo,WN,RL,--3-----,,1.6166666666666667,11.3,
GQ,PET,Punta Europa Terminal,Punta Europa Terminal,,RL,1-------,,3.783333333333333,8.716666666666667,
GQ,RMN,Rio Muni,Rio Muni,,RQ,--3-----,,1.0570951,9.6532917,true
GQ,ABU,San Antonio de Pal�,San Antonio de Pale,AN,RL,--3-----,,-1.4,5.6,
GQ,SIS,Santa Isabel,Santa Isabel,,AI,----5---,,3.7541629,8.7799703,true
GQ,SER,Serpentina Terminal,Serpentina Terminal,AN,RQ,1-------,,3.8,8.083333333333334,
GQ,ZAF,Zafiro Terminal,Zafiro Terminal,AN,RQ,1-------,,3.85,8.166666666666666,
