country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
GR,ABD,Abdera,Abdera,72,RL,--3-----,,40.93333333333333,24.966666666666665,
GR,ANE,Acharnae Akharna,Acharnae Akharna,A1,RL,-----6--,,38.083333333333336,23.733333333333334,
GR,AAR,Acharnes,Acharnes,A1,RL,-----6--,,38.083333333333336,23.733333333333334,
GR,ACL,Achladi,Achladi,,AI,1-------,,38.88333333333333,22.816666666666666,
GR,HLR,Achladi�s,Achladias,E,RL,--3-----,,39.13333333333333,23.45,
GR,ADL,Adamas Milos,Adamas Milos,L,RQ,1-------,,36.71666666666667,24.433333333333334,
GR,AMS,Adhamas,Adhamas,,RL,--3-----,,36.729013,24.452991,true
GR,GAH,Aegaleo,Aegaleo,,RL,-----6--,,37.983333333333334,23.666666666666668,
GR,AEG,Aegina,Aegina,,RQ,1-------,,37.733333333333334,23.416666666666668,
GR,ANO,Aeginio,Aeginio,,RQ,--3-----,,40.516666666666666,32.55,
GR,GIE,Aegio,Aegio,,AA,--3-----,,38.25,22.083333333333332,
GR,KIA,Af�dhnai,Afidhnai,,RL,--3-----,,38.21666666666667,23.833333333333332,
GR,AGN,Agathonisi,Agathonisi,81,RL,1-------,,37.45,26.966666666666665,
GR,AEF,Agia Efimia,Agia Efimia,,AI,1-------,,38.3,20.6,
GR,PIL,Agia Galini,Agia Galini,M,AA,1-------,,35.083333333333336,24.683333333333334,
GR,AKM,Agia Kyriaki (Trikeri Magnisia),Agia Kyriaki (Trikeri Magnisia),43,RQ,1-------,,39.083333333333336,23.066666666666666,
GR,AMR,Agia Marina Aiginas,Agia Marina Aiginas,,RQ,1-------,,37.733333333333334,23.533333333333335,
GR,AGM,Agia Marina Fthiotidas,Agia Marina Fthiotidas,,AI,1-------,,38.9,22.583333333333332,
GR,GMA,Agia Marina Grammatikou Attikis,Agia Marina Grammatikou Attikis,,AA,1-------,,38.18333333333333,24.066666666666666,
GR,AML,Agia Marina Lerou,Agia Marina Lerou,81,RQ,1-------,,37.15,26.85,
GR,APK,Agia Paraskevi,Agia Paraskevi,A1,RL,--3-----,,38,23.816666666666666,
GR,APE,Ag�a Pelag�a,Agia Pelagia,,AI,1-------,,36.333333333333336,22.983333333333334,
GR,ROU,Agia Roumeli,Agia Roumeli,,RQ,1-------,,35.233333333333334,23.966666666666665,
GR,AGI,Ag�a Tri�s,Agia Trias,53,RQ,--3-----,,40.5,22.866666666666667,
GR,V6V,Ag�a Varv�ra,Agia Varvara,53,RL,--3-----,,40.483333333333334,22.233333333333334,
GR,AGT,Agio Theodoroi,Agio Theodoroi,,AI,1-34----,,37.916666666666664,23.116666666666667,
GR,AAI,�gioi An�rgyroi,Agioi Anargyroi,31,RL,-----6--,,39.13333333333333,21.016666666666666,
GR,AGK,Agiokampos Larissas,Agiokampos Larissas,,AI,1-------,,39.68333333333333,22.883333333333333,
GR,AOR,Agiokampos Oreon,Agiokampos Oreon,H,AA,1-------,,38.93333333333333,23.033333333333335,
GR,GTO,Agios Athanasios,Agios Athanasios,22,RL,--3-----,,39.733333333333334,19.7,
GR,AAS,�gios Athan�sios,Agios Athanasios,54,RL,--3-----,,40.71666666666667,22.716666666666665,
GR,AGO,�gios Efstr�tios,Agios Efstratios,83,AI,1-------,,39.53333333333333,24.983333333333334,
GR,AGE,Agios Georgios,Agios Georgios,04,AA,1-------,,38.833333333333336,22.883333333333333,
GR,GRA,Agios Ioannis Rentis,Agios Ioannis Rentis,A1,AA,-23-----,,37.95,23.666666666666668,
GR,AKI,Agios K�rykos,Agios Kirykos,84,AI,1-------,,37.61666666666667,26.3,
GR,AKO,Agios Konstant�nos,Agios Konstantinos,,AI,1-------,,38.75,22.866666666666667,
GR,AGF,Agios Nikolaos Fokidas,Agios Nikolaos Fokidas,,RQ,1-------,,38.333333333333336,22.15,
GR,ANI,"""Agios Nik�laos"," Kr�ti""","""Agios Nikolaos"," Kriti""",92,1-------,35.19139,25.71333,true
GR,AGP,Agios P�vlos,Agios Pavlos,,RL,--3-----,,40.63333333333333,22.966666666666665,
GR,AGS,Agios Stefanos,Agios Stefanos,,RQ,0-------,,38.1410051,23.8575845,true
GR,ASF,Agios Stefanos Corfu,Agios Stefanos Corfu,22,AA,1-------,,39.766666666666666,19.95,
GR,AGG,Agistri Aiginas,Agistri Aiginas,A1,AI,1-------,,37.71666666666667,23.35,
GR,ANL,Agnontas Skopelos,Agnontas Skopelos,43,AA,1-------,,39.083333333333336,23.7,
GR,AGA,Agri�,Agria,,RL,123-----,,39.333333333333336,23,
GR,AGQ,Agrinion,Agrinion,,AI,--3-----,,38.63333333333333,21.416666666666668,
GR,ADO,�hdendron,Ahdendron,54,RL,-23-----,,40.666666666666664,22.6,
GR,AID,Aidipsou,Aidipsou,04,RQ,1-------,,38.85,23.033333333333335,
GR,AGL,Aigaleo,Aigaleo,A1,RL,-----6--,,37.983333333333334,23.683333333333334,
GR,AIG,Aigiali Amorgou,Aigiali Amorgou,82,RL,1-------,,36.9,25.966666666666665,
GR,AIN,Aiginion,Aiginion,61,RL,--3-----,,40.5,22.533333333333335,
GR,AEN,A�gion,Aigion,13,AI,1-------,,38.25,22.083333333333332,
GR,GAW,Aitolikon,Aitolikon,,RL,-----6--,,38.43333333333333,21.35,
GR,EGA,Aiyaleo,Aiyaleo,,RL,--3-----,,37.983333333333334,23.683333333333334,
GR,JHB,Akharnai,Akharnai,A1,RL,-----6--,,38.06666666666667,23.7,
GR,ACH,Akharna�,Akharnai,A1,AA,-23-----,,38.083333333333336,23.733333333333334,
GR,AKH,Akhillion,Akhillion,43,RQ,1-------,,39,22.966666666666665,
GR,ZPI,Akra Z�firos,Akra Zefiros,,RL,--3-----,,36.666666666666664,24.466666666666665,
GR,AKT,Aktio Vonitsas,Aktio Vonitsas,A1,RL,1-------,,38.95,20.75,
GR,ALX,Alex�ndria,Alexandria,,RL,--3-----,,40.61666666666667,22.433333333333334,
GR,AXD,Alexandro�polis,Alexandroupolis,,RL,1-34----,,40.85,25.866666666666667,
GR,ALI,Al�artos,Aliartos,,RL,--3-----,,38.36666666666667,23.1,
GR,AIO,Alimos,Alimos,A1,AA,1-3-----,,37.916666666666664,23.716666666666665,
