country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
GT,ADU,Aduana,Aduana,,RQ,0-------,,,,
GT,AMA,Amatitl�n,Amatitlan,01,RL,--3-----,,14.483333333333333,-90.61666666666666,
GT,ANT,Antigua,Antigua,,QQ,0-------,,14.5567814,-90.7337346,true
GT,AGA,Antigua Guatemala,Antigua Guatemala,03,RL,--3-----,,14.55,-90.73333333333333,
GT,AMI,Asunci�n Mita,Asuncion Mita,22,RL,--3-----,,14.316666666666666,-89.7,
GT,BAB,Barberena,Barberena,06,RL,--3-----,,14.3,-90.35,
GT,BAR,B�rcenas,Barcenas,01,RL,--3---7-,,14.516666666666667,-90.6,
GT,BOC,Boca del Monte,Boca del Monte,01,RL,-23--6--,,14.55,-90.51666666666667,
GT,CAM,Camot�n,Camotan,20,RL,--3-----,,14.816666666666666,-89.36666666666666,
GT,CMM,Carmelita,Carmelita,,AI,---4----,,17.4621687,-90.0538516,true
GT,CJL,Chajul,Chajul,14,RL,--3-----,,15.483333333333333,-91.03333333333333,
GT,CHR,Champerico,Champerico,11,RL,123--67-,,14.3,-91.91666666666667,
GT,CHC,Chicacao,Chicacao,10,RL,--3-----,,14.533333333333333,-91.31666666666666,
GT,CCO,Chichicastenango,Chichicastenango,14,RQ,--3-----,,14.933333333333334,-91.11666666666666,
GT,CHI,Chimaltenango,Chimaltenango,,RQ,-23-----,,14.6613043,-90.8193493,true
GT,CHT,Chinautla,Chinautla,01,RL,--3-----,,14.7,-90.48333333333333,
GT,CIQ,Chiquimula,Chiquimula,,AI,---4----,,14.831699650000001,-89.52061552458092,true
GT,CHQ,Chiquimulilla,Chiquimulilla,06,RL,--3-----,,14.083333333333334,-90.36666666666666,
GT,CTU,Ciudad Tec�n Um�n,Ciudad Tecun Uman,12,RL,-23-----,,14.666666666666666,-92.15,
GT,CDV,Ciudad Vieja,Ciudad Vieja,03,RL,--3-----,,14.516666666666667,-90.75,
GT,CTF,Coatepeque,Coatepeque,09,AI,-234-6--,,14.7,-91.86666666666666,
GT,CBV,Coban,Coban,,AI,--34----,,15.469022500000001,-90.40646467327997,true
GT,CLS,Cocales,Cocales,SU,RL,--3--6--,,14.4,-91.18333333333334,
GT,CCN,Concepcion,Concepcion,SO,RQ,--3-----,,14.783333333333333,-91.15,
GT,CUI,Cuilapa,Cuilapa,,RL,--3-----,,14.283333333333333,-90.3,
GT,COY,Cuyotenango,Cuyotenango,,RQ,--3-----,,14.541995,-91.572307,true
GT,DON,Dos Lagunas,Dos Lagunas,,RL,--34----,,17.683333333333334,-89.53333333333333,
GT,E8C,El Carmen,El Carmen,15,RL,1-------,,15.15,-90.23333333333333,
GT,ELE,El Estor,El Estor,18,RQ,1-------,,15.43377345,-89.37259092119257,true
GT,EJO,El Jicaro,El Jicaro,PR,RQ,--3-----,,14.766666666666667,-90.4,
GT,EJC,El Jocotillo,El Jocotillo,,RL,--3-----,,14.366666666666667,-90.5,
GT,ENJ,El Naranjo,El Naranjo,,AI,---4----,,17.2299596,-90.8056636,true
GT,ELP,El Pino,El Pino,06,RL,--3-----,,14.316666666666666,-90.38333333333334,
GT,PRO,El Progreso,El Progreso,02,RL,-23--6--,,14.85,-90.05,
GT,EQZ,El Quetzal,El Quetzal,12,RL,--3-----,,14.766666666666667,-91.81666666666666,
GT,ELR,El Rancho,El Rancho,02,RL,--3--6--,,14.9,-90,
GT,ERH,El Rancho,El Rancho,,RQ,0-------,,14.915999,-90.0065329,true
GT,ESV,El Salvador,El Salvador,13,RL,--3-----,,15.466666666666667,-91.33333333333333,
GT,ELT,El Tejar,El Tejar,04,RL,--3-----,,14.633333333333333,-90.78333333333333,
GT,ERI,Entre R�os,Entre Rios,18,RL,-23--6--,,15.633333333333333,-88.53333333333333,
GT,ESC,Escuintla,Escuintla,,RQ,--3-----,,14.3022857,-90.7866243,true
GT,ESQ,Esquipulas,Esquipulas,20,RL,--3---7-,,14.566666666666666,-89.35,
GT,EST,Estanzuela,Estanzuela,19,RL,--3-----,,15,-89.56666666666666,
GT,FRS,Flores,Flores,,AI,---4----,,16.91361765,-89.86180775972036,true
GT,FRA,Fraijanes,Fraijanes,,RQ,0-------,,14.4621012,-90.4388234,true
GT,GUT,Guastatoya,Guastatoya,02,RL,--3-----,,14.85,-90.05,
GT,GUA,Guatemala City,Guatemala City,,AI,---45---,,14.5831769,-90.52718955123183,true
GT,HUG,Huehuetenango,Huehuetenango,,AI,---4----,,15.316549250000001,-91.50513269285386,true
GT,IXC,Ixc�n,Ixcan,01,RL,--3-----,,15.983333333333333,-90.76666666666667,
GT,JZB,Izabal,Izabal,18,RL,--3-----,,15.4,-89.13333333333334,
GT,ITA,Iztapa,Iztapa,05,RL,--3-----,,13.933333333333334,-90.7,
GT,JAL,Jalapa,Jalapa,,RL,--3-----,,14.633333333333333,-89.98333333333333,
GT,JTG,Jocotenango,Jocotenango,03,RL,--3-----,,14.566666666666666,-90.73333333333333,
GT,JUT,Jutiapa,Jutiapa,22,RL,--3-----,,14.283333333333333,-89.9,
GT,LAA,La Aurora,La Aurora,,RQ,1-------,,14.8616289,-91.970619,true
GT,LBA,La Blanca,La Blanca,12,RL,--3-----,,14.566666666666666,-92.13333333333334,
GT,LDE,La Democracia,La Democracia,ES,RQ,--3-----,,40.21666666666667,-90.93333333333334,
GT,LAF,La Fragua,La Fragua,,RQ,0-------,,14.9610656,-89.5489331,true
