country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
GY,ANT,Adventure,Adventure,,RL,1-------,,7.083333333333333,-58.483333333333334,
GY,AVE,Agricola Village,Agricola Village,DE,RL,-----6--,,6.466666666666667,-58.166666666666664,
GY,AHL,Aishalton,Aishalton,,AI,---4----,,2.4755665000000002,-59.31944770153805,true
GY,NAI,Annai,Annai,,AI,---4----,,3.96198985,-59.12113791724239,true
GY,BMJ,Baramita,Baramita,,AI,---4----,,7.3730724,-60.4858302,true
GY,BAR,Bartica,Bartica,UD,RL,-----6--,,5.783333333333333,-57.63333333333333,
GY,GFO,Bartica,Bartica,,AI,1--4----,,6.4053312,-58.6214256,true
GY,BCG,Bemichi,Bemichi,,AI,---4----,,,,
GY,BOU,Bourda,Bourda,DE,RL,--3-----,,6.816666666666666,-58.15,
GY,CAY,Cayenne,Cayenne,,RL,--3-----,,4.933333333333334,-52.31666666666667,
GY,DMD,Diamond,Diamond,ES,RL,--3-----,,6.716666666666667,-58.18333333333333,
GY,EKE,Ekereku,Ekereku,,AI,---4----,,6.46667,-60.83333,true
GY,GUY,Enmore,Enmore,DE,RL,--3-----,,6.766666666666667,-57.983333333333334,
GY,EVR,Everton,Everton,DE,RQ,1-3--6--,,6.916666666666667,-58.333333333333336,
GY,GEO,Georgetown,Georgetown,,AI,1--45---,,6.80583135,-58.10658166387462,true
GY,IMB,Imbaimadai,Imbaimadai,,AI,---4----,,5.70585585,-60.29699298309782,true
GY,KAI,Kaieteur,Kaieteur,,AI,---4----,,5.1773786,-59.488911622468095,true
GY,KAR,Kamarang,Kamarang,,AI,---4----,,5.8659493000000005,-60.61335578996828,true
GY,KRM,Karanambo,Karanambo,,AI,---4----,,3.75,-59.3,true
GY,KRG,Karasabai,Karasabai,,AI,---4----,,4.029961699999999,-59.54775190928592,true
GY,KTO,Kato,Kato,,AI,---4----,,4.6480905,-59.8351817,true
GY,KKG,Konawaruk,Konawaruk,,AI,---4----,,5.2666177,-58.9911171,true
GY,KPG,Kurupung,Kurupung,,AI,---4----,,,,
GY,LTM,Lethem,Lethem,,AI,---4----,,3.37211225,-59.79003670007906,true
GY,LDN,Linden,Linden,,RL,1-------,,6,-58.28333333333333,
GY,LUB,Lumid Pau,Lumid Pau,,AI,---4----,,,,
GY,USI,Mabaruma,Mabaruma,,AI,---4----,,8.1988122,-59.7796003,true
GY,MKZ,Mackenzie,Mackenzie,,RL,-23--6--,,6,-58.28333333333333,
GY,MHA,Mahdia,Mahdia,,AI,---4----,,5.27323,-59.14942234096078,true
GY,VEG,Maikwak,Maikwak,,AI,---4----,,4.91667,-59.81667,true
GY,MWJ,Matthews Ridge,Matthews Ridge,,AI,---4----,,7.489369,-60.178382,true
GY,MYM,Monkey Mountain,Monkey Mountain,,AI,---4----,,4.4531499,-59.5995959,true
GY,NAM,New Amsterdam,New Amsterdam,,AI,1--4----,QSX,6.2426407,-57.5168359,true
GY,OGL,Ogle,Ogle,,AI,---4----,,6.80583135,-58.10658166387462,true
GY,ORJ,Orinduik,Orinduik,,AI,---4----,,4.72726475,-60.03368460237346,true
GY,PMT,Paramakotoi,Paramakotoi,,AI,---4----,,,,
GY,PRR,Paruima,Paruima,,AI,---4----,,5.8159679,-61.0588321,true
GY,PIQ,Pipillipai,Pipillipai,,AI,---4----,,5.3600215,-60.3731953,true
GY,PKM,Port Kaituma,Port Kaituma,,AI,---4----,,7.7296284,-59.8852833,true
GY,ROS,Rosignol,Rosignol,MA,RL,-----6--,,6.283333333333333,-57.53333333333333,
GY,SDC,Sandcreek,Sandcreek,,AI,---4----,,,,
GY,SKM,Skeldon,Skeldon,,AI,---4----,,5.8625547,-57.1481892,true
GY,THI,Thimery,Thimery,,AI,----5---,,,,
