country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
HK,ABD,Aberdeen,Aberdeen,,RL,1-3-----,,22.25,114.15,
HK,ALC,Ap Lei Chau,Ap Lei Chau,,RQ,1-------,,22.239531,114.156188,true
HK,CWB,Causeway Bay,Causeway Bay,,RL,1-3-----,,22.283333333333335,114.18333333333334,
HK,9CK,Cha Kwo Ling,Cha Kwo Ling,,RL,--3-----,,22.3,114.23333333333333,
HK,CHW,Chai Wan,Chai Wan,,RL,--3-----,,22.25,114.23333333333333,
HK,CSW,Cheung Sha Wan,Cheung Sha Wan,,RL,--3-----,ZZQ,22.233333333333334,114,
HK,9FL,Fanling,Fanling,,RL,--3-----,,22.5,114.13333333333334,
HK,FOT,Fo Tan,Fo Tan,,RL,-----6--,,22.4,114.2,
HK,HKC,Ha Kwai Chung,Ha Kwai Chung,,RL,1-3-----,,22.366666666666667,114.11666666666666,
HK,9HH,Hang Hau Town,Hang Hau Town,,RL,--3-----,,22.316666666666666,114.26666666666667,
HK,9HV,Happy Valley,Happy Valley,,RL,--3-----,,22.266666666666666,114.18333333333334,
HK,9HT,Hok Tsui Wan,Hok Tsui Wan,,RL,--3-----,,22.216666666666665,114.25,
HK,HKG,Hong Kong,Hong Kong,,AI,1--45---,,22.381131,114.135572,true
HK,CL4,Hong Kong Central,Hong Kong Central,,RL,--3-----,,22.266666666666666,114.15,
HK,GOM,Hung Hom,Hung Hom,,RQ,-----6--,,22.3,114.18333333333334,
HK,9KT,Kennedy Town,Kennedy Town,,RL,--3-----,,22.283333333333335,114.11666666666666,
HK,KWN,Kowloon,Kowloon,,RL,123-----,,22.3,114.16666666666667,
HK,KCO,Kwai Chung,Kwai Chung,,RL,-----6--,,22.366666666666667,114.13333333333334,
HK,KTZ,Kwun Tong,Kwun Tong,,RL,-234----,,22.316666666666666,114.21666666666667,
HK,LCK,Lai Chi Kok,Lai Chi Kok,,RL,--3-----,,22.333333333333332,114.13333333333334,
HK,9LT,Lam Tei,Lam Tei,,RL,--3-----,,22.416666666666668,113.98333333333333,
HK,LAM,Lamma Island,Lamma Island,,RQ,1-------,,22.31842,114.15745,true
HK,9LY,Lei Yue Mun,Lei Yue Mun,,RL,--3-----,,22.283333333333335,114.23333333333333,
HK,9LM,Lok Ma Chau,Lok Ma Chau,,RL,--3-----,,22.516666666666666,114.08333333333333,
HK,9ML,Ma Liu Shui,Ma Liu Shui,,RL,--3-----,,22.416666666666668,114.21666666666667,
HK,9MO,Ma On Shan Tsuen,Ma On Shan Tsuen,,RL,--3-----,,22.4,114.23333333333333,
HK,MWN,Ma Wan,Ma Wan,,RL,--3-----,,22.333333333333332,114.05,
HK,MLV,Mid Levels,Mid Levels,,RL,--3-----,,22.283333333333335,114.15,
HK,MKK,Mong Kok,Mong Kok,,RL,--3-----,,22.316666666666666,114.16666666666667,
HK,9NC,Ngau Chi Wan,Ngau Chi Wan,,RL,--3-----,,22.333333333333332,114.2,
HK,NPT,North Point,North Point,,RL,--3-----,,22.3,114.2,
HK,PFL,Pok Fu Lam,Pok Fu Lam,,RL,--3-----,,22.25,114.13333333333334,
HK,QBY,Quarry Bay,Quarry Bay,,RQ,--3-----,,22.283333333333335,114.21666666666667,
HK,9RP,Repulse Bay,Repulse Bay,,RL,--3-----,,22.233333333333334,114.2,
HK,9SK,Sai Kung,Sai Kung,,RL,--3-----,,22.383333333333333,114.26666666666667,
HK,9SP,San Po Kong,San Po Kong,,RL,--3-----,,22.333333333333332,114.2,
HK,8ST,Sha Tau Kok,Sha Tau Kok,,RL,--3-----,,22.55,114.21666666666667,
HK,STN,Sha Tin,Sha Tin,,RL,--3-----,,22.383333333333333,114.18333333333334,
HK,SSP,Sham Shui Po,Sham Shui Po,,RQ,--3-----,,22.333333333333332,114.15,
HK,9ST,Sham Tseng,Sham Tseng,,RL,--3-----,,22.333333333333332,114.05,
HK,SKK,Shek Kong,Shek Kong,,RL,--3-----,,22.433333333333334,114.1,
HK,STT,Shek Tong Tsui,Shek Tong Tsui,,RL,--3-----,,22.283333333333335,114.13333333333334,
HK,SGS,Sheung Shui,Sheung Shui,,RQ,--3-----,,22.516666666666666,114.11666666666666,
HK,SHW,Sheung Wan,Sheung Wan,,RL,--3-----,,22.283333333333335,114.15,
HK,9TH,Tai Hang,Tai Hang,,RL,--3-----,,22.466666666666665,114.15,
HK,TKT,Tai Kok Tsui,Tai Kok Tsui,,RL,-23--6--,,22.316666666666666,114.16666666666667,
HK,TLS,Tai Lang Shui,Tai Lang Shui,,RL,--3-----,,22.4,113.93333333333334,
HK,9TT,Tai Mong Tsai,Tai Mong Tsai,,RL,--3-----,,22.4,114.3,
HK,TNO,Tai No,Tai No,,RL,--3-----,,22.366666666666667,114.23333333333333,
HK,TPO,Tai Po,Tai Po,,RQ,--3-----,,22.3,113.95,
HK,8TT,Tai Tam,Tai Tam,,RL,--3-----,,22.216666666666665,114.21666666666667,
HK,9TW,Tai Wai,Tai Wai,,RL,--3-----,,22.45,114.03333333333333,
HK,TSW,Tin Shui Wai,Tin Shui Wai,,RL,--3-----,,22.466666666666665,114,
HK,9TK,Ting Kau,Ting Kau,,RL,--3-----,,22.366666666666667,114.08333333333333,
HK,TKW,To Kwa Wan,To Kwa Wan,,RL,--3-----,,22.316666666666666,114.18333333333334,
HK,TOL,Tolo Harbour,Tolo Harbour,,QQ,1-------,,22.32447,114.16028,true
HK,TKO,Tseung Kwan O,Tseung Kwan O,,RL,--3-----,,22.333333333333332,114.25,
HK,TST,Tsim Sha Tsui,Tsim Sha Tsui,,RL,1-3-----,,22.3,114.16666666666667,
HK,TSI,Tsing Yi,Tsing Yi,,RQ,--3-----,,22.35,114.1,
HK,ZTW,Tsuen Wan,Tsuen Wan,,AI,---4----,,22.37066,114.10479,true
HK,MUN,Tuen Mun,Tuen Mun,,RL,--3-----,,22.4,113.98333333333333,
HK,VIC,Victoria,Victoria,,QQ,1-------,,22.28299,114.15846,true
HK,9WF,Wah Fu,Wah Fu,,RL,--3-----,,22.25,114.13333333333334,
HK,WNI,Wan Chai,Wan Chai,,RL,1-3-----,,22.283333333333335,114.16666666666667,
HK,WTS,Wan Tsai,Wan Tsai,,RL,--3-----,,22.166666666666668,114.25,
HK,WON,Wong Chuk Hang,Wong Chuk Hang,,RL,--3-----,,22.383333333333333,114.35,
HK,9WT,Wong Tai Sin,Wong Tai Sin,,RL,--3-----,,22.35,114.18333333333334,
HK,9YM,Yau Ma Tei,Yau Ma Tei,,RL,1-3-----,,22.316666666666666,114.16666666666667,
HK,9YT,Yau Tong,Yau Tong,,RL,--3-----,,22.3,114.23333333333333,
