country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
HN,AMP,Amapala,Amapala,,AI,1-------,,13.292907,-87.6533563,true
HN,ART,Amarateca,Amarateca,,RL,--3-----,,14.233333333333333,-87.36666666666666,
HN,HAD,Amatillo,Amatillo,CP,RL,-----6--,,14.5,-88.85,
HN,AW4,Apacilagua,Apacilagua,CH,RL,--3-----,,13.466666666666667,-87.06666666666666,
HN,AZA,Arizona,Arizona,AT,RL,--3-----,,15.633333333333333,-87.31666666666666,
HN,AHS,Auas,Auas,GD,AI,--34----,,15.483333333333333,-84.33333333333333,
HN,AZC,Azacuapla,Azacuapla,,RQ,-----6--,,14.266666666666667,-88.75,
HN,BRC,Baracoa,Baracoa,CR,RL,--3-----,,15.766666666666667,-87.85,
HN,BHG,Brus Laguna,Brus Laguna,,AI,---4----,,15.7607282,-84.5416989,true
HN,BVA,Buena Vista,Buena Vista,CP,RL,--3-----,,15,-88.93333333333334,
HN,BUF,B�falo,Bufalo,CR,RL,--3--6--,,15.383333333333333,-88,
HN,HAN,Caracol,Caracol,CR,RL,-----6--,,15.633333333333333,-88.23333333333333,
HN,CAA,Catacamas,Catacamas,,AI,---4----,,14.87529595,-85.77497294897265,true
HN,CDD,Cauquira,Cauquira,,AI,---4----,,15.32120995,-83.60406201630377,true
HN,CHA,Chamelec�n,Chamelecon,CR,RL,-----6--,,15.433333333333334,-88.01666666666667,
HN,CHI,Chichicaste,Chichicaste,LP,RL,--3-----,,14.316666666666666,-87.91666666666667,
HN,CHO,Choloma,Choloma,,RQ,--3-----,,15.6127426,-87.950694,true
HN,CHT,Choluteca,Choluteca,,RL,--3-----,,13.283333333333333,-87.18333333333334,
HN,CHU,Chumbagua,Chumbagua,SB,RL,--3-----,,15.233333333333333,-88.5,
HN,CFR,Cofradia,Cofradia,CR,RQ,--3-----,,15.4,-88.15,
HN,COF,Cofrad�a,Cofradia,OL,RL,--3-----,,14.866666666666667,-86.03333333333333,
HN,CMY,Comayagua,Comayagua,,RL,--34----,XPL,14.45,-87.63333333333334,
HN,COM,Comayag�ela,Comayaguela,,RL,--3-----,,14.083333333333334,-87.2,
HN,COR,Concordia,Concordia,IN,RL,--3-----,,14.1,-88.3,
HN,RUY,Cop�n,Copan,,AI,---4----,,14.833333333333334,-89.15,
HN,HAC,Corinto,Corinto,CR,RL,-----6--,,15.583333333333334,-88.36666666666666,
HN,ENQ,Coronel E Soto Cano Ab,Coronel E Soto Cano Ab,,AI,---4----,,,,
