country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
HR,ALJ,Aljmas,Aljmas,,RL,1-3-----,,45.53333333333333,18.95,
HR,ANA,ANA,ANA,,RL,------7-,,44.68333333333333,13.266666666666667,
HR,ANN,ANNAMARIA A,ANNAMARIA A,,RL,------7-,,44.36666666666667,13.366666666666667,
HR,ATL,Antenal,Antenal,,AA,1-3-----,,45.31666666666667,13.55,
HR,BAK,Bakar,Bakar,08,RL,123-----,,45.3,14.516666666666667,
HR,BAL,Bale,Bale,18,RL,--3-----,,45.03333333333333,13.783333333333333,
HR,BAS,Baska,Baska,08,RL,1-3-----,,44.96666666666667,14.75,
HR,BVO,Baska Voda,Baska Voda,,RL,--3-----,,43.35,16.95,
HR,BAT,Batina,Batina,14,RL,1-3----B,,45.86666666666667,18.866666666666667,
HR,BKC,Bedekovcina,Bedekovcina,02,RL,-23-----,,46.03333333333333,15.983333333333333,
HR,BDN,Bedenica,Bedenica,01,RL,--3-----,,46.03333333333333,16.233333333333334,
HR,BLN,Beletinec,Beletinec,,RQ,-----6--,,46.21666666666667,16.316666666666666,
HR,BEL,Belgrad,Belgrad,,RQ,-----6--,,45.21666666666667,14.733333333333333,
HR,BCA,Belica,Belica,20,RL,-----6--,,46.4,16.516666666666666,
HR,BLC,Belisce,Belisce,,RL,1-3-----,,45.7,18.416666666666668,
HR,BEN,Benicanci,Benicanci,14,RL,--3-----,,45.63333333333333,18.166666666666668,
HR,HBC,Benkovac,Benkovac,13,RL,-----6--,,44.03333333333333,15.6,
HR,BTC,Beretinec,Beretinec,,RQ,-2------,,46.21666666666667,16.316666666666666,
HR,BTJ,Bestovje,Bestovje,21,RQ,-----6--,,45.8,15.816666666666666,
HR,BBJ,Bibinje,Bibinje,13,RQ,--3-----,,44.06666666666667,15.283333333333333,
HR,BNM,Biograd na Moru,Biograd na Moru,,RL,1-3-----,,43.93333333333333,15.45,
HR,BJE,Bjelovar,Bjelovar,07,RL,-23-----,,45.9,16.833333333333332,
HR,BLE,Blace,Blace,,AA,1-3-----,,43.016666666666666,17.483333333333334,
HR,BLA,Blato,Blato,19,RL,--3-----,,42.93333333333333,16.783333333333335,
HR,BOL,Bol,Bol,,RL,1-3-----,BWK,43.266666666666666,16.65,
HR,BJN,Boljun,Boljun,18,RL,--3-----,,45.3,14.116666666666667,
HR,BOR,Borovo,Borovo,,RL,1-3-----,,45.36666666666667,18.966666666666665,
HR,BRV,Borovo Selo,Borovo Selo,,RQ,1-3-----,,45.416666666666664,18.983333333333334,
HR,BOT,Botovo,Botovo,,RL,-23----B,,46.21666666666667,16.916666666666668,
HR,BZA,Bozava,Bozava,,RL,1-3-----,,44.13333333333333,14.9,
HR,BRB,Brbinj/Lucina,Brbinj/Lucina,,AA,1-3-----,,44.083333333333336,15,
HR,BRC,Brckovljani,Brckovljani,01,RL,--3-----,,45.833333333333336,16.3,
HR,BRG,Bregana,Bregana,01,RQ,--3-----,,46.416666666666664,16.15,
HR,BVA,Brezovica,Brezovica,21,RL,--3-----,,45.733333333333334,15.883333333333333,
HR,BRE,Brinje,Brinje,,RL,--3-----,,45,15.133333333333333,
HR,BRI,Brioni,Brioni,,RL,1-3-----,,44.9,13.75,
HR,BSB,Brodski Stupnik,Brodski Stupnik,12,RQ,-----6--,,45.166666666666664,17.8,
HR,BRT,Brtonigla,Brtonigla,18,RL,--3-----,,45.36666666666667,13.616666666666667,
HR,BUZ,Buzet,Buzet,18,RL,--3-----,,45.4,13.966666666666667,
HR,CAK,?akovec,?akovec,20,RL,-23-----,,46.38333333333333,16.433333333333334,
HR,CLE,Cavle,Cavle,19,AF,--3-----,,45.35,143.18333333333334,
HR,CVT,Cavtat,Cavtat,19,RL,1-3-----,,42.56666666666667,18.216666666666665,
HR,CPN,Cepin,Cepin,14,RL,--3-----,,45.516666666666666,18.55,
HR,CIL,Cilipi,Cilipi,19,AF,--3-----,,42.55,18.25,
HR,CRS,Cres,Cres,,RL,1-3-----,,44.95,14.4,
HR,CRA,Crikvenica,Crikvenica,,RL,1-3-----,,45.18333333333333,14.7,
HR,CRN,Crnac,Crnac,,RQ,--3-----,,45.43333333333333,16.416666666666668,
HR,DKO,Dakovo,Dakovo,14,RL,--3-----,,45.3,18.4,
HR,DLJ,Dalj,Dalj,,RL,1-3-----,,45.483333333333334,18.983333333333334,
HR,DAL,Dalmacia,Dalmacia,13,RQ,1-------,,44.05,15.3,
HR,DDA,Darda,Darda,,RL,-23-----,,45.63333333333333,18.7,
HR,DAR,Daruvar,Daruvar,,RL,-23-----,,45.583333333333336,17.216666666666665,
HR,DVR,Davor,Davor,12,RQ,--3-----,,45.1,17.516666666666666,
HR,DOV,Deletovci,Deletovci,16,RL,--3-----,,45.166666666666664,19,
HR,DEL,Delnice,Delnice,,RL,-23-----,,45.4,14.783333333333333,
HR,DDU,Donja Dubrava,Donja Dubrava,19,RL,--3-----,,42.88333333333333,17.483333333333334,
HR,DON,Donja Zelina,Donja Zelina,01,RL,--3-----,,45.916666666666664,16.233333333333334,
HR,DNC,Donje Celo,Donje Celo,,AA,1-3-----,,42.68333333333333,18,
HR,DKC,Donji Kraljevec,Donji Kraljevec,,QQ,--3-----,,46.3672744,16.6495517,true
HR,DMH,Donji Miholjac,Donji Miholjac,,RL,--3-5--B,,45.766666666666666,18.166666666666668,
HR,DSK,Donji Stupnik,Donji Stupnik,01,RL,--3-----,,45.766666666666666,15.85,
HR,DLV,Dragoslavec,Dragoslavec,20,AF,-----6--,,46.75,16.566666666666666,
HR,DJE,Drenje,Drenje,14,RL,--3-----,,45.36666666666667,-18.266666666666666,
HR,DRN,Drnis,Drnis,15,AF,--3-----,,43.85,16.15,
HR,DRK,Drvenik,Drvenik,,AA,1-3-----,,43.15,16.25,
