country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
HT,SMC,Baie de Saint-Marc,Baie de Saint-Marc,AR,RL,1-------,,19.116666666666667,-72.7,
HT,CAP,Cap-Ha�tien,Cap-Haitien,,AI,1--4----,,19.75,-72.2,
HT,CRC,Caracol,Caracol,,RL,1-3--6--,,19.683333333333334,-72.01666666666667,
HT,OOU,Carrefour,Carrefour,OU,RL,--3-----,,18.533333333333335,-72.4,
HT,CDB,Croix des Bouquets,Croix des Bouquets,OU,RL,--3-----,,18.566666666666666,-72.21666666666667,
HT,FOM,Fond Mombin,Fond Mombin,OU,RQ,1-------,,18.68333,-71.93333,true
HT,FDB,Fond-des-Blancs,Fond-des-Blancs,SD,RL,--3-----,,18.283333333333335,-73.13333333333334,
HT,FLI,Fort Liberte,Fort Liberte,NE,QQ,1-------,,19.66778,-71.83972,true
HT,GVS,Gona�ves,Gonaives,AR,AI,1-------,,19.4460597,-72.6884336,true
HT,HI5,Hincha,Hincha,CE,RL,--3-----,,19.15,-72.01666666666667,
HT,JAK,Jacmel,Jacmel,SE,RQ,1--4----,,18.242455999999997,-72.51849150803471,true
HT,JEE,J�r�mie,Jeremie,GA,AI,1--4----,,18.663287750000002,-74.17026095171272,true
HT,LAB,Labadie,Labadie,AR,RL,--3-----,,19.516666666666666,-72.48333333333333,
HT,LFF,Lafiteau,Lafiteau,OU,AI,1-3-----,,18.683333333333334,-72.35,
HT,PLH,Lafito Port,Lafito Port,OU,RL,1-------,,18.683333333333334,-72.35,
HT,LEO,Leogane,Leogane,OU,RQ,-----6--,,18.5,-72.63333333333334,
HT,ACA,Les Cayes,Les Cayes,SD,AI,1-------,,18.2600939,-73.75166279307615,true
HT,MAR,Martinique,Martinique,ND,RL,--3-----,,19.816666666666666,-72.53333333333333,
HT,MIR,Miragoane,Miragoane,NI,QQ,1-------,,18.4448425,-73.0886392,true
HT,PET,P�tion-Ville,Petion-Ville,NE,RL,--3-----,,18.516666666666666,-72.28333333333333,
HT,PEG,Petit Go�ve,Petit Goave,OU,RL,1-------,,18.433333333333334,-72.86666666666666,
HT,PDP,Port de Paix,Port de Paix,NO,RQ,--3-----,,19.9389855,-72.8308129,true
HT,PAP,Port-au-Prince,Port-au-Prince,OU,AI,1--45---,,18.579012300000002,-72.29606501465122,true
HT,PTY,Poty,Poty,SD,RL,--3-----,,18.333333333333332,-74.08333333333333,
HT,STO,Santo,Santo,OU,RL,-----6--,,18.483333333333334,-72.48333333333333,
HT,TAB,Tabarre,Tabarre,OU,RL,--3-----,,18.583333333333332,-72.26666666666667,
HT,TTY,Ti Tanyin,Ti Tanyin,OU,RL,--3-----,,18.716666666666665,-72.35,
HT,TRG,Turgeau,Turgeau,OU,RQ,-----6--,,18.533333333333335,-72.31666666666666,
