country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
HU,ABA,Aba,Aba,FE,RQ,--3-----,,47.03333333333333,18.516666666666666,
HU,ABK,Abadszalok,Abadszalok,JN,RQ,-----6--,,47.46666666666667,20.616666666666667,
HU,ABB,Abas�r,Abasar,HE,RL,--3-----,,47.8,20,
HU,HAM,Aba�jsz�nt�,Abaujszanto,BZ,RL,-----6--,,48.28333333333333,21.2,
HU,GSA,Abda,Abda,GS,RQ,-----6--,,47.7,173.5,
HU,ABD,Abod,Abod,BZ,RL,--3-----,,48.38333333333333,20.783333333333335,
HU,ABO,Abony,Abony,PE,RL,-2------,,47.18333333333333,20,
HU,HAY,Acs,Acs,KE,RL,-----6--,,47.7,18.016666666666666,
HU,ADY,Adony,Adony,FE,RL,123-----,,47.11666666666667,18.866666666666667,
HU,AGE,Agerdomajor,Agerdomajor,,QQ,-2------,,,,
HU,AGF,Agfalva,Agfalva,,RL,-2------,,47.68333333333333,16.516666666666666,
HU,AGG,Aggtelek,Aggtelek,,QQ,--3-----,,48.4675104,20.5054283,true
HU,AJK,Ajka,Ajka,,RL,-23-----,,47.1,17.566666666666666,
HU,ATO,Akaszt�,Akaszto,BK,RL,--3-----,,46.68333333333333,19.2,
HU,ALA,Alatty�n,Alattyan,JN,RL,--3--6--,,47.43333333333333,20.05,
HU,ALB,Albertirsa,Albertirsa,PE,RL,-2------,,47.233333333333334,19.6,
HU,ALG,Algyo,Algyo,CS,RQ,--3-----,,46.3353787,20.2083596,true
HU,AFU,Alm�sf�zit�,Almasfuzito,KE,RL,123-----,,47.7,18.266666666666666,
HU,AMS,Alsomocsolad,Alsomocsolad,BA,RL,--3-----,,46.31666666666667,18.25,
HU,SNM,Als�n�medi,Alsonemedi,PE,RL,--3-----,,47.31666666666667,19.183333333333334,
HU,ALS,Als��rs,Alsoors,,RL,123-----,,46.983333333333334,17.983333333333334,
HU,ASZ,Alsozsolca,Alsozsolca,BZ,RL,1-3-----,,48.06666666666667,20.883333333333333,
HU,ANA,Anarcs,Anarcs,SZ,RL,--3-----,,48.166666666666664,22.1,
HU,AND,Andocs,Andocs,SO,RQ,--3-----,,47.06666666666667,179.33333333333334,
HU,AKT,Andornakt�lya,Andornaktalya,,RL,123-----,,47.833333333333336,20.416666666666668,
HU,ADF,Andr�sfa,Andrasfa,VA,RL,--3-----,,46.95,16.783333333333335,
HU,A8Y,Annavolgy,Annavolgy,KE,RL,--3-----,,47.7,18.666666666666668,
HU,APO,�porka,Aporka,PE,RL,--3-----,,47.233333333333334,19.016666666666666,
HU,APG,Apostag,Apostag,,RQ,--3-----,,46.8832449,18.9673417,true
HU,ART,Art�nd,Artand,,RL,--3-----,,47.11666666666667,21.766666666666666,
HU,ZAR,Aszar,Aszar,BK,RQ,1-------,,47.509266,18.0045383,true
HU,AZD,Asz�d,Aszod,PE,RL,--3-----,,47.65,19.5,
HU,BAB,B�bolna,Babolna,KE,RL,--3-----,,47.63333333333333,17.966666666666665,
