country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
ID,ADB,Adang Bay,Adang Bay,,RQ,1-------,,5.3825,95.8775,true
ID,AEG,Aekgodang,Aekgodang,SB,RL,---4----,,0.8,99.56666666666666,
ID,AKE,Akeselaka,Akeselaka,MA,RQ,1-------,,1.05,127.96666666666667,
ID,ARD,Alor Island,Alor Island,,AI,---4----,,-8.291144849999998,124.7777164000955,true
ID,AHI,Amahai,Amahai,,AI,---4----,,-3.3081717,129.0010636,true
ID,AMA,"""Amamapare"," Ij""","""Amamapare"," Ij""",,1-------,-4.8272821,136.8412555,true
ID,AMQ,"""Ambon"," Molucas""","""Ambon"," Molucas""",,1-------,-3.6959434,128.178785,true
ID,APN,Ampana,Ampana,ST,RQ,1-------,,-0.8666666666666667,121.58333333333333,
ID,AMP,"""Ampenan"," Bali""","""Ampenan"," Bali""",,1-------,-8.5616199,116.0855083,true
ID,TZD,Amurang,Amurang,SA,RL,1----6--,,1.1666666666666667,-124.56666666666666,
ID,ANC,Ancol,Ancol,JK,RL,--3-----,,-6.116666666666666,106.85,
ID,ANG,Angar,Angar,MA,RQ,1-------,,-3.65,130.83333333333334,
ID,AGD,Anggi,Anggi,,RQ,---4----,,-1.3833333333333333,133.86666666666667,
ID,AGR,Anggrek,Anggrek,SA,RL,1-3-----,,0.85,122.78333333333333,
ID,ANK,Angke,Angke,JK,RL,--3-----,,-6.133333333333334,106.78333333333333,
ID,ANO,Anoa Natuna Pt.,Anoa Natuna Pt.,,RL,1-------,,5.233333333333333,105.6,
ID,ANR,Anyer Kidul,Anyer Kidul,JB,RL,123-----,,-6.066666666666666,105.88333333333334,
ID,AAS,Apalapsili,Apalapsili,,RQ,---4----,,-3.9166666666666665,139.25,
ID,API,Api Api,Api Api,,RQ,0-------,,0.1316433,117.4929167,true
ID,AJS,Arjasa,Arjasa,JI,RL,--3-----,,-6.85,115.26666666666667,
ID,AJN,"""Arjuna"," Java""","""Arjuna"," Java""",,1-------,-6.9103409,107.5936482,true
ID,ARB,Aroe Bay,Aroe Bay,,RQ,1-------,,-2.125605,133.547927,true
ID,ARJ,Arso,Arso,PA,RQ,---4----,,-2.9,140.75,
ID,AUN,Arun,Arun,,RQ,1-------,,3.4662,97.0517,true
ID,IAM,Asam Asam,Asam Asam,KS,RL,-----6--,,-3.9,115.1,
ID,ASI,Asike,Asike,PA,RQ,1-------,,-6.65,140.41666666666666,
ID,ABU,Atambua,Atambua,,RQ,--3-----,,-9.1059581,124.888064,true
ID,AYW,Ayawasi,Ayawasi,,RQ,---4----,,-1.2,132.5,
ID,BAD,Badau,Badau,SS,RL,--3-----,,-2.8333333333333335,107.8,
ID,BXD,Bade,Bade,,AI,---4----,,-7.17731575,139.58279219062615,true
ID,BGD,Bagendang,Bagendang,KT,AM,1-------,,-2.7333333333333334,112.55,
ID,BAH,Bahudopi,Bahudopi,ST,RL,--3-----,,-2.783333333333333,122.1,
ID,BJW,Bajawa,Bajawa,,AI,---4----,,-8.7873513,120.9733305,true
ID,BPN,Balikpapan,Balikpapan,KI,AI,1--4----,,-1.2833333333333332,116.83333333333333,
ID,BLH,Balohan,Balohan,AC,RL,1-------,,5.816666666666666,95.33333333333333,
ID,BAL,Balongan Terminal,Balongan Terminal,,RQ,1-------,,-6.35722,108.38,true
ID,NAF,Banaina,Banaina,,AI,---4----,,,,
ID,BTJ,Banda Aceh,Banda Aceh,,AI,---4----,,5.5528455,95.3192908,true
ID,NDA,Bandanaira,Bandanaira,MA,RL,--34----,,-4.533333333333333,129.9,
ID,TKG,Bandar Lampung,Bandar Lampung,,AI,---4----,,-5.4460713,105.2643742,true
ID,BDG,Bandengan,Bandengan,JI,RL,--3-----,,-6.916666666666667,110.2,
ID,BDO,"""Bandung"," Java""","""Bandung"," Java""",,---45---,-6.9215529,107.6110212,true
ID,BGG,Banggai,Banggai,,QQ,1-------,,-1.588821,123.5008494,true
ID,5AN,Bangkalan,Bangkalan,JI,RL,--3-----,,-7.016666666666667,112.73333333333333,
ID,BJN,Banjaran,Banjaran,JT,RQ,-----6--,,-7.2,108.78333333333333,
ID,BJB,Banjarbaru,Banjarbaru,KS,RL,--3-----,,-3.4166666666666665,114.83333333333333,
ID,BDJ,Banjarmasin,Banjarmasin,,AI,1--4----,,-3.3187496,114.5925828,true
ID,BAJ,Banjarnegara,Banjarnegara,JT,RL,--3-----,,-7.383333333333334,109.68333333333334,
ID,BJU,"""Banjuwangi"," Java""","""Banjuwangi"," Java""",,1-------,-6.888251,106.660627,true
ID,BTN,Banten,Banten,,RL,1-------,,-6.4453801,106.1375586,true
ID,BTL,Bantul,Bantul,KI,RL,-----6--,,4.15,116.81666666666666,
ID,IBL,Bantul,Bantul,YO,RL,-----6--,,-7.9,110.33333333333333,
ID,BAY,Banyumas,Banyumas,JT,RL,--3-----,,-7.516666666666667,109.28333333333333,
ID,BNI,Banyuwangi,Banyuwangi,JI,RL,-23-----,,-8.2,114.35,
ID,BA2,Baralaja,Baralaja,JB,RL,--3-----,,-6.183333333333334,106.45,
ID,BTH,Batam (ex Batu Besar),Batam (ex Batu Besar),,AI,---4----,,1.06668,103.988912,true
ID,BTM,Batam Island,Batam Island,KR,RL,1-3-----,,1.0833333333333333,104.03333333333333,
ID,BTG,Batang,Batang,JT,RL,-----6--,,-6.916666666666667,109.75,
ID,5TU,Batu,Batu,JI,RL,--3-----,,-7.866666666666667,112.51666666666667,
ID,BUR,Batu Ampar,Batu Ampar,KR,RL,1-3-----,,1.1666666666666667,104.01666666666667,
ID,BAK,Batu Kilat,Batu Kilat,,RQ,1-------,,-7.86429,112.523565,true
ID,BAM,Batuampar,Batuampar,RI,RL,1-3-----,,-0.9666666666666667,102.73333333333333,
ID,5BT,Batubantar,Batubantar,JB,RL,--3-----,,-6.35,106.03333333333333,
ID,BTW,Batulicin,Batulicin,KS,AI,1-34----,,-3.45,115.98333333333333,
ID,BUW,"""Baubau"," Butung""","""Baubau"," Butung""",,---4----,-5.42304455,122.7037557729586,true
ID,5BA,Bayah,Bayah,JB,RL,--3-----,,-6.916666666666667,106.25,
ID,BYH,Bayah,Bayah,JB,RL,--3-----,,-6.916666666666667,106.25,
ID,BEK,Bekapai Terminal,Bekapai Terminal,,RQ,1-------,,,,
ID,BKA,Bekasi,Bekasi,,RQ,--3-----,,-6.2349858,106.9945444,true
ID,BES,Bekasi Timur,Bekasi Timur,JB,RL,--3-----,,-6.233333333333333,106.98333333333333,
ID,BNT,Belanak Terminal,Belanak Terminal,RI,RQ,1-------,,4.166666666666667,106.23333333333333,
ID,BLW,"""Belawan"," Sumatra""","""Belawan"," Sumatra""",,1-------,-0.5791924,114.4500022,true
ID,BET,Belida Terminal,Belida Terminal,RI,RQ,1-------,,4.133333333333334,105.13333333333334,
ID,BLV,Beliling,Beliling,,QQ,1-------,,4.7264,96.5919,true
ID,BLT,Belitung,Belitung,SS,RL,1-------,,-2.8333333333333335,107.91666666666667,
ID,NBR,Bener Meriah,Bener Meriah,AC,RL,--3-----,,4.75,97,
ID,BEN,Benete,Benete,NB,RL,1-------,,-8.866666666666667,116.71666666666667,
ID,BKI,"""Bengkalis"," St""","""Bengkalis"," St""",,0-------,1.470825,102.118598,true
ID,BKY,Bengkayang,Bengkayang,KB,RL,--3-----,,-0.8333333333333334,109.48333333333333,
ID,BKS,"""Bengkulu"," Sumatra""","""Bengkulu"," Sumatra""",,1--4----,-3.7922858,102.2623797,true
ID,BOA,Benoa,Benoa,BA,RL,1-------,,-8.766666666666667,115.21666666666667,
ID,BNW,Benowo,Benowo,JI,RL,--3-----,,-7.233333333333333,112.6,
ID,BEJ,Berau,Berau,,AI,---4----,,2.1485366,117.43220878292522,true
ID,BTO,Betro,Betro,JT,RL,--3-----,,-7.383333333333334,112.75,
ID,BIK,"""Biak"," Irian Jaya""","""Biak"," Irian Jaya""",,1--4----,-0.9131174,122.8765606,true
ID,BMT,"""Bima Terminal"," Jv""","""Bima Terminal"," Jv""",,1-------,95.1,NaN,
ID,BMU,"""Bima"," Sb""","""Bima"," Sb""",,1--4----,-8.4534091,118.727689,true
ID,BJI,Binjai,Binjai,SU,RL,--3-----,,3.6,98.5,
ID,NTI,Bintuni,Bintuni,,AI,---4----,,-2.10272835,133.51571962579666,true
ID,BIR,Biringkassi,Biringkassi,,RQ,1-------,,-4.816666666666666,119.48333333333333,
ID,BIT,"""Bitung"," Sulawesi""","""Bitung"," Sulawesi""",,1-------,1.207464,124.595804,true
ID,BLL,"""Blang Lancang"," St""","""Blang Lancang"," St""",,1-------,5.1952,96.4903,true
ID,BLI,"""Blinju"," Banka""","""Blinju"," Banka""",,1-------,95.1,NaN,
ID,BTR,Blitar,Blitar,JI,RL,--3-----,,-8.1,112.15,
ID,BLO,Blora,Blora,JT,RL,--3-----,,-6.95,111.41666666666667,
ID,BOG,Bogor,Bogor,JB,RL,--3-----,,-6.583333333333333,106.78333333333333,
ID,BOJ,Bojonegoro,Bojonegoro,JI,RQ,--3-----,,-7.15,111.86666666666666,
ID,BUI,Bokondini,Bokondini,,AI,---4----,,-3.68453605,138.6774512589587,true
ID,BJG,Bolaang,Bolaang,,AI,---4----,,0.9031532,124.1469583,true
ID,5BO,Bondowoso,Bondowoso,JI,RL,--3-----,,-7.916666666666667,113.81666666666666,
ID,BNG,Bonggala,Bonggala,,RQ,1-------,,,,
ID,BXT,"""Bontang"," Kl""","""Bontang"," Kl""",,1--4----,0.1236548,117.471708,true
ID,BOY,Boyolali,Boyolali,JT,RL,--3-----,,-7.533333333333333,110.58333333333333,
ID,BRE,Brebes,Brebes,JT,RL,--3-----,,6.883333333333333,109.5,
ID,BRB,Brumbung,Brumbung,JT,RQ,--3-----,,-7,110.51666666666667,
ID,BUN,Buatan,Buatan,,RQ,0-------,,0.8275,120.3548,true
ID,BDN,Buduran,Buduran,JT,RL,--3-----,,-7.416666666666667,112.71666666666667,
ID,BUK,Bukittinggi,Bukittinggi,SB,RL,--3--6--,,-0.31666666666666665,100.36666666666666,
ID,BUA,Bula,Bula,,RQ,1-------,,-3.105332,130.4886371,true
ID,BUG,"""Buleleng"," Bali""","""Buleleng"," Bali""",,1-------,-8.222151100000001,114.9856223167996,true
ID,BUT,Bunati,Bunati,KS,RL,--3-----,,-3.75,115.61666666666666,
ID,BTK,Buntok,Buntok,KT,RL,-2------,,-1.7,114.8,
ID,BYQ,Bunyu,Bunyu,KI,RL,1-------,,3.5,117.8,
ID,UOL,Buol,Buol,,AI,---4----,,1.1586619,121.4361959,true
ID,CAK,Cakung,Cakung,JK,RL,--3-----,,-6.216666666666667,106.93333333333334,
ID,CLG,Calang,Calang,,RQ,--3-----,,4.633333333333333,95.58333333333333,
ID,CND,Candi,Candi,JT,RL,--3-----,,-7.4,112.61666666666666,
ID,CSA,Cape Sago,Cape Sago,,RQ,1-------,,0.5304,101.4392,true
ID,CAW,Cawang,Cawang,JK,RL,--3-----,,-6.183333333333334,106.86666666666666,
ID,CGR,Ceger,Ceger,JK,RL,--3-----,,-6.3,106.88333333333334,
ID,CEB,"""Celukan Bawang"," Bl""","""Celukan Bawang"," Bl""",,1-------,-8.2008586,114.8452961,true
ID,CEN,Cengkareng,Cengkareng,JK,RL,--3---7-,,-6.15,106.71666666666667,
ID,ICU,Cepu,Cepu,JT,RL,-----6--,,-7.15,111.58333333333333,
ID,CER,Cereweh,Cereweh,NB,RQ,1-------,,-8.816666666666666,116.81666666666666,
ID,5CI,Ciamis,Ciamis,JB,RL,--3-----,,-7.333333333333333,108.35,
ID,CIJ,Cianjur,Cianjur,JB,RL,--3-----,,-6.816666666666666,107.13333333333334,
ID,CIA,Ciawi,Ciawi,JB,RL,--3-----,,-6.15,106.83333333333333,
ID,CBD,Cibadak,Cibadak,JB,RL,--3-----,,-6.883333333333333,106.76666666666667,
ID,CIB,Cibinong,Cibinong,JB,RQ,--3-----,,-6.383333333333334,106.68333333333334,
ID,CBT,Cibitung,Cibitung,JB,RQ,--3-----,,-6.316666666666666,106.98333333333333,
ID,CID,Cibubur,Cibubur,JB,RL,--3-----,,-6.333333333333333,106.86666666666666,
ID,CDS,Cicadas,Cicadas,JB,RL,--3-----,,-6.433333333333334,106.91666666666667,
ID,CIG,Cigading,Cigading,BT,RL,--3-----,,-6.016666666666667,105.96666666666667,
ID,CGJ,Ciganjur,Ciganjur,JB,RL,--3-----,,-6.183333333333334,106.88333333333334,
ID,CJT,Cijantung,Cijantung,JB,RL,--3-----,,-6.316666666666666,106.85,
ID,CIK,Cikampek,Cikampek,,RL,--3-----,,-6.4,107.45,
ID,SZA,Cikande,Cikande,JB,RL,1-3-----,,-6.2,106.35,
ID,CKR,Cikarang,Cikarang,JB,RQ,--3-----,,-6.25,107.15,
ID,CIP,Cikupa,Cikupa,JB,RL,--3-----,,-6.216666666666667,106.51666666666667,
ID,CXP,Cilacap (Tjilatjap),Cilacap (Tjilatjap),JT,AI,1-34----,,-7.733333333333333,109,
ID,CDK,Cilandak,Cilandak,JB,RL,--3-----,,-6.283333333333333,106.78333333333333,
ID,CGN,Cilegon,Cilegon,JB,RQ,--3-----,,-6.2,106.3,
ID,CIE,Cileungsi,Cileungsi,JB,RL,--3-----,,-6.383333333333334,106.95,
ID,CIL,Cilincing,Cilincing,JK,RQ,--3-----,,-6.083333333333333,106.93333333333334,
ID,CIU,Ciluar,Ciluar,JB,RL,--3-----,,-6.216666666666667,106.4,
ID,CMI,Cimahi,Cimahi,JB,RL,--3-----,,-6.866666666666667,107.53333333333333,
ID,CIM,Cimanggis,Cimanggis,JB,RQ,--3-----,,-6.316666666666666,106.73333333333333,
ID,CGU,Cimanggu,Cimanggu,JT,RQ,--3-----,,-7.016666666666667,110.51666666666667,
ID,CNE,Cinere,Cinere,JB,RL,--3-----,,-6.333333333333333,106.8,
ID,CIN,Cinta,Cinta,JB,RL,--3-----,,-7.15,108.05,
ID,CII,Cipinang,Cipinang,JB,RL,--3-----,,-6.216666666666667,106.35,
ID,CTT,Ciputat,Ciputat,,RQ,--3-----,,-6.3060477,106.747746,true
ID,CRC,Ciracas,Ciracas,JB,RL,--3-----,,-6.316666666666666,106.86666666666666,
ID,CBN,Cirebon (Tjeribon),Cirebon (Tjeribon),,AI,1-34----,,-6.733333333333333,108.56666666666666,
ID,CIR,Ciruas,Ciruas,JB,RL,--3-----,,-6.116666666666666,106.21666666666667,
ID,CIS,Cisalak,Cisalak,JB,RL,--3-----,,-6.366666666666666,106.85,
ID,CTK,Citangkil,Citangkil,JB,RL,--3-----,,-6.683333333333334,105.6,
ID,CIC,Citeureup,Citeureup,JB,RL,--3-----,,-6.966666666666667,107.61666666666666,
ID,CIW,Ciwandan,Ciwandan,BT,RL,1-------,,-6.016666666666667,105.95,
ID,CLM,Colomadu,Colomadu,,RQ,-----6--,,7.533333333333333,110.75,
ID,CRG,Curug,Curug,JB,RL,--3-----,,-6.333333333333333,106.68333333333334,
ID,CUR,Curug,Curug,JB,RL,--3-----,,-7.366666666666666,107.66666666666667,
ID,DAS,"""Dabo"," Singkep Isl""","""Dabo"," Singkep Isl""",,1-3-----,1.027167,97.767334,true
ID,DAR,Daruba,Daruba,MU,RL,--3-----,,2.0833333333333335,128.23333333333332,
ID,DTD,Datadawai,Datadawai,KI,RL,---4----,,0.11666666666666667,116.8,
ID,JAT,Demak,Demak,JT,RL,-----6--,,-6.883333333333333,110.63333333333334,
ID,DMA,Demta,Demta,PA,RL,1-3-----,,-2.3333333333333335,140.13333333333333,
ID,DPS,"""Denpasar"," Bali""","""Denpasar"," Bali""",BA,--345---,-8.668324,115.220027,true
ID,DEP,Depok,Depok,JB,RL,--3-----,,-6.4,106.81666666666666,
ID,DBB,Desa Bambe,Desa Bambe,JT,RL,--3-----,,-7.35,112.65,
ID,DGG,Desa Greges,Desa Greges,JT,RL,--3-----,,-7.35,110.16666666666667,
ID,DIV,Diviematra,Diviematra,,RQ,1-------,,,,
ID,DJA,Djankar,Djankar,,RQ,1-------,,,,
ID,DOB,Dobo,Dobo,MA,RL,1--4----,,-5.75,134.21666666666667,
ID,DOG,Donggi,Donggi,SN,RL,1-3-----,,-1.5333333333333332,122.25,
ID,DYJ,Driyorejo,Driyorejo,JT,RL,--3-----,,-7.35,112.61666666666666,
ID,DUM,"""Dumai"," Sumatra""","""Dumai"," Sumatra""",,1--4----,1.6631967,101.4470369,true
ID,DRI,Duri,Duri,RI,RL,--3-----,,1.45,101.25,
ID,DUR,Duri,Duri,JK,RQ,--3-----,,-6.966666666666667,106.43333333333334,
ID,SDA,Durian,Durian,KR,RL,1-------,,1.0166666666666666,103.56666666666666,
ID,ELA,Elat,Elat,MA,RQ,1-------,,-5.65,133.11666666666667,
ID,EWI,Enarotali,Enarotali,,AI,---4----,,-3.925919,136.37699404663323,true
ID,ENE,"""Ende"," Flores""","""Ende"," Flores""",,---4----,-5.128956,119.4142779,true
ID,ETK,Entikong,Entikong,KB,AM,--3--6--,,0.95,110.35,
ID,EWE,Ewer,Ewer,,AI,---4----,,-5.4967108,138.07690594266896,true
ID,EXS,Exspan,Exspan,,RQ,1-------,,-1.8,105.13333333333334,
ID,FKQ,"""Fak Fak"," Irian Jaya""","""Fak Fak"," Irian Jaya""",,1--4----,-5.04652,105.27115,true
ID,GAG,Gag Island,Gag Island,,RQ,--3-----,,-2.050556,130.410278,true
ID,GRG,Gagak Rimang Fso,Gagak Rimang Fso,JK,RL,------7-,,-6.7,112.21666666666667,
ID,GLX,"""Galela"," Halmahera""","""Galela"," Halmahera""",,---4----,-3.145508,126.932818,true
ID,GMB,Gambir,Gambir,JK,RL,-----6--,,-6.166666666666667,106.81666666666666,
ID,GRT,Garut,Garut,JB,RL,--3-----,,-7.216666666666667,107.9,
ID,GTS,Gatot Subroto Permai,Gatot Subroto Permai,BA,RL,1-------,,-8.633333333333333,115.2,
ID,GEB,Gebe,Gebe,,RQ,--34----,,-0.07795585,129.45774888440815,true
ID,JTI,Gedangan,Gedangan,JI,RL,--3-----,,-7.4,112.71666666666667,
ID,GEE,Gee Island,Gee Island,MA,RQ,1-------,,0.8333333333333334,128.31666666666666,
ID,IGR,Gianyar,Gianyar,BA,RL,-----6--,,-8.533333333333333,115.33333333333333,
ID,GIL,"""Gilimanuk"," Bali""","""Gilimanuk"," Bali""",,1-------,-8.1707675,114.4361568,true
ID,GOM,Gombong,Gombong,JB,RL,--3-----,,7.2,108.11666666666666,
ID,GTO,"""Gorontalo"," Sulawesi""","""Gorontalo"," Sulawesi""",,1--4----,0.5384433,123.0594971,true
ID,GRE,"""Gresik"," Java""","""Gresik"," Java""",JI,1-3-----,-7.1571614,112.6559633,true
ID,GRO,Grobogan,Grobogan,JT,RL,--3-----,,7.166666666666667,110.83333333333333,
ID,5GK,Gunung Kidul,Gunung Kidul,JB,RL,--3-----,,-6.066666666666666,106.33333333333333,
ID,GNS,"""Gunung Sitoli"," St""","""Gunung Sitoli"," St""",,1--4----,1.283333,97.6,true
ID,GUK,Gunungkidul,Gunungkidul,JB,RL,--3-----,,6.733333333333333,106.33333333333333,
ID,GPT,Gunungputri,Gunungputri,JB,RL,--3-----,,-6.45,106.88333333333334,
ID,GUN,Gunungsari,Gunungsari,JB,RL,--3-----,,-6.583333333333333,108.3,
ID,HLP,Halim Perdanakusuma Airport,Halim Perdanakusuma Airport,JK,RL,---4----,,-6.25,106.9,
ID,HDL,Handil,Handil,KI,RL,--3-----,,-0.75,117.26666666666667,
ID,ILA,Illaga,Illaga,,AI,---4----,,-3.976526,137.62141584136924,true
ID,INA,Inanwatan,Inanwatan,PB,RL,1--4----,,-2.1333333333333333,132.16666666666666,
ID,IDY,Inderalaya,Inderalaya,SS,RL,--3-----,,-3.25,104.66666666666667,
ID,IBT,Indonesia Bulk Terminal,Indonesia Bulk Terminal,KS,RQ,1-------,,,,
ID,JBK,Jababeka,Jababeka,,RQ,1-------,,-6.25,107.15,
ID,JBT,Jabung Terminal,Jabung Terminal,RI,RQ,1-------,,-0.8833333333333333,104.06666666666666,
ID,JGK,Jagakarsa,Jagakarsa,JB,RL,--3-----,,-6.333333333333333,106.81666666666666,
ID,JPU,Jakarta Pusat,Jakarta Pusat,JK,RL,1-------,,-6.183333333333334,106.83333333333333,
ID,JUT,Jakarta Utara,Jakarta Utara,,RQ,-----6--,,-6.166666666666667,106.81666666666666,
ID,UTC,Jakarta UTC1,Jakarta UTC1,JK,RQ,1-------,,-6.182283,106.839426,true
ID,UTE,Jakarta UTC3,Jakarta UTC3,JK,RQ,1-------,,-6.182283,106.839426,true
ID,JKT,"""Jakarta"," Java""","""Jakarta"," Java""",JK,12345---,-6.175247,106.8270488,true
ID,DJB,"""Jambi"," Sumatra""","""Jambi"," Sumatra""",,1--4----,-1.6296917,103.6077806,true
ID,JBG,Jatibarang,Jatibarang,,RQ,--3-----,,-6.9660265,109.0563735,true
ID,JAI,Jatiluhur,Jatiluhur,JB,RL,--3-----,,-6.55,107.41666666666667,
ID,JAA,Jatinegara,Jatinegara,JK,RL,--3-----,,-6.216666666666667,106.86666666666666,
ID,JTH,Jatitujuh,Jatitujuh,,RQ,--3-----,,-6.6484875,108.2271978,true
ID,JWA,Jawa Timur,Jawa Timur,JI,RL,1-------,,-7.733333333333333,112.5,
