country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
IE,AYF,Abbeyfeale,Abbeyfeale,,RL,--3-----,,52.38333333333333,-9.3,
IE,ABB,Abbeyleix,Abbeyleix,,AF,--3-----,,52.9144763,-7.3482153,true
IE,ACN,Achonry,Achonry,SO,RL,--3-----,,54.06666666666667,-8.666666666666666,
IE,ADA,Adare,Adare,LK,RL,--3-----,,52.56666666666667,-8.783333333333333,
IE,AHL,Aherla,Aherla,CO,RL,--3-----,,51.85,-8.733333333333333,
IE,ALQ,Alexandra Quay,Alexandra Quay,,AF,1-------,,53.2875,-6.68222,true
IE,ARO,Alexandra Road Oil,Alexandra Road Oil,,AF,1-------,,53.2875,-6.68222,true
IE,ANT,Annacarty,Annacarty,TA,RL,--3-----,,52.56666666666667,-8.116666666666667,
IE,ATN,Annacotty,Annacotty,LK,RQ,1----6--,,52.4,-8.3,
IE,ANN,Annagassan,Annagassan,LH,AF,--3-----,,53.88333333333333,-6.333333333333333,
IE,ARA,Ardara,Ardara,,RQ,--3-----,,54.7636255,-8.4105918,true
IE,ACH,Ardcath,Ardcath,,RL,--3-----,,53.6,-6.383333333333334,
IE,ARE,Ardee,Ardee,LH,RL,--3-----,,53.85,-6.533333333333333,
IE,ART,Ardfert,Ardfert,KY,RL,--3-----,,52.31666666666667,-9.783333333333333,
IE,ARN,Ardfinnan,Ardfinnan,TA,RL,--3-----,,52.3,-7.866666666666667,
IE,ARD,Ardmore,Ardmore,WD,RL,1-3-----,,51.95,-7.716666666666667,
IE,ARK,Arklow,Arklow,,AF,1-------,,52.798221,-6.1540035,true
IE,ARH,Arklow Head (Ie009),Arklow Head (Ie009),WW,RQ,1-------,,52.793689,-6.16836,true
IE,ATS,Arthurstown,Arthurstown,KE,RL,--3-----,,53.21666666666667,-6.566666666666666,
IE,ASH,Ashbourne,Ashbourne,,AF,--3-----,,53.5116146,-6.3981743,true
IE,ASD,Ashford,Ashford,WW,RL,--3-----,,53,-6.116666666666666,
IE,ASK,Askeaton,Askeaton,,AF,--3-----,,52.59458265000001,-8.96615477662709,true
IE,ABY,Athboy,Athboy,,RL,--3-----,,53.61666666666667,-6.916666666666667,
IE,ARY,Athenry,Athenry,,RL,--3-----,,53.28333333333333,-8.733333333333333,
IE,ATE,Athleague,Athleague,RN,RL,--3-----,,53.56666666666667,-8.25,
IE,ATH,Athlone,Athlone,,RQ,----5---,,53.4228434,-7.9425897,true
IE,ATY,Athy,Athy,,RQ,-23-----,,52.9923938,-6.9835926,true
IE,AUG,Aughinish Island,Aughinish Island,,AF,1-------,,53.1635849,-9.0733286,true
IE,AUM,Aughrim,Aughrim,,RL,--3-----,,52.85,-6.316666666666666,
IE,AVO,Avoca,Avoca,WW,RL,-23-----,,52.85,-6.2,
IE,BIF,B & I Ferryport,B & I Ferryport,,AF,1-------,,,,
IE,BIT,B & I Terminal,B & I Terminal,,AF,1-------,,,,
IE,BAG,Bagenalstown,Bagenalstown,CW,RL,-23-----,,52.7,-6.95,
IE,BAI,Bailieborough,Bailieborough,CN,RL,--3-----,,53.9,-6.966666666666667,
IE,BBG,Balbriggan,Balbriggan,D,RL,123-----,,53.61666666666667,-6.183333333333334,
IE,BAL,Baldonnel,Baldonnel,,AF,---4----,,,,
IE,BAY,Baldoyle,Baldoyle,D,AF,--3-----,,53.4,-6.133333333333334,
IE,BLH,Ballagh,Ballagh,LK,RL,--3-----,,52.36666666666667,-9.066666666666666,
IE,BGD,Ballaghaderreen,Ballaghaderreen,RN,RL,--3-----,,53.9,-8.583333333333334,
IE,BLL,Ballina,Ballina,MO,RL,1-3-----,,54.11666666666667,-9.166666666666666,
IE,BNA,Ballina,Ballina,TA,RL,1-3-----,,52.8,-8.433333333333334,
IE,BKL,Ballinakill,Ballinakill,LS,RL,--3-----,,52.86666666666667,-7.3,
IE,BAM,Ballinamore,Ballinamore,,RL,--3-----,,54.0526883,-7.8003268,true
IE,BAE,Ballinasloe,Ballinasloe,,AF,--3-----,,53.3302722,-8.221376,true
IE,IBG,Ballincollig,Ballincollig,CO,RL,-----6--,,51.88333333333333,-8.583333333333334,
IE,BAD,Ballindine,Ballindine,MO,RL,-23--6--,,53.666666666666664,-8.966666666666667,
IE,BAN,Ballineen,Ballineen,,RQ,--3-----,,51.733333333333334,-8.95,
IE,BRO,Ballinrobe,Ballinrobe,MO,RQ,-----6--,,53.6240883,-9.2220833,true
IE,IBS,Ballinskelligs,Ballinskelligs,KY,RL,--3-----,,51.8,-10.283333333333333,
IE,BAV,Ballivor,Ballivor,,RQ,--3-----,,53.53333333333333,-6.95,
IE,BON,Ballon,Ballon,CW,RL,--3-----,,52.733333333333334,-6.766666666666667,
IE,BDG,Ballsbridge,Ballsbridge,D,RL,-----6--,,53.31666666666667,-6.216666666666667,
IE,BLB,Ballybay,Ballybay,MN,RL,--3-----,,54.11666666666667,-6.9,
IE,JBR,Ballybin,Ballybin,LH,RL,--3-----,,54.05,-6.516666666666667,
IE,BBY,Ballybofey,Ballybofey,,RL,--3-----,,54.78333333333333,-7.766666666666667,
IE,BGH,Ballyboghil (Ballyboughal),Ballyboghil (Ballyboughal),D,RL,--3-----,,53.516666666666666,-6.25,
IE,BAO,Ballyboro,Ballyboro,WX,AF,--3-----,,52.46666666666667,-6.733333333333333,
IE,BCL,Ballycollin,Ballycollin,D,RL,--3-----,,53.15,-7.716666666666667,
IE,IBL,Ballyconnell,Ballyconnell,CN,RL,-----6--,,54.11666666666667,-7.583333333333333,
IE,BLN,Ballycotton,Ballycotton,CO,RL,--3-----,,51.833333333333336,-8,
IE,BVD,Ballydavid,Ballydavid,KY,RL,1-------,,52.21666666666667,-10.35,
IE,BYH,Ballydehob,Ballydehob,CO,RQ,--3-----,,51.55,-9.466666666666667,
IE,BYD,Ballydesmond,Ballydesmond,CO,RQ,--3-----,,52.166666666666664,-9.233333333333333,
IE,BFT,Ballyfermot,Ballyfermot,D,RQ,-----6--,,53.3423203,-6.3488839,true
IE,BLG,Ballygar,Ballygar,,RQ,--3-----,,53.5223233,-8.3261381,true
IE,BYY,Ballyhahil,Ballyhahil,LK,RL,-----6--,,52.55,-99.18333333333334,
IE,BHS,Ballyhaunis,Ballyhaunis,,RL,--3-----,,53.7633588,-8.7651532,true
IE,BYL,Ballyhoolahan,Ballyhoolahan,CO,RL,--3-----,,52.15,-9.05,
IE,BLF,Ballyjamesduff,Ballyjamesduff,CN,RL,--3-----,,53.85,-7.2,
IE,BLR,Ballylanders,Ballylanders,LK,RL,--3-----,,52.36666666666667,-8.333333333333334,
IE,BYB,Ballymacarbry,Ballymacarbry,WD,RL,--3-----,,52.25,-7.716666666666667,
IE,BLM,Ballymahon,Ballymahon,LD,RL,--3-----,,53.56666666666667,-7.766666666666667,
IE,BMY,Ballymoney,Ballymoney,DL,RL,--3-----,,55.03333333333333,-7.5,
IE,BMO,Ballymote,Ballymote,SO,RL,--3-----,,54.083333333333336,-8.516666666666667,
IE,BMT,Ballymount,Ballymount,,RL,--3-----,,53.31666666666667,-6.366666666666666,
IE,BRY,Ballymurray,Ballymurray,RN,RL,-23-----,,53.583333333333336,-8.116666666666667,
IE,BGY,Ballynacargy,Ballynacargy,,RQ,1----6--,,53.56666666666667,-7.533333333333333,
IE,BRG,Ballyragget,Ballyragget,KK,RL,--3-----,,52.78333333333333,-7.316666666666666,
IE,BSN,Ballyshannon,Ballyshannon,,AF,--3-----,,54.501979,-8.1897659,true
IE,BYV,Ballyvaughan,Ballyvaughan,CE,RL,--3-----,,53.11666666666667,-9.15,
IE,BVY,Ballyvourney,Ballyvourney,CO,RL,--3-----,,51.93333333333333,-9.166666666666666,
IE,BTM,Baltimore,Baltimore,,AI,1-------,,51.4833209,-9.3732052,true
IE,BLT,Baltinglass,Baltinglass,WW,RL,--3-----,,52.93333333333333,-6.7,
IE,BGR,Banagher,Banagher,OY,RL,--3-----,,53.18333333333333,-7.983333333333333,
IE,BDO,Bandon,Bandon,,RL,--3-----,,51.75,-8.733333333333333,
IE,BNG,Bangor,Bangor,,RL,1-3-----,,54.13333333333333,-9.733333333333333,
IE,BES,Bangor Erris,Bangor Erris,MO,RL,--3-----,,54.13333333333333,-9.733333333333333,
IE,BYT,Bantry,Bantry,CO,AF,1-34----,,51.68333333333333,-9.45,
IE,BTH,Bantry Harbour,Bantry Harbour,CO,RQ,1-------,,51.68333333333333,-9.45,
IE,BWD,Bawnboy,Bawnboy,CN,RL,--3-----,,54.11666666666667,-7.683333333333334,
IE,BEF,Belfast,Belfast,,RL,--3-----,,54.583333333333336,-5.916666666666667,
IE,BLY,Belmullet,Belmullet,MO,AI,--34----,,54.21666666666667,-9.983333333333333,
IE,BTB,Belturbet,Belturbet,CN,RL,--3-----,,54.1,-7.433333333333334,
