country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
IN,NRP,Aal-SEZ/Vishakhapatnam,Aal-SEZ/Vishakhapatnam,AP,RQ,-----6--,,17.7,83.3,
IN,API,Aap-SEZ/Ahmedabad,Aap-SEZ/Ahmedabad,GJ,RQ,-----6--,,23.033333333333335,72.61666666666666,
IN,ABH,Abohar,Abohar,PB,RL,--3-----,,30.15,74.18333333333334,
IN,ABU,Abu Road,Abu Road,RJ,RL,-23-----,,24.483333333333334,72.78333333333333,
IN,ACK,Acharapakkam,Acharapakkam,TN,AA,--3-----,,12.383333333333333,79.8,
IN,ACH,Achra,Achra,MH,AA,1-------,,16.19248,73.44498,true
IN,APL,Acpl Cfs/Dadri,Acpl Cfs/Dadri,UP,RQ,-----6--,,28.566666666666666,77.55,
IN,AKM,Adakamaranahalli,Adakamaranahalli,KA,RL,--3-----,,13.066666666666666,77.43333333333334,
IN,ADK,Adambakkam,Adambakkam,TN,RL,-----6--,,12.983333333333333,80.2,
IN,QRP,Adani Icd/Kila Raipur,Adani Icd/Kila Raipur,PB,AA,-----6--,,30.75,75.85,
IN,ABD,Adilabad,Adilabad,AP,RL,--3-----,,19.666666666666668,78.53333333333333,
IN,ADL,Adimali,Adimali,,RL,-----6--,,10,76.95,
IN,ADP,Adipur,Adipur,JK,RL,--3-----,,34.266666666666666,74.48333333333333,
IN,FMT,Aditabla,Aditabla,TG,AA,-----6--,,17.383333333333333,78.9,
IN,ADY,Adyar,Adyar,TN,RL,-----6--,,13,80.25,
IN,CJA,AEIP SEZ/Kancheepuram,AEIP SEZ/Kancheepuram,TN,AA,--3--6--,,12.833333333333334,79.71666666666667,
IN,BWS,Afs/Kapashera,Afs/Kapashera,DL,AA,-----6--,,28.866666666666667,77.13333333333334,
IN,IXA,Agartala,Agartala,,AI,---4----,,23.8312377,91.2823821,true
IN,AGX,Agatti Island,Agatti Island,,AI,---4----,,10.82303955,72.1751756961408,true
IN,AGR,Agra,Agra,UP,AA,---4-6--,,27.1566028,77.95049581657285,true
IN,AGA,Agucha,Agucha,RJ,RL,--3-----,,25.816666666666666,74.71666666666667,
IN,AMD,Ahmedabad,Ahmedabad,GJ,AA,-234-6--,,23.033333333333335,72.61666666666666,
IN,MUM,Ahmednagar,Ahmednagar,MH,RL,-23-----,,19.083333333333332,74.73333333333333,
IN,BPS,Air Parcel Sorting Office/Mumbai,Air Parcel Sorting Office/Mumbai,MH,AA,----5---,,18.916666666666668,72.8,
IN,AJL,Aizawl,Aizawl,,AI,---4----,,23.7433532,92.7382756,true
IN,AJI,Ajmer,Ajmer,RJ,RL,--3-----,,26.45,74.63333333333334,
IN,AKD,Akola,Akola,,AI,---4----,,20.697417,77.06134451392703,true
IN,ALA,Alang SBY,Alang SBY,,RN,12------,,21.395576,72.17527,true
IN,AGU,Alangulam,Alangulam,TN,RL,--3-----,,8.866666666666667,77.5,
IN,ABG,Alibag,Alibag,MH,AA,1-------,,18.6498427,72.8765469,true
IN,ALG,Aligarh,Aligarh,UP,RL,--3-----,,27.883333333333333,78.06666666666666,
IN,APR,Alipore,Alipore,WB,RL,-23-----,,22.516666666666666,88.31666666666666,
IN,ALI,Alirajpur,Alirajpur,MP,RL,--3-----,,22.3,74.35,
IN,IXD,Allahabad,Allahabad,,AI,---4----,,25.4381302,81.8338005,true
IN,ALF,Alleppey,Alleppey,KL,AA,1-------,,9.483333333333333,76.31666666666666,
IN,IXV,Along Apt,Along Apt,AR,RL,--34----,,28.166666666666668,94.76666666666667,
