country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
IQ,ALF,Abu Al Fulus,Abu Al Fulus,,RQ,1-------,,33.34913,43.78599,true
IQ,ALK,Abu Al Khasib,Abu Al Khasib,,RL,--3-----,,30.4474719,47.9757737,true
IQ,ABG,Abu Gharib,Abu Gharib,DQ,RL,--3-----,,31.1,46.03333333333333,
IQ,ABU,Abu Ghraib,Abu Ghraib,BG,RL,--3-----,,33.28333333333333,44.05,
IQ,ADW,Ad Dawrah,Ad Dawrah,BG,RL,--3-----,,33.25,44.38333333333333,
IQ,ASD,Al Asad,Al Asad,,RL,1-3-----,,33.78333333333333,42.43333333333333,
IQ,HIL,Al Hillah,Al Hillah,BB,RL,1-------,,32.483333333333334,44.43333333333333,
IQ,KUT,Al Kut,Al Kut,,RQ,0-------,,32.5010274,45.8296334,true
IQ,AQY,Al Qayyarah,Al Qayyarah,NI,RL,--3-----,,35.8,43.28333333333333,
IQ,TQD,Al Taqaddum,Al Taqaddum,,RL,1-3-----,,33.333333333333336,43.583333333333336,
IQ,UZA,Al 'Uzayr,Al 'Uzayr,MA,RL,--3-----,,31.333333333333332,47.416666666666664,
IQ,ZUB,Al Zuwayr,Al Zuwayr,QA,RL,--3-----,,31.816666666666666,44.9,
IQ,TAL,Ali Air Base,Ali Air Base,,RQ,--34----,,30.933333333333334,46.083333333333336,
IQ,AMA,Amara (Al-Amarah),Amara (Al-Amarah),,RQ,0-------,,31.83588,47.144,true
IQ,ANJ,An Najaf,An Najaf,,RL,--3-----,,31.983333333333334,44.333333333333336,
IQ,NRH,An Nasiriyah,An Nasiriyah,DQ,RL,--3-----,,31.033333333333335,46.266666666666666,
IQ,ARK,Arak,Arak,,RQ,0-------,,34.38797,43.55436,true
IQ,ABL,Arbil,Arbil,AR,RL,-----6--,,36.18333333333333,44,
IQ,SBA,Ash Shu'aybah,Ash Shu'aybah,BA,RL,--3-----,,30.4,47.6,
IQ,BBB,Babil,Babil,BB,RL,--3-----,,32.53333333333333,44.416666666666664,
IQ,BGW,Baghd�d,Baghdad,BG,AI,12345---,,33.333333333333336,44.38333333333333,
IQ,BAL,Balad,Balad,SD,RL,-23-----,,34,44.13333333333333,
IQ,BMN,Bamerny,Bamerny,,RQ,---4----,,37.1,43.266666666666666,
IQ,BAQ,Ba'qubah,Ba'qubah,DI,RL,-23-----,,33.75,44.63333333333333,
IQ,BSH,Bashur Airfield,Bashur Airfield,,RQ,--34----,,36.53333333333333,44.35,
IQ,BSR,Basra,Basra,BA,AI,1-------,,30.53302,47.79747,true
IQ,MAB,Basrah Oil Terminal,Basrah Oil Terminal,BA,RL,1-------,,29.75,48.833333333333336,
IQ,BAI,Bayji,Bayji,SD,RL,--3-----,,34.916666666666664,43.483333333333334,
IQ,CBC,Camp Bucca,Camp Bucca,BA,RQ,--3-----,,30.066666666666666,47.88333333333333,
IQ,CHA,Chamchamal,Chamchamal,SU,RQ,--3-----,,35.53333333333333,44.81666666666667,
IQ,DQR,Dhi Qar,Dhi Qar,MU,RL,-----6--,,31.45,45.1,
IQ,DIW,Diwaniyah,Diwaniyah,,RQ,0-------,,31.9853304,44.9236266,true
IQ,DOK,Dohuk,Dohuk,,RQ,0-------,,36.8542598,42.9924528,true
IQ,DHK,Duhok,Duhok,DA,RL,--3-----,,37.1,43.81666666666667,
IQ,EBL,Erbil International Apt,Erbil International Apt,,RL,--345---,,36.233333333333334,43.95,
IQ,FAL,Falluja,Falluja,,RQ,0-------,,33.3532137,43.7875674,true
IQ,FAO,Fao,Fao,,QQ,1-------,,29.9743957,48.471826,true
IQ,HAF,H1 Airfield,H1 Airfield,,RQ,--34----,,33.81666666666667,41.43333333333333,
IQ,IDQ,Hasan Al Baghdadi,Hasan Al Baghdadi,DQ,RL,--3-----,,31.283333333333335,46.1,
IQ,HND,Hindiya,Hindiya,,RQ,0-------,,32.5432123,44.2219808,true
IQ,HIT,Hit,Hit,,RQ,0-------,,33.6387394,42.8278537,true
IQ,IRB,Irbil,Irbil,,RL,-23-----,,36.166666666666664,44,
IQ,IKD,Iskandariyha,Iskandariyha,,QQ,1-------,,,,
IQ,KAR,Karbala,Karbala,,QQ,1-------,,32.6156423,44.0348194,true
IQ,KAB,Khan al Baghdadi,Khan al Baghdadi,,RL,-23-----,,33.833333333333336,42.55,
IQ,KHA,Khor Al Amaya,Khor Al Amaya,,QQ,1-------,,31.83588,47.144,true
IQ,KAZ,Khor al Zubair,Khor al Zubair,,RQ,1-------,,30.234714,47.7747539,true
IQ,KIK,Kirkuk,Kirkuk,,AI,1-------,,35.4719308,44.3953896,true
IQ,KFA,Kufa,Kufa,,RQ,0-------,,32.03444,44.4031125,true
IQ,BA4,Mafraq Ash Shuaybah,Mafraq Ash Shuaybah,BA,RL,-23-----,,30.466666666666665,47.65,
IQ,MAN,Mandali,Mandali,,QQ,1-------,,33.7464993,45.5522421,true
IQ,OSM,Mosul (Ak Mawsil),Mosul (Ak Mawsil),NI,AI,1-3-----,,36.166666666666664,42.583333333333336,
IQ,B9T,Musayyib,Musayyib,BB,RL,--3-----,,32.766666666666666,44.28333333333333,
IQ,NMA,Nahr an Nu'maniyah,Nahr an Nu'maniyah,DQ,RL,--3-----,,30.966666666666665,46.266666666666666,
IQ,NJF,Najaf,Najaf,NA,RL,1-34----,,31.983333333333334,44.3,
IQ,NAS,Najat,Najat,,QQ,1-------,,,,
IQ,NSR,Nasiriyah,Nasiriyah,,RL,1-3-----,,31.05,46.25,
IQ,NAM,New Al Muthana Air Base,New Al Muthana Air Base,BG,RQ,--34----,,33.266666666666666,44.233333333333334,
IQ,RMD,Ramadi,Ramadi,,RQ,0-------,,33.4259859,43.2999218,true
IQ,RTM,Ratawi,Ratawi,,RQ,0-------,,30.628889,47.210278,true
IQ,SAF,Safwan,Safwan,BA,RL,--3-----,,30.1,47.71666666666667,
IQ,SAM,Samarra',Samarra',SD,RL,1-------,,34.2,43.86666666666667,
IQ,SMW,Samawa (As-Samawah),Samawa (As-Samawah),,RQ,0-------,,31.3078736,45.2826616,true
IQ,SHT,Shaykh Hantush,Shaykh Hantush,QA,RQ,--3-----,,32.333333333333336,44.916666666666664,
IQ,SYH,Sulaymaniyah,Sulaymaniyah,,RQ,--3-----,,35.5570501,45.4425963,true
IQ,ISU,Sulaymaniyah International Airport,Sulaymaniyah International Airport,SU,RL,---4----,,35.55,45.3,
IQ,TJI,Taji,Taji,,RL,1-3-----,,33.516666666666666,44.266666666666666,
IQ,TAF,Tal Afar,Tal Afar,NI,RQ,--3-----,,36.36666666666667,42.45,
IQ,TLL,Tallil,Tallil,,RQ,--34----,,30.933333333333334,46.083333333333336,
IQ,TKT,Tikrit,Tikrit,,RQ,0-------,,34.615807,43.678606,true
IQ,UQR,Umm Qasr Port,Umm Qasr Port,BA,RL,123-----,,30.033333333333335,47.93333333333333,
IQ,WST,Wasit,Wasit,QA,RL,-----6--,,32.38333333333333,45.21666666666667,
IQ,ZAO,Zakho,Zakho,,RL,1-3-----,,37.13333333333333,42.7,
