country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
IR,ABD,Abadan,Abadan,,AI,1--45---,,30.3668469,48.228439506236356,true
IR,JBD,Abadeh,Abadeh,07,RL,-----6--,,30.033333333333335,52.53333333333333,
IR,ABR,Abhar,Abhar,19,RL,-----6--,,36.13333333333333,49.21666666666667,
IR,AEU,Abu Musa,Abu Musa,22,RL,---4----,,25.9,54.983333333333334,
IR,AKW,Aghajari,Aghajari,,RL,---4----,,37.5,45.96666666666667,
IR,AHR,Ahar,Ahar,03,RL,--3-----,,38.46666666666667,47.05,
IR,AWZ,Ahwaz,Ahwaz,,AI,---4----,,31.323432,48.66507,true
IR,UZA,Al Uzsayr,Al Uzsayr,,RQ,0-------,,38.35417,45.29333,true
IR,LEH,Ali Shah Avaz,Ali Shah Avaz,23,RL,-----6--,,35.65,51.05,
IR,AMR,Amara,Amara,,RQ,0-------,,34.81139,49.29033,true
IR,AMP,Amir Abad Pt,Amir Abad Pt,21,RL,1-------,,36.083333333333336,52.36666666666667,
IR,BAM,Amirabad,Amirabad,06,RQ,1-------,,26.85,54.36666666666667,
IR,ARA,Arak,Arak,00,RL,--3-----,,34.083333333333336,49.68333333333333,
IR,ADU,Ardabil,Ardabil,,AI,---4----,,38.2515581,48.2972269,true
IR,PGU,Asaloyeh,Asaloyeh,,RQ,---4----,,27.483333333333334,52.61666666666667,
IR,ASA,Asaluyeh,Asaluyeh,18,RL,1-3-----,,27.466666666666665,52.6,
IR,ASR,Astara,Astara,,RQ,0-------,,38.4193239,48.8715278,true
IR,BBL,Babolsar,Babolsar,,AI,---4----,,36.7008777,52.6481047,true
IR,IAQ,Bahregan,Bahregan,,AI,---4----,,29.8395553,50.272740631714726,true
IR,BAJ,Bajgiran,Bajgiran,,AI,----5---,,37.6219339,58.4182686,true
IR,BXR,Bam,Bam,,AI,---4----,,29.1059864,58.3565663,true
IR,BND,Bandar Abbas,Bandar Abbas,22,AI,1--4----,,27.183333333333334,56.266666666666666,
IR,AMD,Bandar Amirabad,Bandar Amirabad,21,RL,123-56--,,36.78333333333333,53.35,
IR,BAH,Bandar Assaluyeh,Bandar Assaluyeh,,RQ,1-------,,37.47258,49.4593,true
IR,BKM,Bandar Khomeini,Bandar Khomeini,06,RL,1-34----,QBR,30.433333333333334,49.1,
IR,BMR,Bandar Mashur,Bandar Mashur,06,RL,1-----7-,,30.55,49.18333333333333,
IR,NEK,Bandar Neka,Bandar Neka,,RL,1-3-56--,,36.86666666666667,53.53333333333333,
IR,BSR,Bandar Shahid Rajaee,Bandar Shahid Rajaee,,RQ,1-------,,28.9684,50.8385,true
IR,BAZ,Bandar-e Anzali,Bandar-e Anzali,01,RL,1-------,,37.46666666666667,49.46666666666667,
IR,BKK,Bandar-e Emam Khomeyni,Bandar-e Emam Khomeyni,,RL,1----6--,,30.433333333333334,49.1,
IR,BRG,Bandar-e Gaz,Bandar-e Gaz,,RL,1-------,,36.78333333333333,53.95,
IR,BDH,Bandar-e Lengeh,Bandar-e Lengeh,22,AI,---4----,,26.55,54.88333333333333,
IR,MRX,Bandar-e M�h Shahr,Bandar-e Mah Shahr,06,RL,1234----,,30.533333333333335,49.166666666666664,
IR,BPA,Bandare Parsian,Bandare Parsian,22,RL,1-------,,27.166666666666668,52.9,
IR,BNH,Baneh,Baneh,00,RL,-----6--,,34.083333333333336,49.416666666666664,
IR,DGN,Basargan,Basargan,,RQ,0-------,,,,
IR,XBJ,Birjand,Birjand,,AI,---4----,,32.89973775,59.264100235265865,true
IR,BSM,Bisheh Kola,Bisheh Kola,,RQ,---4----,,36.18333333333333,53.166666666666664,
IR,BJB,Bojnurd,Bojnurd,,AI,---4----,,37.483333333333334,57.31666666666667,
IR,BOR,Borazjan,Borazjan,,RL,-----6--,,29.25,51.2,
IR,BRJ,Borujerd,Borujerd,15,RL,--3-----,,33.86666666666667,48.833333333333336,
IR,BUZ,Bushehr,Bushehr,18,AI,1-34----,,28.966666666666665,50.833333333333336,
IR,CI3,Chabahar,Chabahar,11,RL,--3-----,,25.283333333333335,60.63333333333333,
IR,ZBR,Chah Bahar,Chah Bahar,,AI,1--4----,,30.01833,52.38389,true
IR,DAM,Damavand,Damavand,,RL,--3-----,,35.733333333333334,52.05,
IR,DAY,Dayyer,Dayyer,18,AA,1-------,,27.833333333333332,51.93333333333333,
IR,DEH,Dehbid,Dehbid,07,RL,-----6--,,30.616666666666667,53.2,
IR,DEF,Dezful,Dezful,06,RQ,---4----,,32.416666666666664,48.21666666666667,
IR,DOG,Do Gharun,Do Gharun,,RL,--3-----,,34.71666666666667,60.93333333333333,
