country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
IS,AKR,Akranes,Akranes,,AC,1-------,,64.3170806,-22.0833512,true
IS,AKU,Akureyri,Akureyri,,AC,1-------,,65.68390355,-18.11217559813441,true
IS,AEY,Akureyri Apt,Akureyri Apt,,AC,---4----,,65.65665505,-18.070539795271742,true
IS,ASS,Arskogssandur,Arskogssandur,,AI,1-------,,65.93333333333334,-18.366666666666667,
IS,BAK,Bakkafj�rdur,Bakkafjordur,,AC,1-------,,66.03333333333333,-14.8,
IS,BIL,Bildudalur - h�fn,Bildudalur - hofn,,AI,1-------,,64.2532647,-15.2080441,true
IS,BIU,Bildudalur Apt,Bildudalur Apt,,AI,---4----,,65.64170795,-23.5455424929956,true
IS,BLO,Blonduos,Blonduos,,AC,1--4----,,65.6435941,-20.288730913273465,true
IS,BOL,Bolungarvik,Bolungarvik,,AC,1-34----,,66.13333333333334,-23.25,
IS,BOI,Bordeyri,Bordeyri,,AC,1-------,,65.2074843,-21.0987679,true
IS,BGJ,Borgarfj�rdur eystri,Borgarfjordur eystri,,AC,1-------,,65.5269612,-13.8161009,true
IS,BOR,Borgarnes,Borgarnes,,AC,1-------,,64.5383337,-21.920208,true
IS,BRE,Breiddalsvik,Breiddalsvik,,AC,1-------,BXV,64.792906,-14.0063726,true
IS,BRJ,Brj�nsl�kur,Brjanslakur,3,AA,1-------,,65.53333333333333,-23.2,
IS,BUD,Budardalur,Budardalur,3,AC,1-3-----,,65.11666666666666,-21.766666666666666,
IS,DAL,Dalv�k,Dalvik,,AC,1-------,,65.96666666666667,-18.533333333333335,
IS,DPV,Djupavik,Djupavik,,AC,1-------,,66.1033528,-23.1055168,true
IS,DJU,Dj�pivogur,Djupivogur,,AC,1--4----,,64.65,-14.283333333333333,
IS,DRA,Drangsnes,Drangsnes,,AC,1-------,,65.6886335,-21.4429421,true
IS,EGS,Egilsstadir,Egilsstadir,,AC,---4----,,65.28288914999999,-14.40198938402052,true
IS,ESK,Eskifj�rdur - h�fn,Eskifjordur - hofn,,AC,1-------,,64.253065,-15.205265,true
IS,EFJ,Eskifj�rdur Apt,Eskifjordur Apt,,AC,---4----,,65.076443,-14.030141,true
IS,FAG,Fagurholsmyri,Fagurholsmyri,,AC,---4----,,63.8748485,-16.639845057443527,true
