country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
JM,ALP,Alligator Pond,Alligator Pond,,QQ,1-------,,17.8698599,-77.566115,true
JM,ANT,Annotto Bay,Annotto Bay,05,AM,--3-----,,18.266666666666666,-76.76666666666667,
JM,BMB,Bamboo,Bamboo,09,AM,--3-----,,18.433333333333334,-78.03333333333333,
JM,BLR,Black River,Black River,,QQ,1-------,,18.0241677,-77.8480102,true
JM,BOK,Bog Walk,Bog Walk,14,AM,--3-----,,18.1,-77.01666666666667,
JM,BWN,Bowden,Bowden,,QQ,1-------,,17.8895747,-76.3130602,true
JM,BRN,Browns Town,Browns Town,06,RL,--3-----,,18.4,-77.36666666666666,
JM,BSV,Bull Savanna,Bull Savanna,11,AM,--3-----,,17.883333333333333,-77.6,
JM,CST,Charles Town,Charles Town,04,RL,--3--6--,,18.216666666666665,-76.66666666666667,
JM,CHA,Christiana,Christiana,12,RL,--3-----,,18.166666666666668,-77.48333333333333,
JM,CLA,Clarendon Park,Clarendon Park,,RL,--3-----,,17.966666666666665,-77.38333333333334,
JM,DLT,Darliston,Darliston,10,AM,--3-----,,18.233333333333334,-77.96666666666667,
JM,DIY,Discovery Bay,Discovery Bay,06,RL,--3-----,,18.466666666666665,-77.4,
JM,EWN,Ewarton,Ewarton,14,RL,--3-----,,18.183333333333334,-77.08333333333333,
JM,FHP,Fairy Hill,Fairy Hill,04,RL,--3-----,,18.15,-76.61666666666666,
JM,FMH,Falmouth,Falmouth,,QQ,1-------,,18.4929078,-77.6574376,true
JM,FRF,Frankfield,Frankfield,13,RL,--3-----,,18.15,-77.36666666666666,
JM,HAL,Halse Hall,Halse Hall,13,RL,--3-----,,17.916666666666668,-77.25,
JM,HMP,Hampden,Hampden,07,RQ,--3-----,,18.433333333333334,-77.75,
JM,HIE,Highgate,Highgate,05,RL,--3-----,,18.266666666666666,-76.88333333333334,
JM,KIN,Kingston,Kingston,,AI,1--45---,,17.98903215,-76.8251459214969,true
JM,KTP,Kingston Tinson Airport,Kingston Tinson Airport,01,RL,---4----,,18.016666666666666,-76.81666666666666,
JM,KNK,Knockpatrick,Knockpatrick,12,RL,--3-----,,18,-77.51666666666667,
JM,LID,Linstead,Linstead,14,RL,--3-----,,18.133333333333333,-77.03333333333333,
JM,LOP,Long Pond,Long Pond,,RL,-----6--,,18.433333333333334,-77.55,
JM,LUC,Lucea,Lucea,,RL,--3-----,,18.4472235,-78.1729253,true
JM,MGT,Maggotty,Maggotty,11,AM,--3-----,,18.15,-77.76666666666667,
JM,MVJ,Mandeville,Mandeville,,AI,---4----,,18.0431254,-77.50741,true
JM,MPE,May Pen,May Pen,13,AM,--3-----,,17.966666666666665,-77.23333333333333,
JM,MNG,Moneague,Moneague,06,RL,--3-----,,18.266666666666666,-77.11666666666666,
JM,MBJ,Montego Bay,Montego Bay,,AI,1--4----,,18.502925949999998,-77.91388740287721,true
JM,8MM,Monymusk,Monymusk,13,RL,--3-----,,17.816666666666666,-77.21666666666667,
JM,MOB,Morant Bay,Morant Bay,03,RL,--3-----,,17.883333333333333,-76.41666666666667,
JM,NAI,Nain,Nain,,RL,--3-----,,17.95,-77.6,
JM,NEG,Negril,Negril,,AI,---4----,,18.2779531,-78.3494771,true
JM,NYM,New Yarmouth,New Yarmouth,13,RQ,--3-----,,17.883333333333333,-77.26666666666667,
JM,NET,Newport,Newport,12,RL,--3-----,,17.966666666666665,-77.5,
JM,OCJ,Ocho Rios,Ocho Rios,,AI,1--4----,,18.4081045,-77.1011092,true
JM,OLR,Old Harbour,Old Harbour,14,RL,--3-----,,17.933333333333334,-77.11666666666666,
JM,ORC,Oracabessa,Oracabessa,,RL,1-------,,18.4,-76.95,
JM,POT,Port Antonio,Port Antonio,,AI,1--4----,,18.1763606,-76.4459288,true
JM,PEV,Port Esquivel,Port Esquivel,,QQ,1-------,,17.8923028,-77.1297726,true
JM,PHE,Port Henderson,Port Henderson,14,RL,1-------,,17.95,-76.88333333333334,
JM,PKS,Port Kaiser,Port Kaiser,,QQ,1-------,,17.86341,-77.60419,true
JM,POA,Port Maria,Port Maria,05,RL,--3-----,,18.366666666666667,-76.9,
JM,PMO,Port Morant,Port Morant,,QQ,1-------,,17.8909629,-76.3263799,true
JM,PRH,Port Rhoades,Port Rhoades,,QQ,1-------,,18.17998,-76.46121,true
JM,PRO,Port Royal,Port Royal,,QQ,1-------,,17.9360762,-76.8417961,true
JM,PTM,Portmore,Portmore,14,AM,--3-----,,17.966666666666665,-76.86666666666666,
JM,PRI,Priory,Priory,,RL,-----6--,,18.45,-77.21666666666667,
JM,RIB,Rio Bueno,Rio Bueno,,RQ,1-------,,18.4709288,-77.4610999,true
JM,ROP,Rocky Point,Rocky Point,,RQ,1-------,,17.7724771,-77.259905,true
JM,ROH,Rose Hall,Rose Hall,11,RL,-----6--,,17.933333333333334,-77.65,
JM,SAP,Saint Andrew Parish,Saint Andrew Parish,,RL,--3-5---,,18.06701,-76.68462,true
JM,SAW,Saint Ann's Bay,Saint Ann's Bay,06,RL,1-------,,18.433333333333334,-77.2,
JM,STH,Saint Thomas,Saint Thomas,,RL,--3-----,,17.9,-76.43333333333334,
JM,SRI,Salt River,Salt River,,QQ,1-------,,18.0226498,-76.8562961,true
JM,SAN,Sandy Bay,Sandy Bay,,RL,--3-----,,18.45,-78.08333333333333,
JM,STC,Santa Cruz,Santa Cruz,11,RL,--3-----,,18.05,-77.7,
JM,SLM,Savanna-la-Mar,Savanna-la-Mar,,RL,1-------,,18.216666666666665,-78.13333333333334,
JM,SED,Serge Island,Serge Island,03,RL,--3-----,,17.95,-76.48333333333333,
JM,SPT,Spanish Town,Spanish Town,,RL,--3-----,,17.9956926,-76.9540831,true
JM,TR9,Trelawny,Trelawny,07,RQ,--3-----,,18.383333333333333,-77.63333333333334,
JM,VIN,Vineyard,Vineyard,01,RL,-----6--,,17.966666666666665,-76.76666666666667,
