country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
JO,DAH,Abu Alandah,Abu Alandah,AM,RL,1----6--,,31.9,35.96666666666667,
JO,DUL,Ad-Dulayl,Ad-Dulayl,AZ,RL,--3-----,,32.11666666666667,36.266666666666666,
JO,AJL,Ajloun,Ajloun,AJ,AM,--3-----,,32.333333333333336,35.71666666666667,
JO,AQJ,Al 'Aqabah,Al 'Aqabah,,RL,1--4----,,29.533333333333335,35,
JO,AAQ,Al Azraq,Al Azraq,AZ,RQ,--3-----,,31.9,36.88333333333333,
JO,FUH,Al Fuhays,Al Fuhays,,RL,--3-----,,32.016666666666666,35.766666666666666,
JO,8AJ,Al Jizah,Al Jizah,AM,RL,--3-----,,31.7,35.95,
JO,SLT,Al Salt,Al Salt,BA,AM,--3-----,,32.016666666666666,35.71666666666667,
JO,KAR,Al-Karak,Al-Karak,KA,RL,--3-----,,31.183333333333334,35.7,
JO,AMM,Amman,Amman,,AI,---45---,,31.97329615,35.99443581585939,true
JO,AQB,'Aqaba,'Aqaba,,RL,1-3-----,,29.516666666666666,35,
JO,ARM,Ar Ramtha,Ar Ramtha,IR,AM,--3-----,,32.55,36,
JO,ASF,As Safi,As Safi,KA,RL,--3-----,,31.033333333333335,35.46666666666667,
JO,ASA,As Samra',As Samra',,RL,--3-----,,31.366666666666667,35.75,
JO,TFH,At Tafilah,At Tafilah,AT,RL,--3-----,,30.833333333333332,35.6,
JO,ZAR,Az Zarqa',Az Zarqa',,RL,--3-----,QZA,32.083333333333336,36.1,
JO,QIR,Irbid,Irbid,,AI,--3-----,,32.5556091,35.8493023,true
JO,JAR,Jerash,Jerash,JA,AM,--3-----,,32.266666666666666,35.88333333333333,
JO,KHB,King Hussein Bridge,King Hussein Bridge,BA,AM,--3-----,,31.866666666666667,35.53333333333333,
JO,MPQ,Ma'an,Ma'an,,AI,---4----,,30.2,35.733333333333334,
JO,QMD,Madaba,Madaba,,RQ,---4----,,31.716666666666665,35.8,
JO,OMF,Mafruq,Mafruq,,RL,---4----,,32.333333333333336,36.233333333333334,
JO,PHN,Prince Hasan Air Base,Prince Hasan Air Base,MA,RQ,--34----,,32.166666666666664,37.15,
JO,QMO,Qir Moav,Qir Moav,KA,RQ,-----6--,,31.183333333333334,35.7,
JO,SAH,Sahab,Sahab,AM,RL,--3-----,,31.866666666666667,36,
JO,IHS,Sheikh Hussein Bridge,Sheikh Hussein Bridge,IR,RL,-------B,,32.483333333333334,35.56666666666667,
JO,SHO,Shoubak,Shoubak,MN,RL,--3-----,,30.516666666666666,35.55,
JO,ZFZ,Zarka Free Zone,Zarka Free Zone,,RL,-----6--,,32.083333333333336,36.1,
