country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
JP,ABA,Abashiri,Abashiri,01,AF,1-------,,44.0206027,144.2732035,true
JP,AKC,Abiko,Abiko,12,AF,-----6--,,35.86666666666667,140.03333333333333,
JP,ABS,Abohshita,Abohshita,42,AF,1-------,,,,
JP,ABO,Aboshi/Himeji,Aboshi/Himeji,28,AF,1-------,,,,
JP,ABU,Aburatsu,Aburatsu,45,AF,1-------,,31.582929,131.408115,true
JP,ABT,Abuto,Abuto,34,AF,1-------,,,,
JP,ADA,Adachi,Adachi,13,RL,-23-----,,35.78333333333333,139.8,
JP,ADE,Ade,Ade,28,AF,1-------,,,,
JP,ADO,Ado,Ado,37,AF,1-------,,33.95625,135.11333,true
JP,AGA,Aga Niigata,Aga Niigata,15,AF,-----6--,,37.833333333333336,139.21666666666667,
JP,AG2,Agano,Agano,15,AM,--3--6--,,37.833333333333336,139.21666666666667,
JP,AGN,Agenosho,Agenosho,35,AF,1-------,,33.9048694,132.2896263,true
JP,AGO,Ageo,Ageo,11,RQ,-----6--,,35.96666666666667,139.58333333333334,
JP,AGE,"""Ageo-Shi"," Saitama""","""Ageo-Shi"," Saitama""",11,--3-----,35.9774082,139.5930504,true
JP,AGS,Ageshima,Ageshima,37,AF,1-------,,38.0939035,138.24693824618703,true
JP,AGR,Agonoura,Agonoura,47,AF,1-------,,,,
JP,AGC,Agui?Aichi,Agui?Aichi,23,AF,-----6--,,34.93333333333333,136.9,
JP,AGJ,Aguni,Aguni,47,AI,1--4----,,26.59300295,127.23985985060742,true
JP,AKZ,Aika,Aika,32,AF,1-------,,,,
JP,AKI,Aikakita,Aikakita,32,AF,1-------,,,,
JP,AIW,"""Aikawa"," Nagasaki""","""Aikawa"," Nagasaki""",42,1-------,35.532347,139.297795,true
JP,AIK,"""Aikawa"," Niigata""","""Aikawa"," Niigata""",15,1-------,35.532347,139.297795,true
JP,AIN,Ainoura/Sasebo,Ainoura/Sasebo,42,AF,1-------,,34.1687,135.58983,true
JP,AIA,Ainouraaoki/Naru,Ainouraaoki/Naru,42,AF,1-------,,,,
JP,AII,Aio,Aio,35,AF,1-------,,33.4597483,130.2037382,true
JP,AIO,Aioi,Aioi,28,AF,1-------,,34.78333333333333,134.46666666666667,
JP,AIR,Aira,Aira,46,AF,-23-----,,31.733333333333334,130.63333333333333,
JP,AIS,Aisai,Aisai,23,RQ,-----6--,,35.166666666666664,136.68333333333334,
JP,AIM,Aishima,Aishima,35,AF,1-------,,34.5046823,131.2836868,true
JP,AIZ,"""Aizu"," Kumamoto""","""Aizu"," Kumamoto""",43,1-------,34.8128917,138.2958962,true
JP,AHF,"""Aizubange"," Fukushima""","""Aizubange"," Fukushima""",07,-----6--,37.5614676,139.8217696,true
JP,ZIS,"""Aizumisato"," Fukushima""","""Aizumisato"," Fukushima""",07,-----6--,37.4598882,139.8410088,true
JP,AKU,Aizuwakamatsu,Aizuwakamatsu,,RL,-23-----,,37.45,139.96666666666667,
JP,AJX,Aja,Aja,47,AF,1-------,,26.2390945,127.6901919,true
JP,AJI,Aji,Aji,37,AF,1-------,,34.3774057,134.1398264,true
JP,AJK,Ajigasawa,Ajigasawa,02,AF,1-------,,40.7830009,140.2339123,true
JP,AJN,Ajino,Ajino,33,AF,1-------,,34.462419,133.810833,true
JP,AZR,"""Ajiro"," Okayama""","""Ajiro"," Okayama""",33,1-------,34.652841,133.910655,true
JP,AJR,"""Ajiro"," Shizuoka""","""Ajiro"," Shizuoka""",22,1-------,35.0433111,139.0904623,true
JP,AZJ,"""Ajiro"," Tottori""","""Ajiro"," Tottori""",31,1-------,35.5845718,134.2952484,true
JP,ACH,Ajisu,Ajisu,35,AF,1-------,,34.01527,131.36136,true
JP,AKD,Akadomari,Akadomari,15,AF,1-------,,37.8674174,138.4084654,true
JP,AKX,Akaiwa,Akaiwa,33,RL,--3-----,,34.833333333333336,134.03333333333333,
JP,AKG,Akakina,Akakina,46,AF,1-------,,,,
JP,AKM,Akamizu,Akamizu,46,AF,1-------,,32.9590402,132.5256757,true
JP,AKK,"""Akasaki"," Kumamoto""","""Akasaki"," Kumamoto""",43,1-------,32.805964,130.739073,true
JP,ASK,"""Akasaki"," Tottori""","""Akasaki"," Tottori""",31,1-------,35.5150657,133.6379897,true
JP,AKA,Akashi,Akashi,28,AF,1-------,,32.21361,130.03512,true
JP,AKH,Akehama,Akehama,38,AF,1-------,,33.32092,132.43225,true
JP,KFK,"""Aki"," Kochi""","""Aki"," Kochi""",39,-----6--,33.5680384,133.5394221,true
JP,AIG,Aki-gun/Hiroshima,Aki-gun/Hiroshima,34,AF,1-------,,34.333333333333336,132.53333333333333,
