country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
KE,ASV,Amboseli,Amboseli,,AI,---4----,,-2.64532555,37.24857863904734,true
KE,ARI,Athi River,Athi River,22,RL,--3-----,,-1.45,36.983333333333334,
KE,BMQ,Bamburi,Bamburi,,AI,---4----,,-3.9793725,39.73154896632269,true
KE,BUN,Bungoma,Bungoma,03,RL,-----6--,,0.5666666666666667,34.56666666666667,
KE,BUS,Busia,Busia,04,RL,--3-----,,0.4666666666666667,34.1,
KE,DDB,Dadaab,Dadaab,07,RL,--3-----,,0.05,40.31666666666667,
KE,EDL,Eldoret,Eldoret,,AI,---4----,,0.53675225,35.28013930855524,true
KE,EYS,Eliye Springs,Eliye Springs,,AI,---4----,,3.2374363,36.0228161,true
KE,EMB,Embakasi,Embakasi,,RQ,0-------,,-1.3076101,36.93417652550539,true
KE,FER,Fergusons Gulf,Fergusons Gulf,,AI,---4----,,,,
KE,GAS,Garissa,Garissa,,AI,---4----,,-0.4658059,39.64902376499191,true
KE,GIL,Gilgil,Gilgil,31,RL,--3-----,,-0.21666666666666667,36.266666666666666,
KE,HOA,Hola,Hola,,AI,---4----,,-1.522,40.0040016,true
KE,ISL,Isiolo,Isiolo,09,RL,--3-----,,0.35,37.583333333333336,
KE,KAJ,Kajiado,Kajiado,,RQ,--3-----,,-1.8333333333333335,36.78333333333333,
KE,KAK,Kakamega,Kakamega,,RL,--3-----,,0.26666666666666666,34.733333333333334,
KE,KKM,Kakuma,Kakuma,10,AM,--3-----,,3.716666666666667,34.86666666666667,
KE,KLK,Kalokol,Kalokol,,AI,---4----,,3.5327417,35.8570234,true
KE,KAP,Kapsowar,Kapsowar,,RL,--3-----,,0.9833333333333333,35.56666666666667,
KE,KEY,Kericho,Kericho,,AI,---4----,,-0.39150015,35.24125305981299,true
KE,KRV,Kerio Valley,Kerio Valley,,AI,---4----,,3.0333331,36.0499992,true
KE,KIA,Kiambu,Kiambu,13,RL,--3-----,,-1.1666666666666667,36.833333333333336,
KE,ILU,Kilaguni,Kilaguni,,AI,---4----,,,,
KE,KLF,Kilifi,Kilifi,14,RL,--3-----,,-3.6333333333333333,39.85,
KE,KIL,Kilindini,Kilindini,,RQ,1-------,,-4.0586939,39.6526603,true
KE,KIS,Kisumu,Kisumu,,AI,1--4----,,-0.08738835,34.72881993226213,true
KE,KTL,Kitale,Kitale,,AI,---4----,,1.018076,35.000236,true
KE,KIT,Kitui,Kitui,18,RL,--3-----,,-1.3666666666666667,38.016666666666666,
KE,KIU,Kiunga,Kiunga,,AI,---4----,,-1.740876,41.482298540497325,true
KE,KWY,Kiwayu,Kiwayu,,AI,---4----,,,,
KE,LBN,Lake Baringo,Lake Baringo,,AI,---4----,,0.46667,35.96667,true
KE,LKU,Lake Rudolf,Lake Rudolf,,AI,---4----,,-0.3,36.08333,true
KE,LAU,Lamu,Lamu,,AI,1--4----,,-2.25515925,40.914686166492714,true
KE,LBK,Liboi,Liboi,,AI,---4----,,0.3486675,40.8817576,true
KE,LIM,Limuru,Limuru,13,RL,--3-----,,-1.1,36.65,
