country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
KG,ALA,Alamedin,Alamedin,,RL,-23-----,,42.9,74.63333333333334,
KG,BYK,Balykchy,Balykchy,Y,RL,--3-----,,42.45,76.16666666666667,
KG,FRU,Bishkek (ex Frunze),Bishkek (ex Frunze),GB,AI,-234----,,42.86666666666667,74.6,
KG,JLD,Jalal-Abad,Jalal-Abad,J,RL,--3-----,,40.93333333333333,73,
KG,KNT,Kant,Kant,C,AM,----5---,,42.88333333333333,74.83333333333333,
KG,KAB,Kara-Balta,Kara-Balta,C,AM,----5---,,42.81666666666667,73.85,
KG,MAN,Manas International Apt,Manas International Apt,GB,RL,--34----,,43.06666666666667,74.48333333333333,
KG,NAR,Naryn,Naryn,Y,RL,--3-----,,41.416666666666664,76,
KG,OSS,Osh,Osh,,AI,-2-4----,,40.5303613,72.7910097,true
KG,RBC,Rybacje,Rybacje,Y,RL,--3-----,,42.46666666666667,76.16666666666667,
