country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
KH,BBM,Battambang,Battambang,,AI,---4----,,13.0956117,103.22677478174921,true
KH,BVT,Bavet,Bavet,20,RL,--3-----,,11.066666666666666,106.13333333333334,
KH,CHE,Cheko,Cheko,,QQ,1-------,,,,
KH,KPC,K�mp�ng Cham,Kampong Cham,3,RL,-----6--,,12,105.45,
KH,KZC,K�mp�ng Chhnang,Kampong Chhnang,,AI,---4----,,12.25,104.66666666666667,
KH,KOS,K�mp�ng Sa�m,Kampong Saom,,AI,1-34--7-,,10.6,103.51666666666667,
KH,KMT,Kampot,Kampot,,AI,---4----,,10.6183061,104.1797339,true
KH,KKO,Kas Kong,Kas Kong,,QQ,1-------,,,,
KH,KKZ,Koh Kong,Koh Kong,,AI,---4----,,11.6135728,102.99797975420469,true
KH,KZK,Kompong Thom,Kompong Thom,,AI,---4----,,12.6687923,104.8879197,true
KH,KZD,Kr�k�r,Krakor,,AI,---4----,,12.533333333333333,104.2,
KH,KTI,Kratie,Kratie,,AI,---4----,,12.4889566,106.0200894,true
KH,MMT,M�m�t,Memot,3,RL,--3-----,,11.816666666666666,106.18333333333334,
KH,MWV,Mundulkiri,Mundulkiri,,AI,---4----,,,,
KH,OMY,Oddor Meanche,Oddor Meanche,,AI,---4----,,,,
KH,PAI,Pailin,Pailin,,AI,---4----,,12.8551384,102.6051776,true
KH,PPT,Pa�y P�t (Poipet),Paoy Pet (Poipet),,RL,-23-----,,13.65,102.55,
KH,PNH,Phnom Penh,Phnom Penh,,AI,1--45---,,11.568271,104.9224426,true
KH,SVY,Phumi Svay Rolum,Phumi Svay Rolum,20,RL,--3-----,,11.266666666666667,105.81666666666666,
KH,PPT,Poipet (Pa�y P�t),Poipet (Paoy Pet),,RL,-23-----,,13.65,102.55,
KH,PUS,Pursat,Pursat,15,RQ,-----6--,,12.533333333333333,103.91666666666667,
KH,RBE,Ratanakiri,Ratanakiri,,AI,---4----,,13.72995965,106.9834892021571,true
KH,REP,Siem Reap,Siem Reap,,AI,---4----,,13.3617562,103.8590321,true
KH,SRE,Sre Ambel,Sre Ambel,9,RL,--3-----,,11.116666666666667,103.76666666666667,
KH,TNX,Stung Treng,Stung Treng,,AI,---4----,,13.5325495,106.01475211610405,true
KH,SVR,Svay Rieng,Svay Rieng,,AI,---4----,,11.080095,105.7974874,true
KH,TKH,Ta Khmau,Ta Khmau,12,RL,1-------,,11.483333333333333,104.95,
