country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
KI,ABF,Abaiang,Abaiang,,AI,---4----,,1.79890755,173.0405845220796,true
KI,AEA,Abemama,Abemama,,AI,---4----,,0.4037719,173.8578254,true
KI,AAK,Aranuka,Aranuka,,AI,---4----,,0.18514724999999999,173.63621470735308,true
KI,AIS,Arorae Island,Arorae Island,,AI,---4----,,-2.6164021,176.8020849,true
KI,BEZ,Beru,Beru,,AI,---4----,,-1.35472,176.0070038,true
KI,BIR,Birnie Island,Birnie Island,P,RL,1-------,,-3.5833333333333335,-171.51666666666668,
KI,BBG,Butaritari,Butaritari,,AI,---4----,,3.08583,172.8110046,true
KI,CIS,Canton Island,Canton Island,,AI,---4----,,-0.86451,169.52841,true
KI,CXI,Christmas Island,Christmas Island,,AI,---4----,,1.9843506,-157.34706301775668,true
KI,EBI,Enderbury Island,Enderbury Island,P,RQ,1-------,,-3.15,-171.08333333333334,
KI,FIS,Fanning Islands,Fanning Islands,,QQ,1-------,,,,
KI,HUL,Hull Island,Hull Island,P,RQ,1-------,,-4.516666666666667,-172.18333333333334,
KI,KUC,Kuria,Kuria,,AI,---4----,,0.21870509999999999,173.44305287787347,true
KI,MNK,Maiana,Maiana,,AI,---4----,,1.00361,173.0310059,true
KI,MTK,Makin Island,Makin Island,,AI,---4----,,3.37444,172.9920044,true
KI,MZK,Marakei,Marakei,,AI,---4----,,2.0589485,173.2717025,true
KI,MCK,Mckean Island,Mckean Island,P,RQ,1-------,,-3.5833333333333335,-174.11666666666667,
KI,NIK,Nikumaroro,Nikumaroro,P,RQ,1-------,,-4.683333333333334,-174.51666666666668,
KI,NIG,Nikunau,Nikunau,,AI,---4----,,-1.31444,176.4100037,true
KI,NON,Nonouti,Nonouti,,AI,---4----,,-0.639722,174.4279938,true
KI,OOT,Onotoa,Onotoa,,AI,---4----,,-1.79611,175.526001,true
KI,PHO,Phoenix Islands,Phoenix Islands,,QQ,1-------,,-4.45304385,-171.24688135668373,true
KI,SYI,Sydney Island,Sydney Island,P,RQ,1-------,,-4.466666666666667,-171.25,
KI,TBF,Tabiteuea North,Tabiteuea North,,AI,---4----,,-1.28114825,174.7986198624592,true
KI,TSU,Tabiteuea South,Tabiteuea South,,AI,---4----,,-1.47444,175.0639954,true
KI,TNV,Tabuaeran,Tabuaeran,,AI,---4----,,3.8986962,-159.38802102756506,true
KI,TMN,Tamana Island,Tamana Island,,AI,---4----,,-2.4858301,175.9700012,true
KI,TRW,Tarawa,Tarawa,,AI,1--4----,,1.34009,173.02698,true
KI,TNQ,Teraina,Teraina,,AI,---4----,,4.6980526,-160.3960148,true
KI,WNI,Washington Islands,Washington Islands,,QQ,1-------,,,,
