country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
KP,REM,Bumpyo (Rempo),Bumpyo (Rempo),,RQ,0-------,,,,
KP,CHO,Chongjin,Chongjin,09,AA,1-------,,41.783248,129.8206615,true
KP,GEN,Gensan,Gensan,,QQ,1-------,,,,
KP,HAE,Haeju,Haeju,05,AA,1-------,,38.0401144,125.7140086,true
KP,HGM,Hungnam,Hungnam,08,AA,1-------,,39.83167,127.61861,true
KP,KSN,Kaesong,Kaesong,,RL,-23-----,,37.9716991,126.5527573,true
KP,NAM,Nampo,Nampo,14,AA,123-----,,40.51472,125.57417,true
KP,ODA,Odaejin,Odaejin,,AS,1-------,,41.38333333333333,129.75,
KP,PNG,Panjang,Panjang,,RL,-23-----,,38.5,125.08333333333333,
KP,FNJ,Pyongyang,Pyongyang,,AI,---45---,,39.2295753,125.67704274664212,true
KP,RJN,Rajin (Najin),Rajin (Najin),13,AA,123-----,,42.21666666666667,130.28333333333333,
KP,RIW,Riwon,Riwon,,AS,1-------,,40.31666666666667,128.63333333333333,
KP,SAM,Samcha do,Samcha do,,AS,1-------,,39.4,124.71666666666667,
KP,SIN,Sinpo,Sinpo,,AS,1-------,,40.06666666666667,128.26666666666668,
KP,SII,Sinuiju,Sinuiju,,RL,-23-----,,40.0940758,124.3977559,true
KP,SGO,Songdo,Songdo,05,RL,--3-----,,38.38333333333333,125.6,
KP,SON,Songjin,Songjin,,RQ,1-------,,40.663532000000004,129.20917052201912,true
KP,SGN,Songnim,Songnim,06,AA,1-------,,38.766666666666666,125.58333333333333,
KP,TCH,Tanchon,Tanchon,08,AA,1-------,,40.416666666666664,128.93333333333334,
KP,CCD,Tanyang,Tanyang,,RL,-----6--,,36.983333333333334,128.35,
KP,WON,Wonsan,Wonsan,07,AA,1-------,,39.1725946,127.4284243,true
