country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
KR,AWL,Aewol,Aewol,49,AF,1-------,,33.45,126.31666666666666,
KR,ADG,Andong,Andong,47,AF,-23-----,,36.55,128.71666666666667,
KR,ANJ,Anjeong,Anjeong,48,RQ,1-------,,34.95,128.43333333333334,
KR,ASN,Ansan,Ansan,41,AF,-23-----,,37.31666666666667,126.81666666666666,
KR,ASG,Anseong,Anseong,41,AF,-23-----,,37,127.26666666666667,
KR,ANY,Anyang,Anyang,41,AF,-23-----,QYA,37.38333333333333,126.91666666666667,
KR,ASA,Asan,Asan,44,AF,-23-----,,36.78333333333333,127,
KR,BAA,BALAN/Hwaseoung,BALAN/Hwaseoung,41,AF,--3-----,,37.46666666666667,126.85,
KR,BIN,Biin,Biin,44,AF,1-------,,36.11666666666667,126.48333333333333,
KR,BEN,Boeun-gun,Boeun-gun,43,AF,-23-----,,36.483333333333334,127.71666666666667,
KR,BDE,Bongdong-eup/Wanju-gun,Bongdong-eup/Wanju-gun,45,AF,--3--6--,,35.93333333333333,127.15,
KR,BHA,Bonghwa-gun,Bonghwa-gun,47,AF,-23-----,,36.233333333333334,128.71666666666667,
KR,BOR,Boryeong,Boryeong,44,AF,123-----,,36.31666666666667,126.5,
KR,BSG,Boseong-gun,Boseong-gun,46,AF,-23-----,,34.766666666666666,127.8,
KR,BAN,Buan-gun,Buan-gun,45,AF,-23-----,,35.71666666666667,126.73333333333333,
KR,BCN,Bucheon,Bucheon,41,AF,-23-----,,37.5,126.75,
KR,BJJ,Bukjeju-gun,Bukjeju-gun,49,AF,--3-----,,33.483333333333334,126.5,
KR,BUK,Bupyong/Incheon,Bupyong/Incheon,28,RL,123-----,,37.5,129.13333333333333,
KR,PUS,Busan,Busan,26,AF,1234567-,,35.13333333333333,129.05,
KR,BNP,Busan New Port,Busan New Port,26,RQ,1-------,,35.083333333333336,128.81666666666666,
KR,BJG,Busanjin-Gu,Busanjin-Gu,26,RQ,1-3-----,,35.15,129.05,
KR,BYO,Buyeo-gun,Buyeo-gun,44,AF,-23-----,,36.266666666666666,126.9,
KR,CNG,Changnyeong-gun,Changnyeong-gun,48,AF,-23-----,,35.53333333333333,128.48333333333332,
KR,CHW,Changwon,Changwon,48,AF,-23-----,,35.21666666666667,128.66666666666666,
KR,CHO,Cheonan,Cheonan,44,AF,-23-----,,36.8,127.15,
KR,CDO,Cheongdo-gun,Cheongdo-gun,47,AF,-23-----,,35.63333333333333,128.73333333333332,
KR,COJ,Cheongju,Cheongju,43,RL,-23-----,,36.63333333333333,127.48333333333333,
