country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
KW,HMD,Ahmadi,Ahmadi,,RL,-----6--,,29.066666666666666,48.083333333333336,
KW,AHJ,Ahmed Al Jaber,Ahmed Al Jaber,,RL,--3-----,,28.933333333333334,47.78333333333333,
KW,ABD,Al 'Abdaliyah,Al 'Abdaliyah,,RL,--3-----,,29.05,47.733333333333334,
KW,ALF,Al Farwaniyah,Al Farwaniyah,KU,RL,--3-----,,29.266666666666666,47.95,
KW,WAF,Al Wafrah,Al Wafrah,,RQ,--3-----,,28.55,47.833333333333336,
KW,AIS,Ali al Salem AB,Ali al Salem AB,,RQ,--3-----,,29.333333333333332,47.516666666666666,
KW,SYA,As Sabahiyah,As Sabahiyah,,RL,--3-----,,29.1,48.1,
KW,SAL,As Salimiyah,As Salimiyah,,RL,1-3-----,,29.333333333333332,48.083333333333336,
KW,KHT,As Sulaybikhat,As Sulaybikhat,AH,RL,1-3-----,,29.115,46.94833,true
KW,HAW,Awalli,Awalli,,RQ,-----6--,,29.316666666666666,48.016666666666666,
KW,CAJ,Camp Arifjan,Camp Arifjan,,RQ,--3-----,,28.9,48.18333333333333,
KW,CBG,Camp Buehring,Camp Buehring,JA,RQ,--34----,,29.7,47.43333333333333,
KW,DOH,Doha,Doha,KU,RL,1-------,,29.383333333333333,47.8,
KW,FIN,Fintas,Fintas,AH,RL,--3-----,,29.166666666666668,48.11666666666667,
KW,HWI,Hawalli,Hawalli,HA,RL,--3-----,,29.333333333333332,48.03333333333333,
KW,JBD,Jebel Dhana,Jebel Dhana,,QQ,1-------,,,,
KW,KFZ,Kaifan,Kaifan,,RQ,-----6--,,29.333333333333332,47.96666666666667,
KW,KWM,Khor al Mufatta,Khor al Mufatta,,QQ,1-------,,29.07694,48.08389,true
KW,KWI,Kuwait,Kuwait,,AI,1--45---,,29.3796532,47.9734174,true
KW,MIB,Mina' 'Abd Allah,Mina' 'Abd Allah,,RL,1-------,,29.016666666666666,48.166666666666664,
KW,MEA,Mina' al Ahmadi,Mina' al Ahmadi,,RL,1-------,,29.066666666666666,48.15,
KW,MZR,Mina Al Zour,Mina Al Zour,AH,RL,1-------,,28.716666666666665,48.4,
KW,MAM,Mina Alo Manti,Mina Alo Manti,,RQ,0-------,,29.32972,47.93611,true
KW,MIS,Mina Saud,Mina Saud,,RL,1-------,,28.766666666666666,48.46666666666667,
KW,ALR,Ra's al Ard,Ra's al Ard,,RL,-----6--,,29.35,48.083333333333336,
KW,RUM,Rumaithiya,Rumaithiya,,RL,--3-----,,29.316666666666666,48.516666666666666,
KW,SAF,Safat,Safat,,RQ,0-------,,29.369969,47.974977,true
KW,SMY,Salmiya,Salmiya,HA,RL,1-------,,29.333333333333332,48.083333333333336,
KW,SAA,Shuaiba,Shuaiba,,RL,1-3--6--,,29.033333333333335,48.13333333333333,
KW,SWK,Shuwaikh,Shuwaikh,,RL,1-------,,29.35,47.93333333333333,
KW,SUL,Sulaibiya,Sulaibiya,JA,RL,--3-----,,29.283333333333335,47.81666666666667,
