country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
KZ,KKO,Akkol',Akkol',11,RL,--3-----,,51.983333333333334,70.93333333333334,
KZ,AKS,Aksay,Aksay,,RQ,--3-----,,36.166666666666664,69.16666666666667,
KZ,ASK,Aksukent,Aksukent,61,AM,-23-----,,42.416666666666664,69.83333333333333,
KZ,AAU,Aktau,Aktau,47,AI,12-4----,,43.65,51.15,
KZ,SCO,Aktau Apt,Aktau Apt,47,RL,---4----,,43.85,51.083333333333336,
KZ,ABE,Aktobe,Aktobe,,RQ,--3-----,,50.2836268,57.2298651,true
KZ,ALS,Alashankou,Alashankou,,RQ,-23-----,,45.2,82.6,
KZ,ALA,Almaty,Almaty,75,AI,-2-45---,,43.25,76.95,
KZ,AKX,Aqt�be (Aktyubinsk),Aqtobe (Aktyubinsk),15,AI,-234----,,50.28333333333333,57.166666666666664,
KZ,AGY,Aqtoghay,Aqtoghay,63,RL,--3-----,,46.95,79.66666666666667,
KZ,AYK,Arkalyk,Arkalyk,,AI,---4----,,50.3151662,66.94696204582102,true
KZ,ARY,Arys,Arys,,RL,-23-----,,42.43333333333333,68.8,
KZ,ASA,Assa,Assa,31,RL,--3-----,,43.016666666666666,71.16666666666667,
KZ,ATX,Atbasar,Atbasar,,AI,---4----,,51.8517097,68.3655586,true
KZ,GUW,Atyrau (ex Guryev),Atyrau (ex Guryev),,AI,-2-4----,,47.12124025,51.8232747235264,true
KZ,BKZ,Baikonur,Baikonur,11,RQ,-234-6--,,45.61667,63.31667,true
KZ,BXH,Balhash,Balhash,,AI,---4----,,,,
KZ,BAH,Balkhash,Balkhash,35,RL,--3-----,,46.833333333333336,74.98333333333333,
KZ,BTN,Bautino,Bautino,,RL,1----6--,,44.53333333333333,50.25,
KZ,BKL,Beskol,Beskol,19,AM,-23-----,,54.766666666666666,69.1,
KZ,BXJ,Burundai,Burundai,,AI,---4----,,,,
KZ,ZAA,Chimkent,Chimkent,,RL,-----6--,,42.3,69.6,
KZ,DOS,Dosytk,Dosytk,75,RL,-2------,,45.25,82.48333333333333,
KZ,DZH,Dzhambul,Dzhambul,31,RL,--3-----,,42.9,71.36666666666666,
KZ,EKB,Ekibastuz,Ekibastuz,,AI,---4----,,51.7275817,75.3288511,true
KZ,EMB,Emba,Emba,15,RL,--3-----,,48.81666666666667,58.13333333333333,
KZ,EIK,Esik,Esik,75,RL,--3-----,,43.35,77.45,
KZ,EIL,Esil,Esil,11,RL,--3-----,,51.38333333333333,67.11666666666666,
KZ,HOR,Horgos,Horgos,,AI,-23-56--,,44.22364,80.384232,true
KZ,KYH,Kandyagash,Kandyagash,15,RL,--3-----,,49.46666666666667,57.416666666666664,
KZ,KPC,Kapchagay,Kapchagay,19,RL,--3-----,,43.88333333333333,77.83333333333333,
KZ,KGF,Karaganda,Karaganda,35,AI,-234----,,49.833333333333336,73.16666666666667,
KZ,KTO,Karaton,Karaton,23,RL,--3-----,,46.36666666666667,53.516666666666666,
KZ,KHR,Khromtau,Khromtau,15,RQ,--3-----,,50.25,58.43333333333333,
KZ,ZAC,Kokchetav,Kokchetav,,RL,-----6--,,53.266666666666666,69.43333333333334,
KZ,KOV,K�kshetau,Kokshetau,,AI,-234----,,53.266666666666666,69.38333333333334,
KZ,KOR,Kordai,Kordai,,AI,----5---,,,,
KZ,KSN,Kostanay,Kostanay,,AI,---4----,,53.2046156,63.549854554025714,true
KZ,KUL,Kul'sary,Kul'sary,,RL,-23-----,,46.95,54.016666666666666,
KZ,KUR,Kuryk,Kuryk,23,RL,--3-----,,43.2,51.65,
KZ,ZAB,Kustanai,Kustanai,,RL,-----6--,,53.166666666666664,63.583333333333336,
KZ,KZO,Kzyl-Orda,Kzyl-Orda,,AI,---4----,,49.66256,48.75605,true
KZ,LKK,Lisakovsk,Lisakovsk,,RL,--3-----,,52.545864,62.489201,true
KZ,MDT,Madeniet,Madeniet,63,RL,--3-----,,47.86666666666667,78.61666666666666,
KZ,MAM,Mamlyutka,Mamlyutka,59,RL,--3-----,,54.93333333333333,68.53333333333333,
KZ,MAN,Mankent,Mankent,59,RL,--3-----,,42.416666666666664,69.83333333333333,
KZ,NOA,Novaya Shul'ba,Novaya Shul'ba,63,AM,--3-----,,50.53333333333333,81.31666666666666,
KZ,SKO,Novonikolskoe,Novonikolskoe,59,RL,--3-----,,54.516666666666666,68.68333333333334,
KZ,NOV,Novoyamyshevo,Novoyamyshevo,,RL,--34----,,51.916666666666664,77.31666666666666,
KZ,AST,Nur-Sultan,Nur-Sultan,,AI,---45---,TSE,51.0258535,71.46419813232808,true
KZ,OTE,Otegen Batyr,Otegen Batyr,75,RL,--3-----,,43.333333333333336,77.05,
KZ,PWQ,Pavlodar,Pavlodar,55,RL,--34----,,52,76,
KZ,PPK,Petropavlovsk,Petropavlovsk,59,RL,--3-----,,54.86666666666667,69.15,
KZ,QZQ,Qazyqurt,Qazyqurt,61,RL,--3-----,,41.75,69.38333333333334,
KZ,QSY,Qulsary,Qulsary,23,RL,--3-----,,46.983333333333334,54.016666666666666,
KZ,RRK,Raygorodok,Raygorodok,23,RL,--3-----,,48.7,52.88333333333333,
KZ,LAX,Ridder,Ridder,63,RL,--3-----,,50.35,83.5,
KZ,RNY,Rudnyy,Rudnyy,39,RL,--3-----,,52.96666666666667,63.11666666666667,
KZ,SRY,Saryagach,Saryagach,61,RL,-23-----,,41.45,69.16666666666667,
KZ,PLX,Semey (Semipalatinsk),Semey (Semipalatinsk),63,RL,--34----,,50.4,80.21666666666667,
KZ,SGV,Semiglavyy Mar,Semiglavyy Mar,27,RL,-23-----,,51.18333333333333,50.05,
KZ,SHA,Shakhtinsk,Shakhtinsk,35,AM,--3-----,,49.7,72.58333333333333,
KZ,SCK,Shchuchinsk,Shchuchinsk,59,AI,--3-5---,,52.93333333333333,70.2,
KZ,CIT,Shimkent,Shimkent,,AI,--34----,,42.3146962,69.5883282,true
KZ,SHU,Shubarkuduk,Shubarkuduk,,RL,-23-----,,49.13333333333333,56.483333333333334,
KZ,SHY,Shymkent,Shymkent,,RQ,--3-----,,42.3146962,69.5883282,true
KZ,SGU,Shyngyrlau,Shyngyrlau,27,AM,--3-----,,51.15,54.13333333333333,
KZ,STP,Stepnogorsk,Stepnogorsk,11,RL,--3-----,,52.18333333333333,72.43333333333334,
KZ,TYK,Taldykorgan,Taldykorgan,,RQ,-----6--,,45.0164138,78.3791841,true
KZ,TDK,Taldy-Kurgan,Taldy-Kurgan,,AI,---4----,,50.2,47.45,true
KZ,TAL,Talgar,Talgar,,RL,--3-----,,43.3,77.21666666666667,
KZ,TAR,Taraz,Taraz,31,RL,-23-----,,42.9,71.36666666666666,
KZ,TAU,Temirtau,Temirtau,35,RL,1-3-----,,50.05,72.95,
KZ,TGZ,Tengiz,Tengiz,,RL,-----6--,,46.333333333333336,53.46666666666667,
KZ,URA,Uralsk,Uralsk,,AI,---45---,,51.2040697,51.3707863,true
KZ,UKK,Ust-Kamenogorsk,Ust-Kamenogorsk,,AI,---4----,,49.956391100000005,82.6263007323459,true
KZ,UZE,Uzen,Uzen,,RQ,--3-----,,43.43333333333333,53,
KZ,SZI,Zaisan,Zaisan,,AI,---4----,,47.48569005,84.8852893036541,true
KZ,ZCH,Zashchita,Zashchita,63,RL,--3-----,,50,82.58333333333333,
KZ,HRC,Zhairem,Zhairem,,AI,---4----,,,,
