country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
LA,AOU,Attopeu,Attopeu,,AI,--34----,,14.816666666666666,106.81666666666666,
LA,HNK,Ban Houaynamleuk,Ban Houaynamleuk,BL,AA,--3-----,,18.366666666666667,103.11666666666666,
LA,OUI,Ban Houei,Ban Houei,,AI,---4----,,20.41856835,104.06710620098113,true
LA,GT9,Ban Thanal�ng,Ban Thanaleng,VT,RL,--3-----,,17.883333333333333,102.71666666666667,
LA,BTN,Boten,Boten,LM,AA,-23-----,,21.166666666666668,101.66666666666667,
LA,DSH,Danesavan,Danesavan,SV,AA,--3-----,,16.616666666666667,106.58333333333333,
LA,HHP,Hin Hoeup,Hin Hoeup,VI,AA,--3-----,,18.616666666666667,102.31666666666666,
LA,HOE,Houeisay,Houeisay,,AI,--34----,,20.25,100.43333333333334,
LA,KTH,Kenthao,Kenthao,XA,AA,--3-----,,17.716666666666665,101.38333333333334,
LA,KOG,Khong,Khong,,AI,---4----,,14.118838,105.855192,true
LA,LLY,Lalay,Lalay,SL,AA,--3-----,,16.3,106.95,
LA,LTY,Lantouy,Lantouy,PH,AA,--3-----,,22.466666666666665,101.7,
LA,LXG,Luang Namtha,Luang Namtha,,AI,--34----,,20.966666666666665,101.38333333333334,
LA,LPQ,Luang Prabang,Luang Prabang,,AI,-234----,,19.883333333333333,102.2,
LA,MGN,Muang Ngeun,Muang Ngeun,XA,AA,--3-----,,19.6,101.1,
LA,UON,Muong Sai,Muong Sai,,AI,---4----,,14.1018569,105.783609,true
LA,NMO,Nameo,Nameo,HO,AA,--3-----,,20.283333333333335,104.61666666666666,
LA,NKM,Namkan,Namkan,XI,AA,--3-----,,19.45,104.06666666666666,
LA,NPO,Namphao,Namphao,BL,AA,--3-----,,18.366666666666667,105.15,
LA,NPH,Naphao,Naphao,KH,AA,--3-----,,17.65,105.75,
LA,NTY,Nateuy,Nateuy,LM,AA,-23--6--,,21.05,101.63333333333334,
LA,NNK,Nongnokkhian,Nongnokkhian,AT,AA,--3-----,,13.916666666666666,106.01666666666667,
LA,ODY,Oudomxay,Oudomxay,,AI,-234----,,20.666666666666668,101.98333333333333,
LA,PKS,Paksane,Paksane,,AI,--34----,,18.383333333333333,103.65,
LA,PKZ,Pakxe,Pakxe,,AI,--34----,,15.116666666666667,105.76666666666667,
LA,PGH,Panghai,Panghai,LM,AA,--3-----,,21.2,101.23333333333333,
LA,PHK,Panghok,Panghok,PH,AA,--3-----,,21.2,102.9,
LA,PCQ,Phongsaly,Phongsaly,PH,RL,--34----,,21.666666666666668,102.1,
LA,PNH,Phonhong,Phonhong,VI,AA,-23-----,,18.483333333333334,102.4,
LA,PKU,Phu Keua,Phu Keua,AT,AA,--3-----,,14.7,107.55,
LA,NEU,Sam Neua,Sam Neua,,AI,--34----,,20.4,104.03333333333333,
LA,VNA,Saravane,Saravane,,AI,--34----,,15.7,106.4,
LA,SAV,Savannakh�t,Savannakhet,,RL,--3--6--,ZVK,16.55,104.75,
LA,ZBY,Sayaboury,Sayaboury,,AI,--34----,,19.25,101.7,
LA,SKG,Sekong,Sekong,XE,AA,--3-----,,15.333333333333334,106.71666666666667,
LA,SND,Seno,Seno,,AI,---4----,,16.6790272,104.9641129,true
LA,THK,Thakhek,Thakhek,,AI,--34-6--,,17.483333333333334,104.73333333333333,
LA,THG,Thanaleng,Thanaleng,VT,AM,-23-56--,,17.883333333333333,102.71666666666667,
LA,TLE,Thanalouang,Thanalouang,,RL,--3-----,,20.716666666666665,102.2,
LA,UDO,Udomxay,Udomxay,,AI,---4----,,,,
LA,VGG,Vangrieng,Vangrieng,,AI,-234----,,18.916666666666668,102.43333333333334,
LA,VTO,Vangtao,Vangtao,CH,AA,--3--6--,,15.116666666666667,105.45,
LA,VAN,Vangtoud,Vangtoud,,RL,--3-----,,,,
LA,VNG,Viengxay,Viengxay,,AI,---4----,,20.3885327,104.28445927181517,true
LA,VTE,Vientiane,Vientiane,,AI,-2345---,,17.966666666666665,102.55,
LA,XAY,Xayabury,Xayabury,,AI,---4----,,19.242310850000003,101.70990990145297,true
LA,XKH,Xieng Khouang,Xieng Khouang,,AI,--34----,,19.45,103.15,
LA,XIE,Xienglom,Xienglom,,AI,---4----,,19.6199582,100.8121238,true
