country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
LB,JAH,'Ablah,'Ablah,,RL,-----6--,,34.15,36.266666666666666,
LB,HRF,Achrafieh,Achrafieh,BA,RL,--3-----,,33.88333333333333,35.516666666666666,
LB,DBA,Ad Dubayyah,Ad Dubayyah,,RL,--3-----,,33.95,35.56666666666667,
LB,AND,Adonis,Adonis,,RL,-----6--,,33.95,35.6,
LB,AJA,Ajaltoun,Ajaltoun,JL,RL,--3-----,,33.96666666666667,35.68333333333333,
LB,KKR,Akkar,Akkar,AS,RL,--3-----,,34.55,36.06666666666667,
LB,ALE,Aley,Aley,JL,RL,--3-----,,33.8,35.583333333333336,
LB,HBM,Amaret Chalhoub,Amaret Chalhoub,JL,RL,--3-----,,33.88333333333333,35.56666666666667,
LB,ACT,Amchit,Amchit,JL,RL,1-------,,34.15,35.63333333333333,
LB,AMM,Amio�n,Amioun,AS,RL,--3-----,,34.3,35.8,
LB,ANJ,'Anjar,'Anjar,BI,RL,--3-----,,33.71666666666667,35.916666666666664,
LB,JLA,Antelias,Antelias,JL,RQ,-----6--,,33.916666666666664,35.6,
LB,HKT,Ashqout,Ashqout,,RL,-----6--,,33.983333333333334,35.7,
LB,BAA,Baabda,Baabda,JL,RL,--3-----,,33.833333333333336,35.53333333333333,
LB,BKL,Baakleen,Baakleen,JL,RL,--3-----,,33.666666666666664,35.55,
LB,AAK,Baalbeck,Baalbeck,BI,RL,--3-----,,34,36.2,
LB,BTO,Batro�n,Batroun,AS,RL,--3-----,,34.25,35.65,
LB,BR2,Bauchrieh,Bauchrieh,BA,RL,--3-----,,33.88333333333333,35.55,
LB,BMN,Bchamoun,Bchamoun,,RQ,-----6--,,33.766666666666666,35.516666666666666,
LB,BSH,Bechamoun,Bechamoun,JL,RL,--3-----,,33.766666666666666,35.516666666666666,
LB,BEY,Beirut,Beirut,BA,AI,1--45---,,33.833333333333336,35.483333333333334,
LB,BFZ,Beirut Free Zone,Beirut Free Zone,,RQ,--3-----,,33.88333333333333,35.483333333333334,
LB,LN8,Bekaa,Bekaa,BI,RL,1-3-----,,34,36.13333333333333,
LB,BYT,Beyrouth,Beyrouth,BA,RL,--3-----,,33.86666666666667,35.5,
LB,BHA,Bhamdoun,Bhamdoun,JL,RL,--3-----,,33.8,35.65,
LB,BIK,Bikfaya,Bikfaya,JL,RL,--3-----,,33.916666666666664,35.68333333333333,
LB,BRO,Broumana,Broumana,JL,RL,--3-----,,33.86666666666667,35.61666666666667,
LB,BRU,Brummana,Brummana,JL,RQ,1-3--6--,,35.88333333333333,35.61666666666667,
LB,BYL,Byblos,Byblos,JL,RL,1-3-----,,34.11666666666667,35.65,
LB,CHK,Chekka,Chekka,,QQ,1-------,,34.3308738,35.7350815,true
LB,CHL,Chlaura,Chlaura,BI,RL,--3-----,,33.8,35.85,
LB,CHO,Choueifat,Choueifat,JA,RL,--3-----,,33.81666666666667,35.516666666666666,
