country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
LI,BAZ,Balzers,Balzers,,RL,--3-----,,47.06666666666667,9.5,
LI,ESC,Eschen,Eschen,,RL,--3-----,,47.2,9.516666666666667,
LI,GAM,Gamprin-Bendern,Gamprin-Bendern,,RL,--3-----,,47.2122144,9.5062136,true
LI,MAU,Mauren,Mauren,,RQ,--3-----,,47.21666666666667,9.533333333333333,
LI,NEN,Nendeln,Nendeln,01,RL,--3-----,,47.2,9.55,
LI,PLK,Planken,Planken,05,RL,--3-----,,47.18333333333333,9.533333333333333,
LI,RGL,Ruggell,Ruggell,,RL,--3-----,,47.233333333333334,9.516666666666667,
LI,SCN,Schaan,Schaan,,RL,-23-----,,47.166666666666664,9.5,
LI,SCH,Schaanwald,Schaanwald,,RL,--3----B,,47.21666666666667,9.566666666666666,
LI,TES,Triesen,Triesen,,RQ,--3-----,QVU,47.106994,9.5274876,true
LI,VDZ,Vaduz,Vaduz,,RL,--3-----,,47.15,9.533333333333333,
