country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
LK,AGA,Agalawatta,Agalawatta,1,RL,--3-----,,6.533333333333333,80.15,
LK,AMP,Amparai,Amparai,,RQ,---4----,,7.333333333333333,81.61666666666666,
LK,ABA,Andiambalama,Andiambalama,,RL,-----6--,,7.183333333333334,79.9,
LK,ANG,Angoda,Angoda,11,RL,--3-----,,6.933333333333334,79.91666666666667,
LK,ADP,Anuradhapura,Anuradhapura,,AI,---4----,,8.3031729,80.42988622768776,true
LK,ATA,Attanagalla,Attanagalla,1,RL,--3-----,,7.1,80.11666666666666,
LK,ATT,Attidiya,Attidiya,,RQ,-----6--,,6.833333333333333,79.88333333333334,
LK,AVI,Avissawella,Avissawella,,RL,-23---7-,,6.95,80.21666666666667,
LK,BLA,Badulla,Badulla,3,RL,--3-----,,6.166666666666667,80.53333333333333,
LK,BAN,Bandaragama,Bandaragama,1,RL,--3-----,,6.7,79.98333333333333,
LK,BTW,Bataduwa,Bataduwa,,RL,-----6--,,6.216666666666667,80.1,
LK,BAT,Battaramulla,Battaramulla,1,RL,--3-----,,6.9,79.91666666666667,
LK,BTC,Batticoloa,Batticoloa,,AI,1--4----,,,,
LK,BJT,Bentota River Apt,Bentota River Apt,,RL,---4----,,6.416666666666667,79.98333333333333,
LK,BRW,Beruwala,Beruwala,,QQ,1-------,,6.4755855,79.9834066,true
LK,BIY,Biyagama,Biyagama,12,RL,--3-----,,6.933333333333334,79.98333333333333,
LK,BWT,Bogahawatta,Bogahawatta,,RL,-----6--,,7.3,80.16666666666667,
LK,BUT,Bulathsinhala,Bulathsinhala,1,RL,--3-----,,6.65,80.16666666666667,
LK,CMB,Colombo,Colombo,11,AI,12345---,,6.916666666666667,79.85,
LK,RML,Colombo/Ratmalana Apt,Colombo/Ratmalana Apt,,AI,---4----,,6.934744,79.842725,true
LK,DMB,Dambadure,Dambadure,,RL,-----6--,,7.116666666666666,79.88333333333334,
LK,DBU,Dambulu Oya Tank Apt,Dambulu Oya Tank Apt,,RQ,---4----,,7.85,80.65,
LK,DMP,Dampelessa,Dampelessa,61,RL,--3-----,,7.65,80.38333333333334,
LK,DEH,Dehiwala,Dehiwala,1,RL,--3-----,,6.85,79.85,
LK,DEK,Dekantana,Dekantana,,RQ,--3-----,,,,
LK,AZX,Dekatana,Dekatana,1,RL,--3-----,,6.966666666666667,80.05,
LK,DIW,Dickwella Mawella Lagoon Apt,Dickwella Mawella Lagoon Apt,,RQ,---4----,,6.966666666666667,81,
LK,DIV,Divulapitiya,Divulapitiya,1,RL,--3-----,,7.216666666666667,80.08333333333333,
LK,DOD,Dodangoda,Dodangoda,1,RL,--3-----,,6.533333333333333,80.4,
LK,DOM,Dompe,Dompe,1,RL,--3-----,,6.95,80.51666666666667,
LK,ENA,Enderamulla,Enderamulla,,RL,-----6--,,7,79.9,
LK,GOY,Gal Oya,Gal Oya,,AI,---4----,,7.1369588,81.2691966,true
LK,GKD,Galkanda,Galkanda,71,RL,--3-----,,7.65,80.36666666666666,
LK,GAL,Galle,Galle,,QQ,1-------,,6.0328139,80.214955,true
LK,GAM,Gampaha,Gampaha,1,RL,--3-----,,7.883333333333333,79.98333333333333,
LK,GPL,Gampola,Gampola,,RL,-----6--,,8.05,80.18333333333334,
LK,GMA,Ganemulla,Ganemulla,12,RQ,-----6--,,7.066666666666666,79.95,
LK,GLY,Gelioya,Gelioya,21,RL,--3-----,,7.2,80.6,
LK,GOR,Gorakana,Gorakana,,RL,-----6--,,6.766666666666667,79.9,
LK,KDY,Gregory' Lake Apt (Nuwara Eliya),Gregory' Lake Apt (Nuwara Eliya),,RQ,---4----,,8.45,81.21666666666667,
LK,HBA,Hambantota,Hambantota,,RL,1-------,,6.116666666666666,81.11666666666666,
LK,HAN,Hanwella,Hanwella,2,RL,--3-----,,7.35,80.86666666666666,
LK,HAT,Hatton,Hatton,,RL,-23-----,,6.883333333333333,80.58333333333333,
LK,HDL,Hendala,Hendala,,RL,-----6--,,6.983333333333333,79.86666666666666,
LK,HET,Hettimulla,Hettimulla,,RL,-----6--,,7.266666666666667,-80.08333333333333,
LK,HIM,Hingurakgoda,Hingurakgoda,,RL,---4----,,8.016666666666667,80.95,
LK,HRN,Hirana,Hirana,,RQ,-----6--,,6.733333333333333,79.9,
LK,HOM,Homagama,Homagama,1,RL,--3-----,,6.833333333333333,80.08333333333333,
LK,KHN,Horana,Horana,13,RL,--3-----,,6.716666666666667,80.05,
LK,IBB,Ibbawala,Ibbawala,31,RL,-----6--,,6,80.4,
LK,ING,Ingiriya,Ingiriya,1,RL,--3-----,,6.75,80.16666666666667,
LK,JAE,Ja-Ela,Ja-Ela,1,RL,--3-----,,7.9,79.88333333333334,
LK,JAF,Jaffna,Jaffna,,AI,1--4----,,9.665093,80.0093029,true
LK,JCT,Jaya Container Terminal,Jaya Container Terminal,,RQ,1-------,,6.94486435,79.85269766708635,true
LK,KAW,Kadawala,Kadawala,2,RL,--3-----,,6.983333333333333,80.5,
LK,KGN,Kadugannawa,Kadugannawa,21,RL,--3-----,,7.25,80.51666666666667,
LK,KAD,Kaduwela,Kaduwela,1,RL,--3-----,,6.916666666666667,79.96666666666667,
LK,KAA,Kalagedihena,Kalagedihena,,RL,-----6--,,7.116666666666666,80.05,
LK,KAL,Kalpitiya,Kalpitiya,,QQ,1-------,,8.2368062,79.7661508,true
LK,KLT,Kalutara,Kalutara,,RL,--3-----,,6.5835219,79.9612508,true
LK,KAM,Kamburupitiya,Kamburupitiya,32,RQ,-----6--,,6.083333333333333,80.56666666666666,
LK,KDA,Kandana,Kandana,1,RL,-----6--,,7.033333333333333,79.88333333333334,
LK,KAN,Kandy,Kandy,,RL,--3-----,,7.2931208,80.6350358,true
LK,KNK,Kankesanturai,Kankesanturai,,QQ,1-------,,9.8118663,80.0374464,true
LK,KWE,Katana West,Katana West,1,RL,--3-----,,7.25,79.9,
LK,KDZ,Katugastota Pogolla Reservoir Apt,Katugastota Pogolla Reservoir Apt,,RQ,---4----,,7.2,80.41666666666667,
LK,KTK,Katukurunda,Katukurunda,,RL,--3-----,,7.033333333333333,80.03333333333333,
LK,KAT,Katunayake,Katunayake,,AI,----5---,,7.166666666666667,79.86666666666666,
LK,KTW,Katuwawala,Katuwawala,,RQ,-----6--,,6.266666666666667,80.68333333333334,
LK,KAY,Kayts,Kayts,,QQ,1-------,,9.6579067,79.8975248487746,true
LK,KEG,Kegalle,Kegalle,9,RL,--3-----,,7.25,80.35,
LK,KHT,Kehelwatta,Kehelwatta,,RQ,-----6--,,6.75,79.91666666666667,
LK,KNA,Kelaniya,Kelaniya,,RQ,-----6--,,6.95,79.88333333333334,
LK,KEZ,Kelaniya River Apt,Kelaniya River Apt,,RQ,---4----,,6.95,79.88333333333334,
