country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
LR,BYL,Bella Yella,Bella Yella,,AI,---4----,,,,
LR,UCN,Buchanan,Buchanan,,AI,1--4----,,5.85706585,-10.021255493566914,true
LR,CMT,Cape Mount,Cape Mount,,QQ,1-------,,5.52441,-7.98029,true
LR,CPA,Cape Palmas,Cape Palmas,,AI,1--4----,,4.3776153,-7.697546808703383,true
LR,FIM,Fimibo,Fimibo,,QQ,1-------,,,,
LR,FOY,Foya,Foya,,AI,---4----,,8.3557615,-10.2274232,true
LR,GBS,Grand Bassa,Grand Bassa,,QQ,1-------,,6.1640621,-9.895669,true
LR,GRC,Grand Cess,Grand Cess,,AI,---4----,,4.5675483,-8.2089436,true
LR,GRE,Greenville,Greenville,,QQ,1-------,,5.01111,-9.03889,true
LR,HBL,Harbel,Harbel,MO,RL,--3-----,,6.266666666666667,-10.333333333333334,
LR,HAR,Harper,Harper,MY,RL,1-3-----,,4.366666666666666,-7.716666666666667,
LR,LOB,Lower Buchanan,Lower Buchanan,,QQ,1-------,,5.88129,-10.0494002,true
LR,MAR,Marshall,Marshall,,QQ,1-------,,6.14861,-10.38361,true
LR,MLW,Monrovia,Monrovia,MO,AI,1-345---,,6.3,-10.8,
LR,NIA,Nimba,Nimba,,AI,---4----,,7.4939464000000005,-8.584478839771435,true
LR,RVC,River Cess,River Cess,,AI,1--4----,,5.466666666666667,-9.583333333333334,
LR,ROB,Roberts International Airport,Roberts International Airport,MO,AI,--34----,,6.233333333333333,-10.35,
LR,ROX,Robertsport,Robertsport,,QQ,1-------,,6.7525707,-11.3669534,true
LR,SAG,Sagleipie,Sagleipie,NI,RL,--3-----,,6.95,-8.833333333333334,
LR,SAB,Sarioe Bay,Sarioe Bay,,QQ,1-------,,5.15245,-9.28979,true
LR,SAZ,Sasstown,Sasstown,,AI,1--4----,,6.40517,-10.69404,true
LR,SNI,Sinoe,Sinoe,,AI,1--4----,,5.03353565,-9.064129553778155,true
LR,TPT,Tapeta,Tapeta,,AI,---4----,,6.4918433,-8.8607395,true
LR,THC,Tchien,Tchien,,AI,---4----,,6.04680205,-8.138741449938696,true
LR,TRT,Trade Town,Trade Town,,QQ,1-------,,5.8,-9.85,true
LR,VOI,Voinjama,Voinjama,,AI,---4----,,8.422419,-9.7525832,true
LR,WES,Weasua,Weasua,,AI,---4----,,7.31581,-10.50959,true
LR,WOI,Wologissi,Wologissi,,AI,---4----,,,,
LR,ZWD,Zwedru,Zwedru,GG,AM,--3-----,,6.066666666666666,-8.116666666666667,
