country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
LT,AKM,Akmene,Akmene,01,RL,--3-----,,56.25,22.75,
LT,AYS,Alytus,Alytus,,RL,--3-----,,54.4,24.05,
LT,ZAB,Anyksciai,Anyksciai,UT,RL,-----6--,,55.53333333333333,25.1,
LT,AGM,Augm?nai,Augm?nai,44,RL,--3-----,,55.65,23.666666666666668,
LT,AUK,Aukstkiemiai,Aukstkiemiai,21,RL,--3-----,,55.766666666666666,21.166666666666668,
LT,AZI,Avizieniai,Avizieniai,VL,RL,--3-----,,54.766666666666666,25.183333333333334,
LT,BET,Betygala,Betygala,,RL,-----6--,,55.3620812,23.3668782,true
LT,BLI,Bilioniai,Bilioniai,45,AM,--3-----,,55.6,22.3,
LT,BIR,Birstonas,Birstonas,,RL,-----6--,,54.6043509,24.0335131,true
LT,BIK,Biruliskiai,Biruliskiai,KU,RL,--3-----,,54.93333333333333,24,
LT,BRZ,Birzai,Birzai,,RL,--3-----,,56.2058338,24.7244896,true
LT,BOT,Boting�,Botinge,,RL,1-------,,56.06666666666667,21.116666666666667,
LT,BUI,Buikiske,Buikiske,KL,RL,--3-----,,55.31666666666667,21.833333333333332,
LT,BUY,Buivydiskes,Buivydiskes,58,RL,--3-----,,54.71666666666667,25.2,
LT,DEW,Darb?nai,Darb?nai,KL,RL,--3-----,,56.016666666666666,21.25,
LT,DID,Didzioji Reis?,Didzioji Reis?,VL,RL,--3-----,,54.78333333333333,25.25,
LT,DYS,Dovainonys,Dovainonys,16,RL,--3-----,,54.81666666666667,24.233333333333334,
LT,MBX,Drobuksciai,Drobuksciai,TE,RL,--3-----,,55.7,22.283333333333335,
LT,DKI,Druskininkai,Druskininkai,AL,RL,--34----,,54.016666666666666,23.966666666666665,
LT,EMK,Eitminisk?s,Eitminisk?s,,RL,--3-----,,54.916666666666664,25.383333333333333,
LT,ETI,Elektrenai,Elektrenai,,RL,--3-----,,54.78333333333333,24.666666666666668,
LT,EZS,Ezerelis,Ezerelis,KU,RQ,--3-----,,54.88333333333333,23.6,
LT,GZD,Gargzdai,Gargzdai,KL,RL,--3--6--,,55.7,21.4,
LT,GLV,Garliava,Garliava,KU,RL,--3-----,,54.81666666666667,23.866666666666667,
LT,GLI,Glitiskes,Glitiskes,VL,RL,0-------,,54.983333333333334,25.216666666666665,
LT,GKS,Grinkiskis,Grinkiskis,,RL,--3-----,,55.55,23.65,
LT,GTY,Gustonys,Gustonys,PN,RL,--3-----,,55.733333333333334,24.133333333333333,
LT,IGL,Ignalina,Ignalina,UT,RL,--3-----,,55.35,26.166666666666668,
LT,IGA,Ilgakiemis (Ilgakiemio),Ilgakiemis (Ilgakiemio),16,RL,--3-----,,54.766666666666666,23.866666666666667,
LT,OND,Jasiunai,Jasiunai,VL,RL,--3-----,,54.43333333333333,25.333333333333332,
LT,JIE,Jieznas,Jieznas,KU,RL,--3-----,,54.6,24.166666666666668,
LT,JNA,Jonava,Jonava,,RL,-23-----,,55.06666666666667,24.266666666666666,
LT,JON,Joniskis,Joniskis,,RL,-23-----,,56.233333333333334,23.616666666666667,
LT,JUR,Jurbarkas,Jurbarkas,,RL,--3-----,,55.083333333333336,22.766666666666666,
LT,KDO,Kaisiadorys,Kaisiadorys,KU,RL,-23--6--,,54.86666666666667,24.45,
LT,KTE,Kalote,Kalote,,RL,-----6--,,55.78333333333333,21.116666666666667,
LT,KLT,Kaltene,Kaltene,,RL,--3-----,,,,
LT,ZQA,Kalvarija,Kalvarija,MR,RL,--3-----,,54.4,23.233333333333334,
LT,KRM,Karmelava,Karmelava,16,RL,--3-----,,54.96666666666667,24.066666666666666,
LT,KUN,Kaunas,Kaunas,,RL,--34----,,54.88,23.8816667,true
LT,KRA,Kazlu Ruda,Kazlu Ruda,,RL,-23-----,,54.766666666666666,23.5,
LT,KDN,Kedainiai,Kedainiai,,RL,--3-----,,55.3,23.983333333333334,
LT,KEL,Kelm?,Kelm?,SA,RL,--3-----,,55.61666666666667,22.933333333333334,
LT,KEN,Kena,Kena,VL,AA,-23----B,,54.65,25.7,
LT,KLJ,Klaipeda,Klaipeda,,AI,12-4----,,55.7127529,21.1350469,true
LT,KLO,Klovainiai,Klovainiai,,RL,--3-----,,55.93333333333333,23.95,
LT,KRE,Kretinga,Kretinga,,RL,-23-----,,55.88333333333333,21.233333333333334,
LT,KET,Kretingsodis,Kretingsodis,KL,RL,--3-----,,55.88333333333333,21.216666666666665,
LT,KUP,Kupiskis,Kupiskis,,RL,-23-----,,55.833333333333336,24.983333333333334,
LT,KUR,Kurs�nai,Kursenai,SA,RL,-23-----,,55.983333333333334,22.916666666666668,
LT,KYB,Kybartai,Kybartai,MR,AA,-23----B,,54.63333333333333,22.733333333333334,
LT,LUA,Laukesa,Laukesa,UT,RL,--3----B,,55.733333333333334,26.3,
LT,LVK,Lavoriskes,Lavoriskes,VL,AA,--3----B,,54.71666666666667,25.666666666666668,
LT,LAZ,Lazdijai,Lazdijai,,RL,--3-----,,54.233333333333334,23.516666666666666,
LT,LEN,Lentvaris,Lentvaris,VL,RL,--3-----,,54.63333333333333,25.05,
LT,LEV,Levaniskiai,Levaniskiai,54,RL,--3-----,,55.266666666666666,25.433333333333334,
LT,LII,Lingailiai,Lingailiai,44,AM,--3-----,,55.85,23.333333333333332,
LT,LDY,Liudyne,Liudyne,,RL,-----6--,,55.690468,24.4565346,true
LT,MAC,Maciuiciai,Maciuiciai,21,RL,--3-----,,55.68333333333333,21.416666666666668,
LT,MAI,Maisiagala,Maisiagala,,RL,--3-----,,54.86666666666667,25.066666666666666,
LT,MLM,Malku ilankos juru uosto PVP/Klaipeda,Malku ilankos juru uosto PVP/Klaipeda,KL,AA,1-3----B,,55.71666666666667,21.116666666666667,
LT,MJP,Marijampole,Marijampole,,RL,--3-----,,54.5562536,23.3503665,true
LT,MZK,Mazeikiai,Mazeikiai,,RL,-23-----,,56.31666666666667,22.35,
LT,MDK,Medininkai,Medininkai,VL,AA,--3----B,,54.53333333333333,25.666666666666668,
LT,MCI,Micaiciai,Micaiciai,44,AM,-23-----,,55.96666666666667,22.916666666666668,
LT,MOC,Mockava,Mockava,,RL,-23-----,,54.333333333333336,23.3,
LT,MLI,Moletai,Moletai,,RL,--3--6--,,55.233333333333334,25.416666666666668,
LT,MOM,Molo juru uosto PVP/Klaipeda,Molo juru uosto PVP/Klaipeda,KL,AA,1-3----B,,55.71666666666667,21.1,
LT,MOS,Mos?dis,Mos?dis,KL,RL,--3-----,,56.166666666666664,21.566666666666666,
LT,MNK,Musninkai,Musninkai,,RL,--3-----,,54.95,24.85,
LT,NJM,Naujamiestis,Naujamiestis,,RL,--3-----,,55.6868969,24.1523154,true
LT,NAK,Naujoji Akmene,Naujoji Akmene,,RL,-23-----,,56.31666666666667,22.883333333333333,
LT,NMS,Nemaksciai,Nemaksciai,KU,RL,-23-----,,55.416666666666664,22.766666666666666,
LT,VIN,Nemezis,Nemezis,VL,RL,--3-----,,54.63333333333333,25.35,
LT,NER,Neringa,Neringa,21,RL,--3-----,,55.36666666666667,21.05,
LT,NE2,Neveronys,Neveronys,KU,RL,--3-----,,54.916666666666664,24.1,
LT,NID,Nida,Nida,AL,RL,--3-----,,56.1,21.066666666666666,
LT,PAB,Pabrade,Pabrade,,RL,-23-----,,54.983333333333334,25.766666666666666,
LT,PZI,Paezeriai,Paezeriai,56,AM,--3-----,,54.63333333333333,22.966666666666665,
LT,PGI,Pagegiai,Pagegiai,KL,AA,-23----B,,55.13333333333333,21.9,
LT,PKJ,Pakruojis,Pakruojis,SA,RL,-23--6--,,55.96666666666667,23.866666666666667,
LT,PLQ,Palanga,Palanga,,RQ,---4----,,55.972598899999994,21.094675861557334,true
LT,PAN,Panemune,Panemune,KL,AA,--3----B,,55.083333333333336,21.883333333333333,
