country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
LU,ABW,Abweiler,Abweiler,L,RQ,-----6--,,49.53333333333333,64.85,
LU,AZN,Alzingen,Alzingen,,RQ,--3-----,,49.5677751,6.1650753,true
LU,ASP,Aspelt,Aspelt,L,RL,--3-----,,49.516666666666666,6.216666666666667,
LU,DEH,Asselborn,Asselborn,D,RL,--3-----,,49.9,6.05,
LU,BSC,Bascharage,Bascharage,,RL,--3-----,,49.56666666666667,5.916666666666667,
LU,BEE,Beaufort (Beefort),Beaufort (Beefort),EC,RL,--3-----,,49.833333333333336,6.283333333333333,
LU,BCH,Bech,Bech,EC,RL,--3-----,,49.733333333333334,6.35,
LU,BKM,Bech-Kleinmacher,Bech-Kleinmacher,,RL,1-3-----,,49.53333333333333,6.35,
LU,BKE,Beckerich,Beckerich,D,RL,--3--6--,,49.71666666666667,5.883333333333333,
LU,BDW,Beidweiler,Beidweiler,G,RL,--3-----,,49.71666666666667,6.3,
LU,DK4,Beiler,Beiler,D,RL,--3-----,,50.15,6.083333333333333,
LU,BDF,Berdorf (B�erdref),Berdorf (Baerdref),GR,RL,--3-----,,49.8,6.35,
LU,BDG,B�reldange,Bereldange,L,RL,--3-----,,49.63333333333333,6.116666666666666,
LU,BRG,Berg-sur-Syre,Berg-sur-Syre,G,RL,--3-----,,49.666666666666664,6.35,
LU,BRE,Bertrange,Bertrange,,RL,--3-----,,49.6,6.033333333333333,
LU,BSM,Bettange-sur-Mess,Bettange-sur-Mess,L,RQ,-----6--,,49.56666666666667,5.983333333333333,
LU,BTB,Bettborn,Bettborn,D,RL,--3-----,,49.78333333333333,5.933333333333334,
LU,BET,Bettembourg,Bettembourg,,RQ,--3-----,,49.5173351,6.0966536,true
LU,BTF,Bettendorf (Bettenduerf),Bettendorf (Bettenduerf),DI,RL,--3-----,,49.86666666666667,6.216666666666667,
LU,BZF,Betzdorf,Betzdorf,G,RL,--3-----,,49.68333333333333,6.35,
