country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
LV,ZRA,Adazi,Adazi,RIX,RL,-----6--,,57.06666666666667,24.316666666666666,
LV,AGL,Aglona,Aglona,001,RL,--3-----,,56.13333333333333,27.016666666666666,
LV,AIN,Ainazi,Ainazi,054,AI,--3-----,,57.86666666666667,24.366666666666667,
LV,AIZ,Aizkraukle,Aizkraukle,002,RL,-23-----,,56.6,25.216666666666665,
LV,APE,Aizpute,Aizpute,003,RL,--3-----,,56.71666666666667,21.6,
LV,AKI,Akniste,Akniste,JKB,RL,--3--6--,,56.166666666666664,25.75,
LV,ALJ,Aloja,Aloja,005,RL,--3-----,,57.766666666666666,24.866666666666667,
LV,6LV,Alsunga,Alsunga,006,RL,--3-----,,56.983333333333334,21.566666666666666,
LV,ASE,Aluksne,Aluksne,002,RL,-23-----,,57.416666666666664,27.05,
LV,AMT,Amata,Amata,008,RL,--3-----,,57.2,25.15,
LV,APP,Ape,Ape,007,RL,--3-----,,57.53333333333333,26.666666666666668,
LV,AUC,Auce,Auce,010,RL,-23-----,,56.46666666666667,22.9,
LV,ARX,Avoti,Avoti,RIX,RL,--3-----,,56.96666666666667,23.833333333333332,
LV,BAB,Babite,Babite,079,RL,--3-----,,56.95,23.95,
LV,B9G,Baldone,Baldone,013,RL,--3-----,,56.733333333333334,24.383333333333333,
LV,B8R,Balozi,Balozi,052,RL,--3-----,,56.86666666666667,24.116666666666667,
LV,BLN,Baltinava,Baltinava,014,RL,--3-----,,56.95,27.65,
LV,BMT,"""Baltmarine Terminal"," Riga""","""Baltmarine Terminal"," Riga""",RIX,-------B,56.9493977,24.1051846,true
LV,BAL,Balvi,Balvi,015,RL,-23-----,,57.13333333333333,-27.25,
LV,BAR,Barkava,Barkava,059,RL,--3--6--,,56.71666666666667,26.6,
LV,BAU,Bauska,Bauska,016,RL,-23-----,,56.4,24.183333333333334,
LV,BRN,Beverina,Beverina,017,RL,--3-----,,57.5,25.45,
LV,BZC,Briezuciems,Briezuciems,015,RL,--3-----,,56.95,27.583333333333332,
LV,BRC,Broc?ni,Broc?ni,018,RL,-23-----,,56.7,22.533333333333335,
LV,BUL,Bullu,Bullu,RIX,RL,--3-----,,57.03333333333333,24,
LV,BRK,Burtnieki,Burtnieki,099,RL,--3-----,,56.78333333333333,23.683333333333334,
LV,BRT,Burtnieki,Burtnieki,019,RL,--3-----,,57.7,25.266666666666666,
LV,H5D,Carnikava,Carnikava,020,RL,--3-----,,57.11666666666667,24.266666666666666,
LV,CEN,Cena,Cena,041,RL,--3-----,,56.71666666666667,23.833333333333332,
LV,CES,Cesis,Cesis,022,RL,-23-----,,57.31666666666667,25.283333333333335,
LV,CSV,Cesvaine,Cesvaine,021,RL,--3-----,,56.96666666666667,26.316666666666666,
LV,CBL,Cibla,Cibla,023,RL,--3-----,,56.55,27.883333333333333,
LV,CIM,Cimdenieki,Cimdenieki,032,RL,--3-----,,56.516666666666666,21.083333333333332,
LV,DGD,Dagda,Dagda,024,RL,--3-----,,56.1,27.533333333333335,
LV,DGP,Daugavpils,Daugavpils,DGV,AI,-2-4----,,55.88333333333333,26.533333333333335,
LV,DOB,Dobele,Dobele,026,RL,-23-----,,56.61666666666667,23.283333333333335,
LV,RI7,Dreilini,Dreilini,095,RL,--3-----,,56.95,24.233333333333334,
LV,DUN,Dundaga,Dundaga,,RL,-23-----,,57.5059668,22.3559064,true
LV,DRB,Durbe,Durbe,028,RL,--3-----,,56.583333333333336,21.35,
LV,JJ5,Eleja,Eleja,041,RL,--3-----,,56.4,23.666666666666668,
LV,EGE,Engure,Engure,029,RL,1-3-----,,57.166666666666664,23.216666666666665,
LV,ERG,Ergli,Ergli,030,RL,--3-----,,56.9,25.633333333333333,
LV,GRD,Gardene,Gardene,026,RL,--3-----,,56.63333333333333,23.2,
LV,GAR,Garkalne,Garkalne,079,RL,--3-----,,57.06666666666667,24.416666666666668,
LV,GKE,Garkalne,Garkalne,031,RL,-23-----,,57.03333333333333,24.416666666666668,
LV,GRE,Grebneva,Grebneva,047,RQ,--3----B,,56.8585248,27.8144027,true
LV,GBA,Grobina,Grobina,LPX,RL,-23-----,,56.55,21.166666666666668,
LV,GUD,Gudenieki,Gudenieki,050,RL,--3-----,,56.9,21.633333333333333,
LV,GUL,Gulbene,Gulbene,033,RL,-23-----,,57.166666666666664,26.75,
LV,ICV,Iecava,Iecava,034,RL,--3-----,,56.583333333333336,21.683333333333334,
LV,IKK,Ikskile,Ikskile,035,RL,--3-----,,56.833333333333336,24.5,
LV,ILU,Ilukste,Ilukste,025,RL,--3-----,,56.05,26.35,
LV,ICK,Incukalns,Incukalns,037,RL,-23-----,,57.083333333333336,24.7,
LV,JAU,Jaunauce,Jaunauce,088,RL,--3-----,,56.45,22.683333333333334,
