country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
LY,ABK,Abu Kammash,Abu Kammash,,RQ,1-------,,33.073808,11.7363481,true
LY,ABS,Abu Salim,Abu Salim,TB,RL,--3-----,,32.85,13.166666666666666,
LY,QGG,Ajdabiya,Ajdabiya,WA,RL,--3-----,,30.75,20.216666666666665,
LY,ABA,Al Bayda,Al Bayda,,QQ,1-------,,32.7609529,21.7577175,true
LY,KHO,Al Khums,Al Khums,,RL,1-3-----,QKO,32.65,14.266666666666667,
LY,AKF,Al Kufrah,Al Kufrah,,AI,---4----,,24.166666666666668,23.25,
LY,QEC,Al Marj,Al Marj,MJ,RL,--3-----,,32.5,20.816666666666666,
LY,APO,Apollonia,Apollonia,,QQ,1-------,,32.8978426,21.9650703,true
LY,ESI,As Sidr,As Sidr,,RL,1-------,,30.633333333333333,18.366666666666667,
LY,QZT,Awbari (Ubari),Awbari (Ubari),,RL,--3-----,,23.566666666666666,12.816666666666666,
LY,ZAW,Az Zawiyah,Az Zawiyah,,RL,1-------,,32.75,12.716666666666667,
LY,AZT,Az Zintan,Az Zintan,JG,RL,--3-----,,31.933333333333334,12.233333333333333,
LY,QBL,Bani Walid,Bani Walid,MI,RL,--3-----,,34.766666666666666,13.966666666666667,
LY,BAR,Bardiyah,Bardiyah,,RL,1-------,,31.766666666666666,25.1,
LY,LAQ,Beida,Beida,,AI,---4----,,32.7609529,21.7577175,true
LY,BEN,Bingazi (Benghazi),Bingazi (Benghazi),,AI,1--45---,,32.094633,20.080477,true
LY,BCQ,Birak,Birak,,AI,---4----,,27.533333333333335,14.283333333333333,
LY,BUA,Bu'ayrat al Hasun,Bu'ayrat al Hasun,,RL,1-------,,31.4,15.733333333333333,
LY,DRX,Darnah,Darnah,,QQ,1-------,,32.766666666666666,22.633333333333333,
LY,BOU,El Bouri,El Bouri,,RQ,1-------,,30.257028,19.200006,true
LY,ELK,El Choms,El Choms,,RL,1-3-----,,32.65,14.266666666666667,
LY,LTD,Ghadames,Ghadames,,AI,---4----,,30.1258404,9.4900658,true
LY,GHT,Ghat,Ghat,,AI,---4----,,24.9626299,10.1797167,true
LY,HUQ,Houn,Houn,,RQ,--34----,,29.5,15.5,
LY,JAZ,Janzur,Janzur,ZA,RL,--3-----,,32.81666666666667,13,
LY,KHM,Khoms,Khoms,,RQ,-----6--,,52.333333333333336,25.233333333333334,
LY,MBK,Mabruk,Mabruk,SR,RQ,------7-,,30,17.25,
LY,MBR,Mars� Al Burayqah,Marsa Al Burayqah,,RL,--3-----,,30.383333333333333,19.6,
LY,LMQ,Marsa Brega,Marsa Brega,,AI,1--4----,,30.3779487,19.57454929229963,true
LY,MEH,Marsa El Hania,Marsa El Hania,,QQ,1-------,,,,
LY,MHR,Marsa el Hariga,Marsa el Hariga,,RQ,1-------,,,,
LY,MTH,Melittah,Melittah,TB,RL,1-----7-,,,,
LY,MEL,Mellitah (Qasr Ahmed),Mellitah (Qasr Ahmed),MI,RQ,123-----,,32.6,15.35,
LY,MIS,Misratah,Misratah,MI,RL,--3-----,,32.36666666666667,15.083333333333334,
LY,MRA,Misurata,Misurata,,AI,1--4----,,32.326484300000004,15.060931648759212,true
LY,MJI,Mitiga,Mitiga,,AI,---4----,,,,
LY,QMQ,Murzuq,Murzuq,MQ,RQ,---4----,,25.9,13.883333333333333,
LY,NFR,Nafoora,Nafoora,,AI,---4----,,,,
LY,REH,Ras el Hilal,Ras el Hilal,,RQ,0-------,,32.88297,22.18251,true
LY,RLA,Ras Lanuf,Ras Lanuf,,QQ,1-------,,30.586862,18.417789,true
LY,SEB,Sebha,Sebha,,AI,--34----,,27.033333333333335,14.433333333333334,
LY,SRX,Sert,Sert,,AI,---4----,,31.20892,16.58866,true
LY,SRT,Sirte (Surt),Sirte (Surt),,QQ,1-------,,31.2059625,16.5836206,true
LY,SOU,Soussah,Soussah,,QQ,1-------,,,,
LY,TAG,Tagiura,Tagiura,,QQ,1-------,,32.8834447,13.3525476,true
LY,TOB,Tobruk,Tobruk,,AI,1--4----,,32.0773764,23.9599988,true
LY,TOA,Toulmeitha,Toulmeitha,,QQ,1-------,,,,
LY,TIP,Tripoli,Tripoli,,AI,1--4----,,32.896672,13.1777923,true
LY,TUK,Tukrah,Tukrah,,QQ,1-------,,32.532222,20.572222,true
LY,ZLI,Zliten,Zliten,,QQ,1-------,,32.467562,14.56564,true
LY,ZUA,Zuara,Zuara,,QQ,1-------,,32.9327858,12.0806069,true
LY,ZUE,Zueitina,Zueitina,,RQ,0-------,,30.95227,20.11789,true
LY,WAX,Zwara,Zwara,,AI,---4----,,,,
