country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
MA,AGA,Agadir,Agadir,,AI,1--4----,,30.38186025,-9.549720490266727,true
MA,MTH,Ain Beni Mathar,Ain Beni Mathar,OUJ,RL,--3-----,,34,-2.0166666666666666,
MA,JHR,A�n Harrouda,Ain Harrouda,,RL,-----6--,,33.61666666666667,-7.433333333333334,
MA,ASE,A�n Sebaa,Ain Sebaa,CAS,RL,-23-----,,33.6,-7.533333333333333,
MA,BAH,Ait Baha,Ait Baha,TIZ,RL,--3-----,,29.55,-8.966666666666667,
MA,SMD,A�t Melloul,Ait Melloul,13,RL,1----6--,,30.333333333333332,-9.483333333333333,
MA,AKH,Akhfennir,Akhfennir,TAF,AM,--3-----,,28.083333333333332,-12.05,
MA,AAR,Al Aaroui,Al Aaroui,NAD,RL,--3-----,,35,-3.0166666666666666,
MA,AHU,Al Hoce�ma,Al Hoceima,,AI,1--4----,,35.25,-3.9333333333333336,
MA,KZZ,Allal Tazi,Allal Tazi,KEN,AA,-----6--,,34.5,-6.316666666666666,
MA,AMZ,Amizmiz,Amizmiz,HAO,RL,--3-----,,31.216666666666665,-8.25,
MA,ANZ,Anza,Anza,AGD,RL,1-3-----,,30.45,-9.65,
MA,D2V,Ar Rommani,Ar Rommani,KHE,AA,1----6--,,33.516666666666666,-6.6,
MA,ASI,Asilah,Asilah,,QQ,1-------,,35.461928,-6.036545,true
MA,AZE,Azemmour,Azemmour,,QQ,1-------,,33.288141,-8.343206,true
MA,AZL,Azilal,Azilal,05,AM,--3-----,,31.966666666666665,-6.566666666666666,
MA,AZR,Azrou,Azrou,,RQ,--3-----,,33.436117,-5.221913,true
MA,BES,Ben Slimane,Ben Slimane,BES,RQ,--3-----,,33.6,-71.18333333333334,
MA,BEN,Benguerir,Benguerir,KES,RL,--3-----,,32.233333333333334,-7.95,
MA,BEM,Beni Mellal,Beni Mellal,,RQ,--3-----,,32.334193,-6.353335,true
MA,BER,Berkane,Berkane,,RQ,--3-----,,34.9266755,-2.3294087,true
MA,BED,Berrechid,Berrechid,,RQ,--3-----,,33.2676746,-7.5811465,true
MA,G2K,Biougra,Biougra,AGD,RL,--3-----,,30.016666666666666,-9.05,
MA,BJJ,Bir Jdid,Bir Jdid,JDI,RL,--3-----,,33.36666666666667,-7.983333333333333,
MA,BFK,Boufakrane,Boufakrane,MEK,RQ,--3-----,,33.75,-5.483333333333333,
MA,BUJ,Boujdour,Boujdour,BOD,AM,1-3-----,,26.133333333333333,-14.483333333333333,
MA,BUL,Boulaouane,Boulaouane,JDI,RL,--3-----,,32.86666666666667,-8.05,
MA,BOS,Bouskoura,Bouskoura,AGD,RL,-23-----,,33.43333333333333,-7.633333333333333,
MA,BOU,Bouznika,Bouznika,,RQ,--3-----,,33.781005,-7.1610294,true
MA,BRE,Breich,Breich,,RQ,0-------,,,,
MA,CAS,Casablanca,Casablanca,CAS,AI,1--45---,CMN,33.583333333333336,-7.6,
MA,VIL,Dakhla,Dakhla,,AI,1--4----,,23.72603135,-15.926942165031456,true
MA,4DM,Dar Bou Azza,Dar Bou Azza,MEK,RL,--3-----,,33.75,-5.4,
MA,ELG,El Gara,El Gara,SET,RL,--3-----,,33.266666666666666,-7.233333333333333,
MA,ELH,El Hajeb,El Hajeb,MEK,RL,--3-----,,33.7,-5.366666666666666,
MA,ELJ,El Jadida,El Jadida,JDI,RL,1-3-----,,33.25,-8.5,
MA,ELL,El Jouam'a,El Jouam'a,TET,RL,--3-----,,35.65,-5.666666666666667,
MA,ERH,Errachidia,Errachidia,,AI,---4----,,31.947233150000002,-4.401284099776425,true
MA,ESS,Essaouira,Essaouira,ESI,RL,1-3-----,,31.416666666666668,-9.5,
MA,FEZ,Fez,Fez,,AI,---4----,,34.02619515,-5.023184874281094,true
MA,GMS,Gmassa,Gmassa,MAR,AM,--3-----,,31.4,-8.4,
MA,GLN,Goulimime,Goulimime,,AI,---4----,,,,
MA,GUE,Guercif,Guercif,TAZ,RL,--3-----,,34.233333333333334,-3.3666666666666667,
MA,HAB,Habib,Habib,OUA,RL,--3-----,,30.9,-6.85,
MA,HDS,Had Soualem,Had Soualem,CAS,RL,--3-----,,33.416666666666664,-7.833333333333333,
MA,IFR,Ifrane,Ifrane,IFR,RL,--3-----,,33.516666666666666,-5.1,
MA,ZIE,Imintanoute,Imintanoute,CHI,RL,-----6--,,31.166666666666668,-8.85,
MA,IMZ,Imouzzer Kandar,Imouzzer Kandar,SEF,AM,--3-----,,33.733333333333334,-5.016666666666667,
MA,JER,Jerada,Jerada,JRA,AM,--3-----,,34.3,-2.1666666666666665,
MA,JFL,Jorf Lasfar,Jorf Lasfar,,RQ,1-3-----,,33.1100029,-8.63114683626699,true
MA,KAT,Kasba Tadla,Kasba Tadla,,RQ,--3-----,,32.602894,-6.269706,true
MA,NNA,Kenitra (ex Port Lyautey),Kenitra (ex Port Lyautey),,AI,1--4----,,,,
MA,KHE,Khemisset,Khemisset,,RQ,--3-----,,33.830287,-6.072605,true
MA,KHF,Khenifra,Khenifra,KHN,RL,--3-----,,32.93333333333333,-5.666666666666667,
MA,KHA,Khouribga,Khouribga,,RQ,--3-----,,32.8856482,-6.908798,true
MA,ZZ4,Ksar el Kebir,Ksar el Kebir,LAR,RL,--3-----,,35,-5.9,
MA,KSS,Ksar es Sghir,Ksar es Sghir,FAH,RL,--3-----,,35.833333333333336,-5.55,
MA,SEK,Ksar Es Souk,Ksar Es Souk,,AI,---4----,,35.80369,-5.63955,true
MA,KMA,Ksar Majaz,Ksar Majaz,TNG,RL,-23--6--,,35.8231629,-5.529769722713908,true
MA,EUN,Laayoune (El Aaiun),Laayoune (El Aaiun),,AI,1--4----,,27.140618500000002,-13.222323921578901,true
MA,LAR,Larache,Larache,,QQ,1-------,,35.1952327,-6.152913,true
MA,LIF,Lisasfa,Lisasfa,SET,RL,--3-----,,32.65,-7.5,
MA,RAK,Marrakech,Marrakech,,AI,-234----,,31.633333333333333,-8,
MA,MTT,Martil,Martil,TET,RL,--3-----,,35.6,-5.266666666666667,
MA,MDN,Mediouna,Mediouna,,RL,-----6--,,33.45,-7.516666666666667,
MA,MEK,Mekn�s,Meknes,,RL,--3-----,,33.9,-5.55,
MA,MEL,Melloussa,Melloussa,TNG,RL,--3-----,,35.733333333333334,-5.616666666666667,
MA,MDT,Midelt,Midelt,KHN,AA,--3-----,,32.666666666666664,-4.733333333333333,
MA,CMN,Mohammed V International Airport,Mohammed V International Airport,08,RL,---4----,,33.36666666666667,-7.583333333333333,
MA,MOH,Mohammedia,Mohammedia,,QQ,1-------,,33.6958383,-7.3893292,true
MA,MBS,Moulay Bou Selham,Moulay Bou Selham,KEN,RL,--3-----,,34.86666666666667,-6.283333333333333,
MA,NDR,Nador,Nador,,AI,1-------,,35.1739922,-2.9281198,true
MA,NOU,Nouasseur,Nouasseur,,RQ,0-------,,32.29773,-8.81155,true
MA,NPS,"""Nouveau Port Safi"," Sidi Boudenyan""","""Nouveau Port Safi"," Sidi Boudenyan""",SAF,1-------,30.42379,-9.59371,true
MA,OZZ,Ouarzazate,Ouarzazate,,AI,---4----,,30.9381968,-6.908925937525126,true
MA,OUZ,Oued Zem,Oued Zem,KHO,RL,--3-----,,32.85,-6.55,
MA,OUD,Oujda,Oujda,,AI,---4----,,34.69720345,-1.9094415948383316,true
MA,T4R,Oulad Teima,Oulad Teima,TAR,AA,--3-----,,30.4,-9.2,
MA,OSA,Ouled Salah,Ouled Salah,OUJ,RL,--3-----,,34.766666666666666,-2.15,
MA,MRC,Ourika,Ourika,OUA,AA,--3--6--,,30.716666666666665,-6.55,
MA,RBA,Rabat,Rabat,,AI,1--4----,,34.02236,-6.8340222,true
MA,REM,Ras El Ma,Ras El Ma,NAD,AA,1----6--,,35.11666666666667,-2.4,
MA,RNA,Roches Noires,Roches Noires,MOH,RL,1-3-----,,33.6,-7.566666666666666,
MA,SFI,Safi,Safi,,AI,1--4----,,32.2650776,-9.230554032530662,true
MA,ZSA,Saidia,Saidia,OUJ,RL,-----6--,,35.083333333333336,-2.2333333333333334,
MA,SAL,Sal�,Sale,,RL,1-------,,34.03333333333333,-6.8,
MA,SGD,Sebt Guerdane,Sebt Guerdane,TAR,AA,--3-----,,29.65,-7.95,
MA,SFF,Sefrou,Sefrou,FES,RQ,--3--6--,,33.81666666666667,-4.816666666666666,
MA,SLE,Selouane,Selouane,NAD,AA,-----6--,,34.06666666666667,-2.9166666666666665,
MA,SET,Settat,Settat,,RQ,0-------,,33.002397,-7.619867,true
MA,SDB,Sidi Bennour,Sidi Bennour,JDI,AA,--3--6--,,32.65,-8.416666666666666,
MA,SID,Sidi Bibi,Sidi Bibi,13,RL,--3-----,,30.216666666666665,-9.533333333333333,
MA,SII,Sidi Ifni,Sidi Ifni,,AI,1-------,,29.3791253,-10.1715632,true
MA,SIK,Sidi Kacem,Sidi Kacem,,RQ,--3-----,,34.226412,-5.711434,true
MA,SRH,Sidi Rahal,Sidi Rahal,JDI,RL,--3-----,,32.5,-8.35,
MA,6KS,Sidi Slimane,Sidi Slimane,KEN,RL,--3-----,,34.25,-5.916666666666667,
MA,ZSB,Skhirat,Skhirat,,RL,-----6--,,33.85,-7.033333333333333,
MA,SEL,Slimane,Slimane,KES,RL,--3-----,,32.06666666666667,-8.1,
MA,SMW,Smara,Smara,,AI,---4----,,26.7324525,-11.684223343549455,true
MA,SDC,Souk Et Tnine Des Chtouka,Souk Et Tnine Des Chtouka,JDI,AA,-----6--,,33.3,-8.15,
MA,SSO,Souk Sebt des Oulad Nem�a,Souk Sebt des Oulad Nemaa,BEM,RL,--3-----,,32.3,-6.7,
MA,6KN,Souq Larb'A Al Gharb,Souq Larb'A Al Gharb,KEN,AA,1----6--,,34.666666666666664,-5.966666666666667,
MA,TAF,Tafraout,Tafraout,TIZ,AM,--3-----,,29.716666666666665,-8.966666666666667,
MA,TAL,Talsint,Talsint,FIG,AM,--3-----,,32.53333333333333,-3.45,
MA,TTA,Tan Tan,Tan Tan,,AI,---4----,,28.437553,-11.098664,true
MA,PTM,Tanger Med,Tanger Med,TNG,AI,123-----,,35.77131,-5.80936,true
MA,TNG,Tangier,Tangier,,AI,1--45---,,35.78333333333333,-5.816666666666666,
MA,TNT,Taounate,Taounate,,RL,-----6--,,34.55,-4.65,
MA,TRE,Tardane,Tardane,LAR,AA,--3-----,,35.36666666666667,-5.6,
MA,TFY,Tarfaya,Tarfaya,,AI,---4----,,27.9401204,-12.9249934,true
MA,TAR,Taroudannt,Taroudannt,TAR,RL,--3-----,,30.466666666666665,-8.85,
MA,TRD,Taroudant,Taroudant,TAR,AA,--34-6--,,30.466666666666665,-8.866666666666667,
MA,TAT,Tata,Tata,TAR,RL,--3-----,,29.733333333333334,-7.966666666666667,
MA,TAZ,Taza,Taza,,RQ,--3-----,,34.230155,-4.010104,true
MA,TEM,Temara,Temara,06,RQ,1-------,,33.92866,-6.90656,true
MA,TTU,T�touan,Tetouan,,AI,1--4----,,35.56666666666667,-5.383333333333334,
MA,THI,Tinerhir,Tinerhir,OUA,RL,--3-----,,31.5,-5.516666666666667,
