country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
MD,AIN,Anenii Noi,Anenii Noi,CU,RL,--3-----,,46.86666666666667,29.216666666666665,
MD,BEL,Balti (Bel'cy),Balti (Bel'cy),BA,RL,-23-----,BZY,47.75,27.916666666666668,
MD,BAS,Basarabeasca,Basarabeasca,BS,RL,-----6--,,46.31666666666667,28.966666666666665,
MD,TBY,Bendery,Bendery,BD,RL,-----6--,,46.81666666666667,29.466666666666665,
MD,BRS,Berestovitsa,Berestovitsa,,AI,-2------,,,,
MD,BOL,Bolotino,Bolotino,,RQ,-----6--,,47.68333333333333,27.333333333333332,
MD,RCN,Briceni,Briceni,ED,RQ,-----6--,,48.35,27.083333333333332,
MD,BRZ,Br�nzeni,Brinzeni,ED,RL,--3-----,,48.083333333333336,27.166666666666668,
MD,BOA,Bulboaca,Bulboaca,CU,RL,--3-----,,46.86666666666667,29.3,
MD,BUL,Bulboaca,Bulboaca,ED,RL,-----6--,,48.36666666666667,27.183333333333334,
MD,BLU,Burlacu,Burlacu,CA,RL,-----6--,,46.03333333333333,28.4,
MD,CAH,Cahul,Cahul,CA,RL,--3-----,,45.916666666666664,28.183333333333334,
MD,CAL,Calarasi,Calarasi,CL,RL,--3-----,,44.2,27.333333333333332,
MD,CAN,Cantemir,Cantemir,,RL,--3-----,,46.266666666666666,28.2,
MD,CNI,Causeni,Causeni,,RL,--3-----,,46.63333333333333,29.4,
MD,CAZ,Cazaclia,Cazaclia,GA,RL,--3-----,,46,28.65,
MD,CLA,Ceadir-Lunga,Ceadir-Lunga,GA,RQ,--3-----,,46.05,28.833333333333332,
MD,KIV,Chisin�u (ex Kishinev),Chisinau (ex Kishinev),,AI,---45---,,47.016666666666666,28.833333333333332,
MD,CML,Cimislia,Cimislia,,RL,--3-----,,46.516666666666666,28.783333333333335,
MD,COM,Comrat,Comrat,GA,RL,--3-----,,46.3,28.65,
MD,CST,Costesti,Costesti,CU,AM,--3-----,,46.9,28.766666666666666,
MD,CRI,Cricova,Cricova,CU,RL,--3-----,,47.13333333333333,28.85,
MD,CRE,Criuleni,Criuleni,CR,RL,--3-----,,47.2,29.15,
MD,DUB,Dubasari,Dubasari,SN,RL,--3-----,,47.25,29.15,
MD,ED2,Edinet,Edinet,ED,RL,--3-----,,48.166666666666664,27.3,
MD,ETL,Etulia,Etulia,GA,RL,--3-----,,45.53333333333333,28.433333333333334,
MD,FLT,Falesti,Falesti,BA,RL,-----6--,,47.56666666666667,27.7,
MD,FLO,Floresti,Floresti,CU,RL,-23-----,,46.983333333333334,29.166666666666668,
MD,GIU,Giurgiulesti,Giurgiulesti,CA,RL,1-3-----,,45.46666666666667,28.183333333333334,
MD,HIM,Hincesti,Hincesti,HI,RL,-----6--,,46.81666666666667,28.583333333333332,
MD,MJN,Ialoveni,Ialoveni,IA,RL,-----6--,,46.93333333333333,28.766666666666666,
MD,MKO,Kupchino,Kupchino,,RL,-----6--,,48.1,27.383333333333333,
MD,NSP,Lapusna,Lapusna,HI,RL,--3-----,,46.88333333333333,28.416666666666668,
MD,LEO,Leova,Leova,LE,RL,--3-----,,46.46666666666667,28.25,
MD,LEU,Leusheny,Leusheny,,RL,--3-----,,46.81666666666667,28.2,
MD,NIS,Nisporeni,Nisporeni,UN,RL,--3-----,,47.06666666666667,28.166666666666668,
MD,ORH,Orhei,Orhei,OR,RL,--3-----,,47.36666666666667,28.816666666666666,
MD,PSI,Pleseni,Pleseni,CA,RL,--3-----,,46.35,28.333333333333332,
MD,PUR,Purcari,Purcari,SV,RL,--3-----,,46.53333333333333,29.85,
MD,REV,Revaca,Revaca,CU,RL,--3-----,,46.9,28.933333333333334,
MD,RIB,Ribnita,Ribnita,,RL,-23-----,,47.75,29,
MD,XXX,RIS Inland waterways,RIS Inland waterways,,AI,1-------,,,,
MD,SCT,Salcuta,Salcuta,CS,RL,--3-----,,46.583333333333336,29.233333333333334,
MD,SOR,Soroca,Soroca,SO,RL,--3-----,,48.166666666666664,28.3,
MD,STV,Stefan-Voda,Stefan-Voda,SV,RL,--3-----,,46.5,29.65,
MD,STR,Straseni,Straseni,ST,RL,-----6--,,47.13333333333333,28.6,
MD,TAR,Taraclia,Taraclia,TA,RL,--3-----,,46.56666666666667,29.1,
MD,TCA,Taraclia,Taraclia,CA,RL,--3-----,,45.9,28.666666666666668,
MD,TEL,Telenesti,Telenesti,TE,RL,--3-----,,47.71666666666667,28.45,
MD,TIR,Tiraspol,Tiraspol,,RL,-23-----,,46.833333333333336,29.633333333333333,
MD,UNG,Ungeny,Ungeny,,AI,-2------,,47.20417,27.79583,true
MD,VTG,Vatra,Vatra,GA,RL,--3-----,,47.06666666666667,28.733333333333334,
MD,VUL,Vulc?nesti,Vulc?nesti,GA,RL,--3-----,,45.68333333333333,28.4,
