country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
ME,BAR,Bar,Bar,,RL,123-----,,42.083333333333336,19.083333333333332
ME,IVG,Berane (Yvangrad),Berane (Yvangrad),,AI,-234----,,42.85,19.866666666666667
ME,BIJ,Bijela,Bijela,,RL,1-3-----,,42.45,18.666666666666668
ME,BOP,Bijelo Polje,Bijelo Polje,,RQ,--3-----,,43.03333333333333,19.733333333333334
ME,BUD,Budva,Budva,05,RL,1-3-----,,42.28333333333333,18.833333333333332
ME,CET,Cetinje,Cetinje,06,RL,--3-----,,42.36666666666667,18.916666666666668
ME,DNL,Danilovgrad,Danilovgrad,07,RL,--3-----,,42.55,19.1
ME,HNO,Hercegnovi,Hercegnovi,,RL,1234----,,42.45,18.533333333333335
ME,IGL,Igalo,Igalo,,RL,1-3-----,,42.46666666666667,18.516666666666666
ME,KOT,Kotor,Kotor,10,RL,1-34----,,42.416666666666664,18.766666666666666
ME,LJA,Ljajkovici,Ljajkovici,16,RL,--3-----,,42.36666666666667,19.2
ME,MKV,Mojkovac,Mojkovac,11,AM,--3-----,,42.95,19.566666666666666
ME,NIK,Niksic,Niksic,12,RL,-23-----,,42.766666666666666,18.933333333333334
ME,PVC,Petrovac,Petrovac,,RL,1-3-----,,42.2,18.933333333333334
ME,PLJ,Pljevlja,Pljevlja,14,RL,--3-----,,43.35,19.35
ME,TGD,Podgorica,Podgorica,,RL,-234----,,42.43333333333333,19.25
ME,RIJ,Rijeka Crnojevica,Rijeka Crnojevica,16,RL,--3-----,,42.35,19.033333333333335
ME,RSN,Risan (Risano),Risan (Risano),,RQ,1-3-----,,42.516666666666666,18.7
ME,TIV,Tivat,Tivat,19,RL,1-34----,,42.43333333333333,18.7
ME,ULC,Ulcinj,Ulcinj,20,RL,1-3-----,,41.916666666666664,19.2
ME,ZBK,Zabljak,Zabljak,21,RL,--34----,,43.15,19.116666666666667
ME,ZEL,Zelenika,Zelenika,,RL,123-----,,42.45,18.583333333333332
