country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
MG,IVA,Ambanja,Ambanja,,AI,----5---,,-13.6758118,48.4527762,true
MG,AHY,Ambatolahy,Ambatolahy,,AI,---4----,,-20.0153265,45.5375864,true
MG,AMY,Ambatomainty,Ambatomainty,,AI,---4----,,-17.6963929,45.6655134,true
MG,WAM,Ambatondrazaka,Ambatondrazaka,,AI,---4----,,-17.7953922,48.4424785,true
MG,AMB,Ambilobe,Ambilobe,,AI,---4----,,-13.194439,49.049956,true
MG,AMS,Amboasary Sud,Amboasary Sud,U,AM,-23-----,,-25.033333333333335,46.38333333333333,
MG,AMV,Ambovombe,Ambovombe,U,AM,--3-----,,-25.166666666666668,46.083333333333336,
MG,AMP,Ampanihy,Ampanihy,,AI,---4----,,-24.6996994,44.7341995,true
MG,HVA,Analalava,Analalava,,AI,---4----,,-14.6292429,47.7577163,true
MG,ZWA,Andapa,Andapa,,AI,---4----,,-14.6622706,49.6517827,true
MG,WAD,Andriamena,Andriamena,,AI,---4----,,-17.4477109,47.5045851,true
MG,ADK,Androka,Androka,,QQ,1-------,,-25.0117748,44.0764913,true
MG,JVA,Ankavandra,Ankavandra,,AI,---4----,,-18.805817,45.2739652,true
MG,WAK,Ankazoabo,Ankazoabo,,AI,---4----,,-22.2988757,44.5328871,true
MG,NKO,Ankokoambo,Ankokoambo,,RQ,---4----,,-16.566666666666666,44.46666666666667,
MG,WOR,Ankorefo,Ankorefo,,AI,---4----,,-15.0481044,50.1036952,true
MG,ANM,Antalaha,Antalaha,,AI,1--4----,,-14.9012302,50.2810433,true
MG,TNR,Antananarivo,Antananarivo,,AI,---45---,,-18.9100122,47.5255809,true
MG,WAQ,Antsalova,Antsalova,,AI,---4----,,-18.6994859,44.6160405,true
MG,ATJ,Antsirabe,Antsirabe,,AI,---4----,,-19.839214,47.063852509301654,true
MG,DIE,Antsiranana,Antsiranana,,AI,1--4----,,-12.2527972,49.2536402,true
MG,WAI,Antsohihy,Antsohihy,,AI,---4----,,-14.9031941,47.9949366,true
MG,BRR,Barren Islands,Barren Islands,,QQ,1-------,,,,
MG,WBE,Bealanana,Bealanana,,AI,---4----,,-14.5423728,48.7482434,true
MG,WBD,Befandriana,Befandriana,,AI,---4----,,-15.254677,48.5420235,true
MG,OVA,Bekily,Bekily,,AI,---4----,,-24.545254,44.406122,true
MG,BMD,Belo,Belo,,AI,1--4----,,-19.6898203,44.5448105,true
MG,WBO,Beroroha,Beroroha,,AI,---4----,,-21.679782,45.169849,true
MG,BSV,Besakoa,Besakoa,,AI,---4----,,-24.166284,45.2725509,true
MG,BPY,Besalampy,Besalampy,,AI,1--4----,,-16.7452789,44.4803872,true
MG,BKU,Betioky,Betioky,,AI,---4----,,-24.1022,45.2886,true
MG,BIK,Brickaville,Brickaville,,QQ,1-------,,-18.8208628,49.0694434,true
MG,DOA,Doany,Doany,,AI,---4----,,-14.3681002,49.5107994,true
MG,EHL,Ehoala,Ehoala,U,RL,1-------,,-25.066666666666666,46.95,
MG,RVA,Farafangana,Farafangana,,AI,1--4----,,-22.8051728,47.82304523439726,true
MG,WFI,Fianarantsoa,Fianarantsoa,,AI,---4----,,-21.441679,47.111230669174375,true
MG,FTU,Fort Dauphin (Toalagnaro),Fort Dauphin (Toalagnaro),,AI,1--4----,,-25.04204875,46.95019958578181,true
MG,HLV,Hell-Ville,Hell-Ville,,QQ,1-------,,-13.405413,48.274305,true
MG,IHO,Ihosy,Ihosy,,AI,---4----,,-22.407472050000003,46.16648597177759,true
MG,ILK,Ilaka,Ilaka,,AI,---4----,,-22.4252249,47.6962004,true
MG,IVA,Ivato,Ivato,,AI,----5---,,-22.3886295,47.8674826,true
MG,WMV,Madirovalo,Madirovalo,,AI,---4----,,-16.4412179,46.5451892,true
MG,VVB,Mahanoro,Mahanoro,,AI,1--4----,,-19.8329851,48.7999442,true
MG,MXT,Maintirano,Maintirano,,AI,1--4----,,-18.0499992,44.0330009,true
MG,MJN,Majunga (Mahajanga),Majunga (Mahajanga),,AI,1--4----,,-15.7181492,46.3172577,true
MG,WML,Malaimbandy,Malaimbandy,,AI,---4----,,-20.3446512,45.5955108,true
MG,WMP,Mampikony,Mampikony,,AI,---4----,,-16.0717544,47.64285129363164,true
MG,WVK,Manakara,Manakara,,AI,1--4----,,-22.119360299999997,48.02148122625806,true
MG,WMR,Mananara,Mananara,,AI,1--4----,,-18.3556558,47.8136661,true
MG,MNJ,Mananjary,Mananjary,,AI,1--4----,,-21.198617900000002,48.35967558247168,true
MG,WMD,Mandabe,Mandabe,,AI,---4----,,-21.0507506,44.9357529,true
MG,WMA,Mandritsara,Mandritsara,,AI,---4----,,-15.8454475,48.8390163,true
MG,MJA,Manja,Manja,,AI,---4----,,-21.4262066,44.3165182,true
MG,MOB,Manombo,Manombo,,QQ,1-------,,-22.9528005,43.4739244,true
MG,WMN,Maroantsetra,Maroantsetra,,AI,1--4----,,-15.4348742,49.7422912,true
MG,ZVA,Miandrivazo,Miandrivazo,,AI,---4----,,-19.5592043,45.4493198,true
MG,TVA,Morafenobe,Morafenobe,,AI,---4----,,-17.8500623,44.9211147,true
MG,MXM,Morombe,Morombe,,AI,1--4----,,-21.7440435,43.3593054,true
MG,MOQ,Morondava,Morondava,,AI,1--4----,,-20.28406665,44.32188519971053,true
MG,NOS,Nosy-Be,Nosy-Be,,AI,1-34----,,-13.333333333333334,48.25,
MG,NOV,Nosy-Varika,Nosy-Varika,,QQ,1-------,,-20.5829067,48.5322582,true
MG,WPB,Port Berge Vaovao,Port Berge Vaovao,M,AI,---4----,,-15.566666666666666,47.61666666666667,
MG,PSL,Port Saint Louis,Port Saint Louis,,RQ,1-------,,-15.56588,47.58997,true
MG,SMS,Sainte Marie,Sainte Marie,,AI,---4----,,-16.133333333333333,46.96666666666667,
MG,SVB,Sambava,Sambava,,AI,1--4----,,-14.2781762,50.1766569,true
MG,DWB,Soalala,Soalala,,AI,1--4----,,-16.101381,45.3581714,true
MG,TMM,Tamatave (Toamasina),Tamatave (Toamasina),,AI,1--45---,,-18.10852705,49.392372747399406,true
MG,WTA,Tambohorano,Tambohorano,,AI,---4----,,-17.4761009,43.9728012,true
MG,TDV,Tanandava,Tanandava,,AI,---4----,,-24.2660273,45.49469252758446,true
MG,TAN,Tanjombato,Tanjombato,T,RL,--3-----,,-18.95,47.53333333333333,
MG,TLN,Taolagnaro,Taolagnaro,,RL,--3-----,,-25.016666666666666,46.96666666666667,
MG,TOA,Toamasina,Toamasina,,RQ,1-------,,-18.1553985,49.4098352,true
MG,TTS,Tsaratanana,Tsaratanana,,AI,---4----,,-21.1802183,47.6377719,true
MG,TSM,Tsiombe,Tsiombe,U,AM,--3-----,,-25.3,45.483333333333334,
MG,WTS,Tsiroanomandidy,Tsiroanomandidy,,AI,---4----,,-18.7633668,46.0511898,true
