country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
MH,AIP,Ailinglapalap Island,Ailinglapalap Island,ALL,RL,---4----,,7.266666666666667,168.81666666666666,
MH,AIM,Ailuk Island,Ailuk Island,,RQ,---4----,,10.183333333333334,169.98333333333332,
MH,AIC,Airok,Airok,,RQ,---4----,,7.1,171.23333333333332,
MH,AMR,Arno,Arno,ARN,RL,---4----,,7.083333333333333,171.7,
MH,AUL,Aur Island,Aur Island,AUR,RL,---4----,,8.133333333333333,171.16666666666666,
MH,EBN,Ebadon,Ebadon,KWA,RL,---4----,,9.333333333333334,166.8,
MH,QEE,Ebeye,Ebeye,KWA,RL,--3-----,,8.783333333333333,167.73333333333332,
MH,EBO,Ebon,Ebon,EBO,RL,---4----,,4.633333333333333,163.71666666666667,
MH,ENT,Enewetak Island,Enewetak Island,ENI,RL,---4----,,11.35,162.33333333333334,
MH,BII,"""Enyu Airfield"," Bikini""","""Enyu Airfield"," Bikini""",,---4----,11.58333,165.38333,true
MH,IMI,Ine Island,Ine Island,,RL,---4----,,6.983333333333333,171.61666666666667,
MH,JAT,Jabot,Jabot,,RL,---4----,,7,168.98333333333332,
MH,UIT,Jaluit Island,Jaluit Island,JAL,RL,---4----,,5.933333333333334,169.63333333333333,
MH,JEJ,Jeh,Jeh,,RL,---4----,,7.583333333333333,168.91666666666666,
MH,KBT,Kaben,Kaben,MAL,RL,---4----,,8.75,170.83333333333334,
MH,KIO,Kili Island,Kili Island,KIL,RL,---4----,,5.616666666666667,169.11666666666667,
MH,KWA,Kwajalein,Kwajalein,,AI,---4----,,9.182,167.309,true
MH,LML,Lae Island,Lae Island,,AI,---4----,,8.9218403,166.265565,true
MH,LIK,Likiep Island,Likiep Island,,AI,---4----,,9.82326265,169.30807220544634,true
MH,LOF,Loen,Loen,,AI,---4----,,,,
MH,MJE,Majkin,Majkin,,AI,---4----,,8.1633625,168.1738619,true
MH,MAJ,Majuro,Majuro,MAJ,AI,1--4----,,7.1,171.38333333333333,
MH,MAV,Maloelap Island,Maloelap Island,,AI,---4----,,8.70574285,171.23131601252823,true
MH,MJB,Mejit Island,Mejit Island,,AI,---4----,,10.2830114,170.8686806,true
MH,MIJ,Mili Island,Mili Island,,AI,---4----,,6.0832232,171.7315183,true
MH,NDK,Namdrik Island,Namdrik Island,,AI,---4----,,5.6331752999999996,168.12684441832886,true
MH,NMU,Namu,Namu,,AI,---4----,,8.1633625,168.1738619,true
MH,RNP,Rongelap Island,Rongelap Island,,AI,---4----,,11.15724195,166.88718999407507,true
MH,TBV,Tabal,Tabal,,AI,---4----,,,,
MH,TAR,Taroa,Taroa,,RQ,1-------,,8.7044037,171.2255796,true
MH,TIC,Tinak Island,Tinak Island,,AI,---4----,,,,
MH,UJE,Ujae Island,Ujae Island,,AI,---4----,,8.9296017,165.7643377,true
MH,UTK,Utirik Island,Utirik Island,,AI,---4----,,11.2223226,169.85190447841075,true
MH,WJA,Woja,Woja,,AI,---4----,,7.4523501,168.552002,true
MH,WTO,Wotho Island,Wotho Island,,AI,---4----,,10.1737116,166.0027914,true
MH,WTE,Wotje Island,Wotje Island,,AI,---4----,,9.4592211,170.2378303572175,true
