country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
MK,BRV,Berovo,Berovo,201,AC,--3----B,,41.7,22.85,
MK,BTL,Bitola,Bitola,501,AC,-234----,,41.016666666666666,21.316666666666666,
MK,BLC,Blace,Blace,,AC,--3----B,,41.894351,21.0219741,true
MK,BLT,Blato,Blato,,AC,--3----B,,41.3365668,21.367872,true
MK,BDA,Bogdanci,Bogdanci,401,RQ,--3-----,,41.2,22.566666666666666,
MK,BRD,Bogorodica,Bogorodica,,AC,--3----B,,41.1402167,22.5492517,true
MK,BT5,Bogovinje,Bogovinje,609,RL,--3-----,,41.916666666666664,20.9,
MK,DEB,Debar,Debar,303,RL,--3-----,,41.53333333333333,20.516666666666666,
MK,DLV,Delcevo,Delcevo,,AC,--3----B,,41.9668344,22.7767722,true
MK,DEH,Demir Hisar,Demir Hisar,502,RL,--3-----,,41.21666666666667,21.2,
MK,DKJ,Demir Kapija,Demir Kapija,103,RL,1-3-----,,41.4,22.233333333333334,
MK,DVB,Deve Bair,Deve Bair,,AC,--3----B,,41.25747,22.75607,true
MK,DRA,Dracevo,Dracevo,85,RL,--3-----,,41.93333333333333,21.516666666666666,
MK,GVL,Gevgelija,Gevgelija,405,AC,-23-----,,41.13333333333333,22.5,
MK,GST,Gostivar,Gostivar,604,AC,--3-----,,41.7920222,20.9081703,true
MK,GDK,Gradsko,Gradsko,102,RL,--3-----,,41.56666666666667,21.933333333333334,
MK,ILI,Ilinden,Ilinden,85,RL,--3-----,,41.983333333333334,21.566666666666666,
MK,JNC,Jacince,Jacince,,AC,--3----B,,42.0958826,21.8830048,true
MK,KFN,Kafasan,Kafasan,,AC,--3----B,,,,
MK,KBI,Karbinci,Karbinci,205,RQ,--3-----,,41.8,22.283333333333335,
MK,KVD,Kavadarci,Kavadarci,104,AC,--3----B,,41.43333333333333,22,
MK,KCV,Kicevo,Kicevo,,RQ,--3-----,,41.5089037,20.9585155,true
MK,KCI,Kocani,Kocani,,RL,--3-----,,41.916666666666664,22.4,
MK,KI8,Konopiste,Konopiste,104,RL,--3-----,,41.233333333333334,22.066666666666666,
MK,KOS,Kosovo,Kosovo,,RL,--3-----,,41.81666666666667,21.116666666666667,
MK,KKP,Kriva Palanka,Kriva Palanka,702,RL,--3-----,,42.2,22.316666666666666,
MK,KUM,Kumanovo,Kumanovo,703,AC,--3-----,,42.11666666666667,21.7,
MK,LOZ,Lozovo,Lozovo,105,RL,-23-----,,41.75,21.933333333333334,
MK,MB7,Makedonski Brod,Makedonski Brod,308,RL,--3-----,,41.5,21.2,
MK,MTL,Medzitlija,Medzitlija,,AC,--3----B,,40.93333333333333,21.433333333333334,
MK,MIR,Miravci,Miravci,405,RL,--3-----,,41.3,22.433333333333334,
MK,NGT,Negotino,Negotino,106,RQ,--3-----,,41.483333333333334,22.083333333333332,
MK,NOD,Novi Dojran,Novi Dojran,406,RQ,1-------,,41.21666666666667,22.7,
MK,NSL,Novo Selo,Novo Selo,408,AC,--3----B,,41.416666666666664,22.9,
MK,OBL,Oblesevo,Oblesevo,206,RL,--3-----,,41.88333333333333,22.333333333333332,
MK,OHD,Ohrid,Ohrid,310,AC,--34---B,,41.11666666666667,20.8,
MK,PLN,Pelince,Pelince,,AC,--3----B,,42.2878754,21.8571494,true
MK,PTR,Petrovec,Petrovec,810,AC,---4---B,,41.93333333333333,21.6,
MK,PLP,Prilep,Prilep,508,AC,-23-----,,41.333333333333336,21.55,
MK,PRO,Probistip,Probistip,209,RL,--3-----,,42,22.183333333333334,
MK,RAD,Radovis,Radovis,409,RQ,1----6--,,41.65,22.5,
MK,RSN,Resen,Resen,,AC,--3-----,,41.0847919,21.014274837304256,true
MK,SKP,Skopje,Skopje,,AC,--34---B,,41.9961816,21.4319213,true
MK,SPT,Sopot,Sopot,101,AC,--3----B,,41.78333333333333,21.716666666666665,
MK,SDR,Star Dojran,Star Dojran,406,AC,--3----B,,41.18333333333333,22.716666666666665,
MK,STE,Stenje,Stenje,509,AC,--3----B,,40.93333333333333,20.9,
MK,STP,Stip,Stip,,AC,--3-----,,41.7374724,22.1935856,true
MK,STO,Stojakovo,Stojakovo,401,RL,--3-----,,41.15,22.566666666666666,
MK,STG,Struga,Struga,108,AC,--3-----,,41.1770278,20.6790586,true
MK,STM,Strumica,Strumica,410,AC,--3-----,,41.43333333333333,22.633333333333333,
MK,STN,Sveti Naum,Sveti Naum,310,AC,--3----B,,40.9,20.8,
MK,SNI,Sveti Nikole,Sveti Nikole,108,RL,1-------,,41.85,21.933333333333334,
MK,TBN,Tabanovce,Tabanovce,,AC,--3----B,,42.2143133,21.7080545,true
MK,TEV,Tetovo,Tetovo,609,AC,--3-----,,42,20.966666666666665,
MK,MTS,Titov Veles,Titov Veles,101,RL,-----6--,,41.7,21.766666666666666,
MK,TBR,Trubarevo,Trubarevo,17,AC,--3-----,,41.96666666666667,21.516666666666666,
MK,VAL,Valandovo,Valandovo,403,RL,--3-----,,41.31666666666667,22.55,
MK,TTV,Veles,Veles,101,RL,-23-----,,41.7,21.766666666666666,
MK,VIN,Vinica,Vinica,202,RL,--3-----,,41.86666666666667,22.483333333333334,
MK,VLK,Volkovo,Volkovo,,AC,--3-----,,41.3015294,21.5679444,true
