country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
ML,AMB,Ambid�di,Ambidedi,,RL,--3-----,,14.583333333333334,-11.783333333333333,
ML,AAO,Ansongo,Ansongo,7,AI,---4----,,15.1,0.08333333333333333,
ML,BGD,Baguin�da,Baguineda,2,RL,--3-----,,12.6,-7.766666666666667,
ML,BKO,Bamako,Bamako,,AI,---45---,,12.5353304,-7.9487650400229874,true
ML,BAI,Banangoroni,Banangoroni,4,RL,--3-----,,13.683333333333334,-6.383333333333334,
ML,BLA,Bla,Bla,,RL,--3-----,,12.949364,-5.7620576,true
ML,BGI,Bougouni,Bougouni,,RL,--3-----,,11.4,-7.483333333333333,
ML,DKB,Dialakorobougou,Dialakorobougou,2,RL,-23-----,,12.8,-7.416666666666667,
ML,DIO,Dioila,Dioila,,RL,--3-----,,12.483333333333333,-6.8,
ML,FAN,Fana,Fana,,RL,--3-----,,12.782443,-6.9556193,true
ML,GAQ,Gao,Gao,,AI,---4----,,14.1736306,-10.5231729,true
ML,GUD,Goundam,Goundam,,RL,---4----,,16.4168533,-3.6636275,true
ML,KDL,Kadiolo,Kadiolo,3,RL,--3-----,,10.55,-5.766666666666667,
ML,KAM,Kamal�,Kamale,2,RL,--3-----,,12.383333333333333,-8.266666666666667,
ML,KAT,Kati,Kati,2,RL,--3-----,,12.733333333333333,-8.066666666666666,
ML,KBG,Katibougou,Katibougou,2,RL,--3-----,,12.916666666666666,-7.516666666666667,
ML,KYS,Kayes,Kayes,,AI,---4----,,14.4817959,-11.401360415778946,true
ML,KPR,Kemparana,Kemparana,,RL,--3-----,,,,
ML,KNZ,Kenieba,Kenieba,,RQ,---4----,,12.8410617,-11.2510981,true
ML,KIT,Kita,Kita,,RL,--3-----,,13.0408383,-9.4889798,true
ML,KOR,Korouma,Korouma,,RL,--3--6--,,13.483333333333333,-11.433333333333334,
ML,IKO,Koulikoro,Koulikoro,,RL,--3-----,,12.8646318,-7.5561287,true
ML,KOU,Koumantou,Koumantou,,RL,--3-----,,11.416666666666666,-6.833333333333333,
ML,KTX,Koutiala,Koutiala,,AI,--34----,,12.3894818,-5.4639199,true
ML,MAH,Mahana,Mahana,,RL,--3-----,,16.183333333333334,-6.7,
ML,MAI,Mahina,Mahina,,RL,--3-----,,13.3,-10.65,
ML,MBG,Manabougou,Manabougou,2,RL,--3-----,,12.766666666666667,-7.683333333333334,
ML,MZI,Mopti,Mopti,,AI,---4----,,14.4877275,-4.1892469,true
ML,MOR,Morila,Morila,,RL,--3-----,,12.2,-6.633333333333333,
ML,NRM,Nara,Nara,,AI,---4----,,15.1712509,-7.2888666,true
ML,NDE,Nd�bougou,Ndebougou,,RL,--3-----,,14.366666666666667,-5.983333333333333,
ML,NEG,N�gala,Negala,2,RL,--3-----,,12.866666666666667,-8.45,
ML,NIO,Niono,Niono,,RL,--3-----,,14.25,-6,
ML,NIX,Nioro,Nioro,,AI,---4----,,15.23953285,-9.57321168978643,true
ML,OLB,Ouoloss�bougou,Ouolossebougou,,RL,--3-----,,,,
ML,SLA,Sadiola,Sadiola,,RL,--3-----,,13.883333333333333,-11.7,
ML,SAN,San,San,,RL,--3-----,,13.283333333333333,-4.883333333333333,
ML,SZU,S�gou,Segou,,RL,--34----,,13.45,-6.266666666666667,
ML,SEV,S�var�,Sevare,,RL,--3-----,,14.533333333333333,-4.1,
ML,SIK,Sikasso,Sikasso,,RL,--3-----,,11.316666666666666,-5.666666666666667,
ML,TOM,Tombouctou,Tombouctou,,RQ,---4----,,16.716666666666665,-3,
ML,TOU,Touana,Touana,,RL,--3-----,,13.633333333333333,-7.483333333333333,
ML,YAT,Yat�la,Yatela,,RL,--3-----,,14.1,-11.766666666666667,
ML,EYL,Yelimane,Yelimane,,RL,---4----,,15.133333333333333,-10.566666666666666,
