country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
MM,AKY,Akyab (Sittwe),Akyab (Sittwe),,AI,1--4----,,20.13189495,92.8765070409908,true
MM,BPE,Bagan,Bagan,,AI,---4----,,21.1317111,94.8623644,true
MM,BSX,Bassein,Bassein,,AI,1--4----,,16.813601400000003,94.77532425417502,true
MM,BMO,Bhamo,Bhamo,,AI,---4----,,24.27084445,97.24730411230965,true
MM,BIL,Bilin,Bilin,,QQ,1-------,,17.2142678,97.2318618,true
MM,BOG,Bogale,Bogale,,QQ,1-------,,16.1281833,95.45073542584907,true
MM,TVY,Dawe,Dawe,,AI,---4----,,12.58312205,98.39659586005149,true
MM,GAW,Gangaw,Gangaw,,AI,---4----,,21.389127600000002,94.1246054026212,true
MM,GWA,Gwa,Gwa,,AI,---4----,,17.737702249999998,94.70526484912213,true
MM,HEN,Heho,Heho,,QQ,---4----,,20.74775785,96.79266859459293,true
MM,HEB,Henzada,Henzada,,AI,1--4----,,17.6457472,95.4609517,true
MM,HOX,Homalin,Homalin,,AI,---4----,,24.899037149999998,94.91514266572523,true
MM,HTL,Htan Tlang,Htan Tlang,14,RL,--3-----,,22.666666666666668,93.4,
MM,INS,Insein,Insein,,QQ,1-------,,16.8879884,96.1066695,true
MM,KMV,Kalemyo,Kalemyo,,AI,---4----,,23.18896165,94.0493952559469,true
MM,KKR,Kawkareik,Kawkareik,13,RL,--3-----,,16.55,98.23333333333333,
MM,KAW,Kawthaung,Kawthaung,,AI,---4----,,9.9781142,98.5520893,true
MM,KET,Keng Tung,Keng Tung,,AI,---4----,,21.301057399999998,99.6366388999738,true
MM,KHM,Khamti,Khamti,,AI,---4----,,25.98555425,95.67215487158401,true
MM,KYA,Kyaiklat,Kyaiklat,07,RL,1-3-----,,16.566666666666666,95.78333333333333,
MM,KYP,Kyaukpyu,Kyaukpyu,,AI,1--4----,,19.42229405,93.53527784349123,true
MM,KYT,Kyauktaw,Kyauktaw,,AI,---4----,,20.843957,92.97282,true
MM,LSH,Lashio,Lashio,,AI,---4----,,22.980234000000003,97.75089767599788,true
MM,LPT,Latputta,Latputta,07,RL,--3-----,,16.15,94.76666666666667,
MM,LIW,Loikaw,Loikaw,,AI,---4----,,19.694734699999998,97.2143910027377,true
MM,LWJ,Lweje,Lweje,11,RL,--3-----,,24.2,97.71666666666667,
MM,MWQ,Magwe,Magwe,,AI,---4----,,20.15366705,94.96775400984203,true
MM,MXE,Male,Male,,RL,1-3-----,,23.03044,95.97464,true
MM,MGU,Manaung,Manaung,,AI,---4----,,18.84411445,93.68473454974858,true
MM,MDL,Mandalay,Mandalay,,AI,---4----,,21.9596834,96.0948743,true
MM,MAR,Martaban,Martaban,,QQ,1-------,,16.52834,97.6157,true
MM,MNU,Mawlamyine (Moulmein),Mawlamyine (Moulmein),,QQ,1--4----,,16.44556945,97.6613573161859,true
MM,MER,Mergui,Mergui,,QQ,1-------,,12.4319552,98.5955711,true
MM,MES,Mese,Mese,12,RL,--3--6--,,18.633333333333333,97.66666666666667,
MM,MOE,Momeik,Momeik,,AI,---4----,,23.092467749999997,96.64512835000001,true
MM,MOG,Mong Hsat,Mong Hsat,,AI,---4----,,20.51560855,99.26262107427677,true
MM,MGK,Mong Ton,Mong Ton,,AI,---4----,,20.2964333,98.8961533,true
MM,MYA,Monywa,Monywa,01,RL,--3-----,,22.116666666666667,95.13333333333334,
MM,MSE,Mu Se,Mu Se,17,RL,--3----B,,23.983333333333334,97.9,
MM,MUR,Murdon,Murdon,,QQ,1-------,,,,
MM,MWD,Myawadi,Myawadi,13,RL,--3----B,,16.683333333333334,98.51666666666667,
MM,MGZ,Myeik,Myeik,,AI,---4----,,12.4397928,98.62146561643826,true
MM,MNE,Myit Nge,Myit Nge,04,RL,-23--6--,,21.866666666666667,96.08333333333333,
MM,MYT,Myitkyina,Myitkyina,,AI,---4----,,25.383380250000002,97.35526450763894,true
MM,NMS,Namsang,Namsang,,AI,---4----,,20.888487400000002,97.73294122495295,true
MM,NMT,Namtu,Namtu,,AI,---4----,,23.09574,97.3980881,true
MM,NPD,Naypyidaw,Naypyidaw,18,RL,--3-----,,19.75,96.1,
MM,NYU,Nyaung-U,Nyaung-U,,AI,---4----,,21.17631445,94.92953995057687,true
MM,PAA,Pa-An,Pa-An,,AI,---4----,,16.89502725,97.67582885379923,true
MM,PKK,Pakokku,Pakokku,,AI,---4----,,21.398887950000002,95.1109668513208,true
MM,PPU,Papun,Papun,,AI,---4----,,17.11083,97.84083,true
MM,PAU,Pauk,Pauk,,AI,---4----,,21.44900345,94.48656617197045,true
MM,PAZ,Pazundaung,Pazundaung,,RL,-----6--,,16.783333333333335,96.16666666666667,
