country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
MN,LTI,Altai,Altai,,AI,---4----,,48.3035739,89.5145424,true
MN,ALT,Altanbulag,Altanbulag,049,RL,--3-----,,50.3,106.48333333333333,
MN,AVK,Arvaikheer,Arvaikheer,,AI,---4----,,46.2484762,102.80469239487059,true
MN,UUN,Baruun-Urt,Baruun-Urt,,AI,---4----,,46.6591375,113.2856728915647,true
MN,BYN,Bayankhongor,Bayankhongor,,AI,---4----,,46.1596438,100.7062275980083,true
MN,UGA,Bulgan,Bulgan,,AI,---4----,,46.9248548,91.0898016,true
MN,COQ,Choibalsan,Choibalsan,,AI,---4----,,48.0688183,114.5241352,true
MN,DLZ,Dalandzadgad,Dalandzadgad,,AI,---4----,,43.61666666666667,104.48333333333333,
MN,DZU,Dzam�n ��d,Dzamin Uud,,RL,--3-----,,44.516666666666666,111.16666666666667,
MN,ERT,Erdenet,Erdenet,,AI,---4----,,49.0346023,104.0432529696895,true
MN,GAU,Gangimaodu,Gangimaodu,,RL,-----6--,,42.43333333333333,107.56666666666666,
MN,HAT,Hatgal,Hatgal,041,RL,--3-----,,50.45,100.16666666666667,
MN,KHR,Kharkhorin,Kharkhorin,,AI,---4----,,47.25107735,102.827437849678,true
MN,HVD,Khovd,Khovd,,AI,---4----,,47.94922605,91.63057560316228,true
MN,HJT,Khujirt,Khujirt,,AI,---4----,,46.9214273,102.7695436,true
MN,MXW,Mandalgobi,Mandalgobi,,AI,---4----,,45.7426207,106.267345,true
MN,MXV,Moron,Moron,,AI,---4----,,49.66392655,100.09678999232969,true
MN,ULG,�lgii,Olgii,071,AI,--34----,,48.96666666666667,89.95,
MN,ORD,Ordos,Ordos,,RQ,--3-----,,39.61666666666667,109.83333333333333,
MN,TOS,Tosontsengel,Tosontsengel,057,RL,--3-----,,48.75,98.28333333333333,
MN,TSZ,Tsetserleg,Tsetserleg,,AI,---4----,,47.476602,101.4532887,true
MN,ULN,Ulaanbaatar,Ulaanbaatar,,AI,---45---,,47.94093275,106.91795035225584,true
MN,ULO,Ulaangom,Ulaangom,,AI,---4----,,49.985177300000004,92.0717251606302,true
MN,UQA,Ulan Qab,Ulan Qab,,RL,--3-----,,42.766666666666666,114.66666666666667,
MN,ULZ,Uliastay,Uliastay,,AI,---4----,,47.75,96.81666666666666,
MN,UNR,Underkhaan,Underkhaan,,AI,---4----,,,,
MN,ZUU,Zamyn-��d,Zamyn-Uud,,RL,--3--6--,,43.75,111.86666666666666,
