country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
MQ,BFT,Bellefontaine,Bellefontaine,,RL,--3-----,,14.666666666666666,-61.15
MQ,WF3,Case-Pilote,Case-Pilote,,AA,1-3-----,,14.633333333333333,-61.13333333333333
MQ,DUC,Ducos,Ducos,,RL,--3-----,,14.55,-60.983333333333334
MQ,FSD,Fonds-Saint-Denis,Fonds-Saint-Denis,,RL,--3-----,,14.733333333333333,-61.13333333333333
MQ,FDF,Fort-de-France,Fort-de-France,,AI,1-345---,,14.6,-61.05
MQ,GME,Gros-Morne,Gros-Morne,,RL,--3-----,,14.7,-61
MQ,LAT,La Trinit�,La Trinite,,RL,--3-----,,14.733333333333333,-60.96666666666667
MQ,LEC,Le Carbet,Le Carbet,,RL,--3-----,,14.7,-61.18333333333333
MQ,DMT,Le Diamant,Le Diamant,,RL,--3-----,,14.466666666666667,-61.03333333333333
MQ,LFR,Le Fran�ois,Le Francois,,RL,-2--5---,,14.616666666666667,-60.88333333333333
MQ,LMT,Le Lamentin,Le Lamentin,,RL,--345---,,14.6,-61
MQ,LLO,Le Lorrain,Le Lorrain,,RL,--3-----,,14.833333333333334,-61.06666666666667
MQ,PFI,Le Marigot,Le Marigot,,AA,1-3-----,,14.816666666666666,-61.03333333333333
MQ,QMR,Le Marin,Le Marin,,RL,--3-----,,14.466666666666667,-60.86666666666667
MQ,MRG,Le Morne-Rouge,Le Morne-Rouge,,RL,--3-----,,14.766666666666667,-61.13333333333333
MQ,SF4,Le Precheur,Le Precheur,,AA,1-3-----,,14.8,-61.233333333333334
MQ,LER,Le Robert,Le Robert,,RL,1-3-----,,14.666666666666666,-60.93333333333333
MQ,KF4,Le Vauclin,Le Vauclin,,AA,1-3-----,,14.55,-60.85
MQ,ADA,Les Anses-d'Arlet,Les Anses-d'Arlet,,AA,1-3-----,,14.483333333333333,-61.083333333333336
MQ,LTI,Les Trois-�lets,Les Trois-Ilets,,RL,--3-----,,14.533333333333333,-61.03333333333333
MQ,MBA,Macouba,Macouba,,RL,--3-----,,14.866666666666667,-61.13333333333333
MQ,QPC,Port de Fort-de-France Pt.,Port de Fort-de-France Pt.,,RL,1-3-----,,14.6,-61.05
MQ,RPT,Rivi�re-Pilote,Riviere-Pilote,,RL,--3-----,,14.483333333333333,-60.9
MQ,STA,Sainte-Anne,Sainte-Anne,,RL,--3-----,,14.433333333333334,-60.88333333333333
MQ,STM,Sainte-Marie,Sainte-Marie,,RL,--3-----,,14.783333333333333,-60.983333333333334
MQ,SJO,Saint-Joseph,Saint-Joseph,,RL,--3-----,,14.666666666666666,-61.03333333333333
MQ,SPI,Saint-Pierre,Saint-Pierre,,RL,0-------,,14.75,-61.166666666666664
MQ,SHL,Sch�lcher,Scholcher,,RL,----5---,,14.6,-61.1
