country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
MR,AEO,Aioun el Atrouss,Aioun el Atrouss,,AI,---4----,,16.65868555,-9.608494561267124,true
MR,AJJ,Akjoujt,Akjoujt,,AI,---4----,,19.72835775,-14.37806539150724,true
MR,LEG,Aleg,Aleg,,AI,---4----,,17.0527177,-13.9152949,true
MR,ATR,Atar,Atar,,AI,---4----,,20.5039953,-13.045528480026706,true
MR,BSK,Bassiknou,Bassiknou,01,RL,--3-----,,15.85,-5.933333333333334,
MR,BGH,Bogh�,Boghe,,AI,---4----,,16.583333333333332,-14.266666666666667,
MR,OTL,Boutilimit,Boutilimit,,AI,---4----,,17.5484834,-14.6963589572134,true
MR,CGT,Chinguitti,Chinguitti,,AI,---4----,,,,
MR,ZLG,El Gouera,El Gouera,,AI,---4----,,17.19778,-12.24,true
MR,FGD,Fd�rik,Fderik,,AI,---4----,,22.683333333333334,-12.7,
MR,KED,Ka�di,Kaedi,,AI,---4----,,16.15,-13.5,
MR,KFA,Kiffa,Kiffa,,AI,---4----,,16.587482199999997,-11.411228254391093,true
MR,KBI,Kobenni,Kobenni,02,RL,--3-----,,15.816666666666666,-9.366666666666667,
MR,MBR,Mbout,Mbout,,AI,---4----,,16.0231203,-12.579316580051174,true
MR,MOM,Moudj�ria,Moudjeria,,AI,---4----,,17.883333333333333,-12.333333333333334,
MR,EMN,N�ma,Nema,,AI,---4----,,16.616666666666667,-7.25,
MR,NDB,Nouadhibou,Nouadhibou,,AI,1--4----,,20.9127045,-17.0503094,true
MR,NKC,Nouakchott,Nouakchott,,AI,1--45---,,18.0792379,-15.9780071,true
MR,PCE,Point Central,Point Central,,RQ,1-------,,,,
MR,ROS,Rosso,Rosso,,RL,1-3----B,,16.5,-15.916666666666666,
MR,SEY,S�libaby,Selibaby,,AI,---4----,,15.166666666666666,-12.183333333333334,
MR,THT,Tamchakett,Tamchakett,,AI,---4----,,17.2451191,-10.6701655,true
MR,THI,Tichitt,Tichitt,,AI,---4----,,18.4339423,-9.486411,true
MR,TIY,Tidjikja,Tidjikja,,AI,---4----,,18.56877,-11.4266504,true
MR,TMD,Timb�dra,Timbedra,,AI,---4----,,16.25,-8.166666666666666,
MR,TIN,Tintane,Tintane,02,RL,--3-----,,16.4,-10.166666666666666,
MR,OUZ,Zou�rat,Zouerat,,AI,---4----,,22.7,-12.483333333333333,
