country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
MT,ATT,Attard,Attard,01,AA,--3--6--,,35.88333333333333,14.433333333333334,
MT,BIC,Bahar ic-Caghaq,Bahar ic-Caghaq,38,RL,--3-----,,35.93333333333333,14.45,
MT,BAH,Bahrija,Bahrija,46,RL,--3-----,,35.88333333333333,14.333333333333334,
MT,BAL,Balzan,Balzan,02,AA,1-3-----,,35.9,14.45,
MT,BRG,Birgu (Vittoriosa),Birgu (Vittoriosa),03,AA,--3-----,,35.88333333333333,14.516666666666667,
MT,BIR,Birkirkara,Birkirkara,04,AA,--3-----,,35.9,14.466666666666667,
MT,BZE,Birzebbugia,Birzebbugia,05,AA,1-3-----,,35.833333333333336,14.533333333333333,
MT,BLA,Blata l'Bajda,Blata l'Bajda,18,AA,1-3-----,,35.8877276,14.4949884,true
MT,COS,Bormla (Cospicua),Bormla (Cospicua),06,AA,--3-----,,35.86666666666667,14.516666666666667,
MT,BUG,Bugibba,Bugibba,51,AA,--3-----,,35.95,14.4,
MT,BRU,Bur Marrad,Bur Marrad,51,AA,--3-----,,35.93333333333333,14.416666666666666,
MT,CKW,Cirkewwa,Cirkewwa,,AS,1-3-----,,35.981481,14.3384623,true
MT,JCO,Comino,Comino,,AI,---4----,,36.01188675,14.336930375414362,true
MT,DMP,Delimara,Delimara,33,AA,1-3-----,,35.81666666666667,14.55,
MT,DGL,Dingli,Dingli,07,AA,--3-----,,35.85,14.366666666666667,
MT,FGU,Fgura,Fgura,08,AA,--3-----,,35.86666666666667,14.5,
MT,FLY,Fleur-de-Lys,Fleur-de-Lys,04,RL,--3-----,,35.88333333333333,14.466666666666667,
MT,FLO,Floriana,Floriana,09,AA,1-34----,,35.88333333333333,14.5,
MT,FNT,Fontana,Fontana,10,AA,--3-----,,36.03333333333333,14.233333333333333,
MT,GSM,Ghajnsielem,Ghajnsielem,13,AA,--3-----,,36.016666666666666,14.283333333333333,
MT,GRB,Gharb,Gharb,14,AA,--3-----,,36.05,14.2,
MT,GHA,Ghargur,Ghargur,,RQ,1-------,,,,
MT,GSR,Ghasri,Ghasri,16,AA,--3-----,,36.05,14.216666666666667,
MT,GXQ,Ghaxaq,Ghaxaq,17,AA,-----6--,,35.833333333333336,14.516666666666667,
MT,GUD,Gudja,Gudja,11,AA,-----6--,,35.833333333333336,14.5,
MT,GWA,Gwardamanga,Gwardamanga,41,RL,--3-----,,35.88333333333333,14.483333333333333,
MT,GZI,Gzira,Gzira,12,AA,1-------,,35.9,14.483333333333333,
MT,HHF,Hal Far,Hal Far,05,RL,--3-----,,35.81666666666667,14.5,
MT,HRN,Hamrun,Hamrun,18,AA,-----6--,,35.88333333333333,14.483333333333333,
MT,KAP,Il-Kappara,Il-Kappara,49,RL,--3-----,,35.85,14.566666666666666,
MT,MDL,Il-Madliena,Il-Madliena,57,RL,--3-----,,35.916666666666664,14.45,
MT,ISR,Is-Swatar,Is-Swatar,23,RL,--3-----,,35.88333333333333,14.466666666666667,
MT,KLN,Kalafrana,Kalafrana,05,RL,--3-----,,35.81666666666667,14.533333333333333,
MT,KAL,Kalkara,Kalkara,21,AA,--3-----,,35.88333333333333,14.516666666666667,
MT,KER,Kercem,Kercem,27,AA,--3-----,,36.03333333333333,14.216666666666667,
MT,KIR,Kirkop,Kirkop,28,AA,1-------,,35.833333333333336,14.483333333333333,
MT,LIJ,Lija,Lija,29,AA,--3-----,,35.9,14.433333333333334,
MT,IKL,L-Iklin,L-Iklin,,RL,--3-----,,35.9,14.45,
MT,LUQ,Luqa,Luqa,25,AA,--34----,MLA,35.85,14.483333333333333,
MT,DIS,Malta Freeport Distripark,Malta Freeport Distripark,05,RL,1-3-----,,35.833333333333336,14.533333333333333,
MT,MSA,Marsa,Marsa,31,AA,1-------,,35.86666666666667,14.483333333333333,
MT,MSF,Marsalforn,Marsalforn,65,RL,--3-----,,36.06666666666667,14.25,
MT,MSX,Marsamxett,Marsamxett,17,AA,1-------,,35.9,14.5,
MT,MSS,Marsaskala,Marsaskala,32,AA,1----6--,,35.86666666666667,14.55,
MT,MAR,Marsaxlokk,Marsaxlokk,05,AA,1-------,,35.833333333333336,14.533333333333333,
MT,MDI,Mdina,Mdina,29,AA,--3-----,,35.88333333333333,14.4,
MT,MEL,Mellieha,Mellieha,34,AA,--3-----,,35.95,14.35,
MT,MGR,Mgarr,Mgarr,21,AA,-----6--,,35.916666666666664,14.366666666666667,
MT,MGZ,"""Mgarr"," Gozo""","""Mgarr"," Gozo""",11,1-3-----,35.9194409,14.3665109,true
MT,MOA,Mosta,Mosta,35,AA,--3-----,,35.9,14.416666666666666,
MT,MQA,Mqabba,Mqabba,22,AA,-----6--,,35.85,14.466666666666667,
MT,MRI,Mriehel,Mriehel,06,RL,-----6--,,35.88333333333333,14.45,
MT,MSD,Msida,Msida,34,RL,-----6--,,35.88333333333333,14.466666666666667,
MT,MTA,Mtarfa,Mtarfa,35,AA,--3-----,,35.88333333333333,14.383333333333333,
MT,MUN,Munxar,Munxar,36,AA,-----6--,,36.016666666666666,14.233333333333333,
MT,NAD,Nadur,Nadur,37,AA,--3-----,,36.03333333333333,14.283333333333333,
MT,NXR,Naxxar,Naxxar,,RL,--3-----,,35.9,14.433333333333334,
MT,PAO,Paola,Paola,29,AA,--3-----,,35.86666666666667,14.483333333333333,
MT,PEM,Pembroke,Pembroke,40,AA,--3-----,,35.916666666666664,14.466666666666667,
MT,PTA,Piet�,Pieta,41,AA,-----6--,,35.88333333333333,14.483333333333333,
MT,QAL,Qala,Qala,42,AA,--3-----,,36.03333333333333,14.3,
MT,RMI,Qormi,Qormi,43,AA,--3-----,,35.86666666666667,14.466666666666667,
MT,QRD,Qrendi,Qrendi,44,AA,-----6--,,35.833333333333336,14.45,
MT,RAB,Rabat,Rabat,45,AA,--3-----,,35.86666666666667,14.383333333333333,
MT,SAF,Safi,Safi,47,AA,--3-----,,35.81666666666667,14.483333333333333,
MT,STJ,Saint Julians,Saint Julians,60,RL,--3-----,,35.916666666666664,14.483333333333333,
MT,SLW,Saint Lawrence,Saint Lawrence,50,AA,--3-----,,36.03333333333333,14.2,
MT,SLU,Saint Lucia,Saint Lucia,53,AA,--3-----,,35.85,14.5,
