country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
MU,ABN,Albion,Albion,BL,RL,1-------,,-20.2,57.4,
MU,ANL,Arsenal,Arsenal,PA,RL,--3-----,,-20.1,57.53333333333333,
MU,BTB,Baie-du-Tombeau,Baie-du-Tombeau,PA,RL,--3-----,,-20.1,57.5,
MU,BAM,Bambous,Bambous,AG,RQ,1-------,,-20.2625163,57.41475846815918,true
MU,BEB,Beau Bassin,Beau Bassin,PW,RL,--3-----,,-20.216666666666665,57.45,
MU,BPL,Beau Plan,Beau Plan,PA,RL,--3-----,,-20.083333333333332,57.56666666666667,
MU,BVN,Beau Vallon,Beau Vallon,GP,RL,--3-----,,-20.35,57.68333333333333,
MU,BEL,Bel Air,Bel Air,FL,RL,--3-----,,-20.25,57.733333333333334,
MU,BOR,Bel Ombre,Bel Ombre,SA,RL,--3-----,,-20.5,57.4,
MU,BLM,Belle Mare,Belle Mare,FL,RL,--3-----,,-20.183333333333334,57.766666666666666,
MU,BRE,Belle Rose,Belle Rose,QB,RL,--3-----,,-20.25,57.71666666666667,
MU,CPX,Cap Malheureux,Cap Malheureux,RR,RL,--3-----,,-19.983333333333334,57.6,
MU,CSS,Cassis,Cassis,PL,RL,--3-----,,-20.15,57.46666666666667,
MU,CDF,Centre de Flacq,Centre de Flacq,FL,RL,--3-----,,-20.2,57.71666666666667,
MU,CHL,Chamarel,Chamarel,SA,RL,--3-----,,-20.416666666666668,57.38333333333333,
MU,CGR,Chemin Grenier,Chemin Grenier,SA,RL,--3-----,,-20.483333333333334,57.45,
MU,CDE,Cloverdale,Cloverdale,,RQ,--3-----,,,,
MU,CMD,Coromandel,Coromandel,BR,RL,--3-----,,-20.166666666666668,57.45,
MU,CUR,Curepipe,Curepipe,,RL,1-3-----,,-20.3150516,57.5211497,true
MU,EBN,Ebene,Ebene,,RQ,-----6--,,-20.233333333333334,57.78333333333333,
MU,FLF,Flic en Flac,Flic en Flac,BL,RL,--3-----,,-20.266666666666666,57.35,
MU,FDS,Fond du Sac,Fond du Sac,PA,RL,-----6--,,-20.033333333333335,57.56666666666667,
MU,FSD,Forest Side,Forest Side,PW,RL,--3-----,,-20.316666666666666,57.516666666666666,
MU,GOO,Goodlands,Goodlands,RR,RL,--3-----,,-20.033333333333335,57.63333333333333,
MU,GBA,Grand Baie,Grand Baie,PA,RL,--3-----,,-20,57.56666666666667,
MU,GRN,Grand River North West,Grand River North West,PL,RL,--3-----,,-20.166666666666668,57.46666666666667,
MU,GRS,Grande Rivi�re Sud Est,Grande Riviere Sud Est,FL,RL,--3-----,,-20.283333333333335,57.766666666666666,
MU,GBS,Gros Bois,Gros Bois,GP,RL,--3-----,,-20.433333333333334,57.6,
MU,LME,La Mivoie,La Mivoie,RR,RL,--3-----,,-20.333333333333332,57.35,
MU,MAH,Mah�bourg,Mahebourg,,RL,--3-----,,-20.4,57.68333333333333,
