country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
MV,ADU,Addu,Addu,01,RQ,1-3-----,,-0.6263536,73.17910747056823,true
MV,BAL,Baa Atoll,Baa Atoll,NO,RL,1-------,,5.133333333333334,72.95,
MV,CPP,Coastline Private Port,Coastline Private Port,MLE,AA,1-------,,4.166666666666667,73.45,
MV,GAN,Gan,Gan,SU,AI,---4----,,-0.7,73.15,
MV,HID,Halaveli,Halaveli,NC,RL,1-------,,4.033333333333333,72.91666666666667,
MV,HAQ,Hanimaadhoo,Hanimaadhoo,,AI,---4----,,,,
MV,HDO,Hithadhoo,Hithadhoo,SC,RQ,--3-----,,1.7666666666666666,73.36666666666666,
MV,HOO,Hithadhoo,Hithadhoo,SU,RL,-----6--,,-0.6,73.08333333333333,
MV,HTP,Hithadhoo Port,Hithadhoo Port,01,AA,1-------,,-0.6333333333333333,73.1,
MV,HHE,Hulhul� Island,Hulhule Island,MLE,RL,1-------,,4.183333333333334,73.51666666666667,
MV,KDM,Kaadedhdhoo,Kaadedhdhoo,,AI,---4----,,1.8606411999999999,73.52090183563489,true
MV,KDO,Kadhdhoo,Kadhdhoo,,AI,---4----,,1.8606411999999999,73.52090183563489,true
MV,KEL,Kelai,Kelai,UN,RQ,1-------,,,,
MV,KFP,Koodoo Fisheries,Koodoo Fisheries,27,AA,1-------,,0.7333333333333333,73.43333333333334,
MV,KUL,Kulhudhuffushi,Kulhudhuffushi,23,RL,1-3-----,,6.616666666666667,73.05,
MV,KDP,Kulhudhuffushi Port,Kulhudhuffushi Port,23,AA,1-------,,6.616666666666667,73.06666666666666,
MV,MMP,Maamigili Port,Maamigili Port,00,AA,1-------,,3.466666666666667,72.83333333333333,
MV,MGP,Maldive Gas,Maldive Gas,MLE,AA,1-------,,4.183333333333334,73.45,
MV,MLE,Male,Male,MLE,AI,1--45---,,4.166666666666667,73.5,
MV,MCP,Male' Commercial Harbor,Male' Commercial Harbor,MLE,AA,1-------,,4.166666666666667,73.5,
MV,RGI,Rangali,Rangali,NC,RL,1-------,,3.6,72.7,
MV,VGI,Viligili,Viligili,US,RQ,--3-----,,0.75,73.36666666666666,
MV,VHP,Villa Hakatha,Villa Hakatha,MLE,AA,1-------,,4.183333333333334,73.43333333333334,
