country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
MW,BLZ,Blantyre,Blantyre,,AI,---4----,,-15.7862543,35.0035694,true
MW,CEH,Chelinda,Chelinda,,RL,---4----,,-10.583333333333334,33.8,
MW,CLM,Chilomoni,Chilomoni,BL,RL,--3-----,,-15.783333333333333,34.983333333333334,
MW,CPK,Chipoka,Chipoka,SA,RL,1-3--6--,,-14,34.516666666666666,
MW,CTP,Chitipa,Chitipa,CT,RL,--3-----,,-9.716666666666667,33.266666666666666,
MW,CMK,Club Makokola,Club Makokola,,RL,---4----,,-14.3,35.13333333333333,
MW,DWA,Dwangwa,Dwangwa,,RL,---4----,,-12.566666666666666,38.15,
MW,KGJ,Karonga,Karonga,,AI,---4----,,-9.95328455,33.89315797325383,true
MW,KBQ,Kasungu,Kasungu,,RL,---4----,,-13.033333333333333,33.43333333333333,
MW,LIX,Likoma,Likoma,,RL,---4----,,-12.066666666666666,34.733333333333334,
MW,LLW,Lilongwe,Lilongwe,,AI,---45---,,-13.9875107,33.768144,true
MW,LBE,Limbe,Limbe,,AI,----5---,,-15.8897425,35.0198278,true
MW,LUZ,Luchenza,Luchenza,TH,RL,--3-----,,-16.016666666666666,35.3,
MW,MAI,Mangochi,Mangochi,,RQ,---4----,,-14.5,35.25,
MW,MYZ,Monkey Bay,Monkey Bay,,RQ,---4----,,-14.1,34.516666666666666,
MW,MU7,Mulanje,Mulanje,MU,RL,--3-----,,-16.033333333333335,35.5,
MW,MZI,Mzimba,Mzimba,MZ,RL,--3-----,,-11.9,33.6,
MW,ZZU,Mzuzu,Mzuzu,,RQ,---4----,,-11.443044350000001,34.01193333198202,true
MW,NTH,Ntcheu,Ntcheu,NU,RL,--3-----,,-14.816666666666666,34.63333333333333,
MW,LMB,Salima,Salima,,RL,---4----,,-13.783333333333333,34.43333333333333,
MW,THY,Thyolo,Thyolo,,RL,1-3-----,,-16.066666666666666,35.13333333333333,
MW,ZOB,Zomba,Zomba,ZO,RL,-----6--,,-15.383333333333333,35.333333333333336,
