country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
MX,ASO,Abasolo,Abasolo,GUA,RQ,--3-----,,27.1824628,-101.427806,true
MX,AJS,Abreojos,Abreojos,,AI,---4----,,26.7272,-113.5597,true
MX,ACE,Acajete,Acajete,PUE,RL,-----6--,,19.1,-97.95,
MX,JJT,Acajete,Acajete,VER,RL,-----6--,,19.583333333333332,-97,
MX,ACB,Acambaro,Acambaro,GUA,RQ,--3-----,,20.033333333333335,-100.71666666666667,
MX,ANH,Acanceh,Acanceh,YUC,RQ,1-------,,20.8132499,-89.4529359,true
MX,ACP,Acaponeta,Acaponeta,NAY,RQ,--3-----,,22.5,-105.36666666666666,
MX,ACA,Acapulco,Acapulco,GRO,AI,1--4----,,16.85,-99.86666666666666,
MX,ACT,Acatic,Acatic,JAL,RL,-----6--,,20.783333333333335,-102.88333333333334,
MX,AAN,Acatl�n,Acatlan,VER,RL,--3-----,,19.716666666666665,-96.83333333333333,
MX,EPZ,Acatl�n de Ju�rez,Acatlan de Juarez,JAL,RL,-----6--,,20.416666666666668,-103.58333333333333,
MX,ADO,Acatl�n de Osorio,Acatlan de Osorio,PUE,RL,--3-----,,18.2,-98.05,
MX,JCZ,Acatzingo,Acatzingo,,RL,-----6--,,18.966666666666665,-97.76666666666667,
MX,ADH,Acatzingo de Hidalgo,Acatzingo de Hidalgo,PUE,RL,--3-----,,18.983333333333334,-97.78333333333333,
MX,ACX,Acaxochitl�n,Acaxochitlan,HID,RL,--3--6--,,20.166666666666668,-98.2,
MX,ACM,Acolman,Acolman,MEX,RL,1----6--,,19.616666666666667,-98.91666666666667,
MX,JCP,Actopan,Actopan,HID,RL,-----6--,,20.266666666666666,-98.93333333333334,
MX,ACL,Acuamanala,Acuamanala,TLA,RL,--3-----,,19.216666666666665,-98.2,
MX,AZ2,Acuitzio del Canje,Acuitzio del Canje,MIC,RL,--3-----,,19.483333333333334,-101.33333333333333,
MX,ADE,Aculco de Espinosa,Aculco de Espinosa,MEX,RQ,--3-----,,20.083333333333332,-99.81666666666666,
MX,ACU,Acuna,Acuna,,RQ,--3-----,,29.3248796,-100.9322287,true
MX,AGD,Agua Dulce,Agua Dulce,BCN,RQ,--3-----,,29.883333333333333,-114.88333333333334,
MX,APR,Agua Prieta,Agua Prieta,SON,RL,123--6--,,31.3,-109.56666666666666,
MX,AGU,Aguascalientes,Aguascalientes,AGU,AI,--34----,,21.883333333333333,-102.3,
MX,AHM,Ahome,Ahome,SIN,RL,--3-----,,25.916666666666668,-109.18333333333334,
MX,AH5,Ahualulco,Ahualulco,SLP,RL,--3-----,,22.666666666666668,-101.26666666666667,
MX,JHT,Ahuatepec,Ahuatepec,MOR,RL,-----6--,,18.95,-99.21666666666667,
MX,AXT,Ahuazotepec,Ahuazotepec,HID,RL,-----6--,,20.05,-98.15,
MX,AHU,Ahumada,Ahumada,CHH,RQ,--3-----,,30.6,-106.5,
