country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
MY,ABU,Abu,Abu,,RQ,1-------,,6.116666666666666,105.28333333333333,
MY,AIR,Air Itam/Penang,Air Itam/Penang,07,RQ,--3-----,,5.4,100.28333333333333,
MY,AOG,Alor Gajah,Alor Gajah,04,RL,-23-----,,2.3666666666666667,102.2,
MY,AOR,Alor Setar,Alor Setar,,AI,---4----,,6.1231908,100.3683962,true
MY,APG,Ampang,Ampang,10,RL,--3-----,,3.15,101.76666666666667,
MY,ANG,Angsi,Angsi,,RQ,1-------,,5.083333333333333,104.68333333333334,
MY,BKM,Ba Kelalan,Ba Kelalan,13,AI,--34----,,3.9833333333333334,115.61666666666666,
MY,BAG,Bagan Datok,Bagan Datok,,QQ,1-------,,3.93002,100.717163,true
MY,BWH,Bagan Luar (Butterworth),Bagan Luar (Butterworth),,QQ,1-34----,,5.46449645,100.38893299478036,true
MY,BAH,Bahau,Bahau,05,RL,-----6--,,5.5,102.41666666666667,
MY,BKP,Bakapit,Bakapit,,RQ,1-------,,4.9573,118.5838,true
MY,BAL,Balakong,Balakong,10,RQ,--3-----,,3.0166666666666666,101.75,
MY,BPL,Balik Pulau,Balik Pulau,07,RL,--3-----,,5.35,100.23333333333333,
MY,2SF,Bandar Baru Bangi,Bandar Baru Bangi,10,RL,--3-----,,2.95,101.76666666666667,
MY,BBS,Bandar Baru Selayang,Bandar Baru Selayang,10,RQ,-----6--,,3.2666666666666666,101.65,
MY,BEK,Bandar Enstek,Bandar Enstek,,RQ,-----6--,,2.75,101.73333333333333,
MY,BMA,Bandar Maharani,Bandar Maharani,,QQ,1-------,,2.0425046,102.5658852,true
MY,BSD,Bandar Sri Damansara,Bandar Sri Damansara,10,RL,--3-----,,3.183333333333333,101.6,
MY,BTK,Bandar Tenggara,Bandar Tenggara,,RL,1-------,,1.8666666666666667,103.61666666666666,
MY,BGU,Bangau,Bangau,12,RL,1-------,,6.95,116.7,
MY,BAI,Bangi,Bangi,10,RL,--3-----,,2.9,101.78333333333333,
MY,BAN,Banting,Banting,10,RL,--3-----,,2.8166666666666664,101.48333333333333,
MY,BBN,Bario,Bario,,AI,---4----,,3.7345912500000003,115.47871842635719,true
MY,BAK,Batang Kali,Batang Kali,10,RL,1-------,,3.466666666666667,101.63333333333334,
MY,BBA,"""Batu Batu"," Sabah""","""Batu Batu"," Sabah""",12,1-------,5.0300298,115.9677481,true
MY,BCA,Batu Caves,Batu Caves,10,RL,--3-----,,3.2333333333333334,101.66666666666667,
MY,TJH,Batu Gajah,Batu Gajah,08,RL,1-------,,4.466666666666667,101.05,
MY,BTW,Batu Kawan,Batu Kawan,07,RL,12---6--,,5.25,100.41666666666667,
MY,BLI,"""Batu Lintang"," Sarawak""","""Batu Lintang"," Sarawak""",13,1-------,1.0196738,111.5529762,true
MY,BTM,Batu Maung,Batu Maung,07,RL,1-------,,5.283333333333333,100.28333333333333,
