country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
MZ,AME,Alto Molocue,Alto Molocue,,AI,---4----,,-15.6325077,37.6846186,true
MZ,ANO,Angoche,Angoche,,AI,1--4----,,-16.2292451,39.9081111,true
MZ,AEN,Ant�nio Enes,Antonio Enes,N,RL,--3-----,,-16.216666666666665,39.9,
MZ,BJN,Bajone,Bajone,,AI,---4----,,-17.2060769,38.064909,true
MZ,BZB,Bazaruto Island,Bazaruto Island,,AI,---4----,,-21.5362894,35.4731954,true
MZ,BEW,Beira,Beira,,AI,1--45---,,-19.828707,34.841782,true
MZ,BEL,Bela Vista,Bela Vista,,QQ,1-------,,-26.3447218,32.6714431,true
MZ,BCW,Benguera Island,Benguera Island,,AI,---4----,,,,
MZ,BOA,Boane,Boane,L,RL,--3-----,,-26.033333333333335,32.31666666666667,
MZ,CMZ,Caia,Caia,,AI,---4----,,-17.83298895,35.33620780026297,true
MZ,CHA,Chicamba Real,Chicamba Real,B,RL,--3-----,,-19.183333333333334,33.15,
MZ,VPY,Chimoio,Chimoio,,AI,---4----,,-19.1504702,33.429089178516136,true
MZ,INE,Chinde,Chinde,,AI,1--4----,,-18.5896203,36.44887024437994,true
MZ,CHI,Chi�re,Chiure,P,RL,--3-----,,-13.366666666666667,39.766666666666666,
MZ,CHO,Chokw�,Chokwe,G,RL,-23-----,,-24.533333333333335,32.983333333333334,
MZ,COR,Coropoa,Coropoa,N,AM,1-3-----,,-16.533333333333335,39.68333333333333,
MZ,FXO,Cuamba,Cuamba,,RQ,---4----,,-14.81721955,36.531711494225746,true
MZ,VJQ,Gurue,Gurue,,AI,---4----,,-15.5040186,36.98669,true
MZ,IBO,Ibo,Ibo,,AI,1--4----,,-12.3503955,40.60232732187145,true
MZ,INH,Inhambane,Inhambane,,AI,1--4----,,-23.8766884,35.40850509307821,true
MZ,IMG,Inhaminga,Inhaminga,,AI,---4----,,-18.4092755,35.00449126929533,true
MZ,INS,Inhassoro,Inhassoro,I,RL,--3-----,,-21.533333333333335,35.2,
MZ,VXC,Lichinga,Lichinga,,AI,---4----,,-13.274676,35.258074917828395,true
MZ,LBM,Luabo,Luabo,,AI,---4----,,-18.41243915,36.10632362154182,true
MZ,LMO,Lumbo,Lumbo,,RL,--3-----,,-15.0193104,40.667623,true
MZ,MCU,Macuse,Macuse,,QQ,1-------,,-17.7097227,37.1911469,true
MZ,MJS,Maganja Da Costa,Maganja Da Costa,,AI,---4----,,-17.348539,37.43292294050858,true
MZ,MFW,Magaruque,Magaruque,,AI,---4----,,,,
MZ,MCA,Manica,Manica,B,RL,--3-----,,-18.933333333333334,32.86666666666667,
MZ,MPM,Maputo,Maputo,,AI,1--45---,,-25.906355,32.582645093413376,true
MZ,RRM,Marromeu,Marromeu,,AI,---4----,,-18.291566,35.93474297584764,true
MZ,MSG,Massinga,Massinga,,QQ,1-------,,-23.3296972,35.3805121,true
MZ,MAT,Matola,Matola,,QQ,1-------,,-25.966917,32.466956,true
MZ,MVI,Mavuzi,Mavuzi,B,RL,--3-----,,-19.516666666666666,33.43333333333333,
MZ,MAX,Maxixe,Maxixe,I,RL,--3-----,,-23.85,35.333333333333336,
MZ,MEC,Meconta,Meconta,N,RL,-----6--,,-14.983333333333333,39.833333333333336,
MZ,MEM,Memba,Memba,,QQ,1-------,,-14.1869585,40.5309906,true
MZ,MZQ,Mocambique,Mocambique,,QQ,1-------,,-19.302233,34.9144977,true
MZ,MZB,Moc�mboa da Praia,Mocimboa da Praia,P,RL,1-34----,,-11.333333333333334,40.35,
MZ,MMW,Moma,Moma,,AI,1--4----,,-16.7627579,39.2216925,true
MZ,MTU,Montepuez,Montepuez,,AI,---4----,,-13.1253048,39.0016963,true
MZ,MOR,Morrumbene,Morrumbene,,QQ,1-------,,-23.6583493,35.343156,true
MZ,MOS,Mossuril,Mossuril,N,RL,--3-----,,-14.966666666666667,40.65,
MZ,M7E,Muecate,Muecate,N,RL,--3-----,,-14.883333333333333,39.61666666666667,
MZ,MUD,Mueda,Mueda,,AI,---4----,,-11.6729002,39.5630989,true
MZ,MNC,Nacala,Nacala,,AI,1--4----,,-14.48448355,40.71244175095697,true
MZ,MZN,Nacaroa,Nacaroa,N,RL,--3-----,,-14.366666666666667,39.916666666666664,
MZ,APL,Nampula,Nampula,,AI,---4----,,-15.1039308,39.28900833324981,true
MZ,NND,Nangade,Nangade,,AI,---4----,,-11.0729292,39.6748264,true
MZ,NSO,Nova Sofala,Nova Sofala,,QQ,1-------,,-20.1455527,34.7565755,true
MZ,LMZ,Palma,Palma,,AI,---4----,,-10.7524932,40.47087,true
MZ,PEB,Pebane,Pebane,,AI,1--4----,,-17.27261855,38.18052182434952,true
MZ,POL,Pemba,Pemba,,AI,1--4----,,-12.9906385,40.524739068282535,true
MZ,PBE,Porto Belo,Porto Belo,,RQ,1-------,,-16.73333,39.25,true
MZ,UEL,Quelimane,Quelimane,,AI,1--4----,,-17.85484745,36.870218848771415,true
MZ,NTC,Santa Carolina,Santa Carolina,,AI,---4----,,,,
MZ,TET,Tete,Tete,,AI,---4----,,-16.1603989,33.5871474,true
MZ,VNX,Vilanculos,Vilanculos,,RQ,---4----,,-22,35.266666666666666,
MZ,VJB,Xai-Xai,Xai-Xai,G,AI,---4----,,-25.05,33.65,
MZ,ZBZ,Zambezia,Zambezia,P,RQ,--3--6--,,-12.9,39.7,
