country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
NA,AIW,Ai-Ais,Ai-Ais,,AI,---4----,,-27.9198234,17.4898019,true
NA,ADI,Arandis,Arandis,,AI,---4----,,-22.417425,14.97561,true
NA,VFG,Ariamsvlei,Ariamsvlei,KA,RL,--3-----,,-28.116666666666667,19.816666666666666,
NA,ZAR,Aussenkehr,Aussenkehr,,RL,-----6--,,-28.35,17.383333333333333,
NA,BQI,Bagani,Bagani,,AI,---4----,,-18.1182302,21.62397620638218,true
NA,GOG,Gobabis,Gobabis,,AI,---4----,,-22.4495283,18.9724666,true
NA,GFY,Grootfontein,Grootfontein,,AI,---4----,,-19.5644204,18.1040894,true
NA,HAL,Halali,Halali,,AI,---4----,,-19.0309017,16.4627343,true
NA,HTN,Henties Bay (Hentiesbaai),Henties Bay (Hentiesbaai),ER,RL,--3-----,,-22.116666666666667,14.283333333333333,
NA,KAS,Karasburg,Karasburg,,AI,---45---,,-28.032709099999998,18.73405873133084,true
NA,KRB,Karibib,Karibib,,RL,--3-----,,-21.933333333333334,15.85,
NA,KAT,Katima Mulilo,Katima Mulilo,CA,RL,--3-----,,-17.5,24.266666666666666,
NA,KMP,Keetmanshoop,Keetmanshoop,,AI,---4----,,-26.5790901,18.1341909,true
NA,LUD,L�deritz,Luderitz,,AI,1--4----,,-26.65,15.166666666666666,
NA,MTH,Maltahohe,Maltahohe,HA,RQ,-----6--,,-24.833333333333332,16.983333333333334,
NA,MAR,Mariental,Mariental,,AI,----5---,,-24.6246442,17.9626696,true
NA,MQG,Midgard,Midgard,,AI,---4----,,,,
NA,OKU,Mokuti Lodge,Mokuti Lodge,,AI,---4----,,,,
NA,MJO,Mount Etjo Lodge,Mount Etjo Lodge,,AI,---4----,,,,
NA,MPA,Mpacha,Mpacha,,AI,---4----,,,,
NA,NNI,Namutoni,Namutoni,,AI,---4----,,-18.8,16.98333,true
NA,WOR,Noordoewer,Noordoewer,KA,AI,--3-5---,,-28.75,17.616666666666667,
NA,OOZ,Okahandja,Okahandja,OD,RL,-----6--,,-21.983333333333334,16.916666666666668,
NA,OKF,Okaukuejo,Okaukuejo,,AI,---4----,,-19.1536136,15.909707,true
NA,OMA,Omaruru,Omaruru,ER,RL,--3-----,,-21.433333333333334,15.933333333333334,
NA,OMG,Omega,Omega,,AI,---4----,,-18.0309027,22.18768712867187,true
NA,OND,Ondangwa,Ondangwa,,AI,---4----,,-17.90826065,15.976978360691291,true
NA,OGV,Ongava Game Reserve,Ongava Game Reserve,,AI,---4----,,,,
NA,ONG,Ongwediva,Ongwediva,ON,RL,--3-----,,-17.766666666666666,15.75,
NA,OPW,Opuwa,Opuwa,,AI,---4----,,,,
NA,OMD,Oranjemund,Oranjemund,,RQ,---4----,,-28.551932,16.428415,true
NA,OHI,Oshakati,Oshakati,,AI,---45---,,-17.79797865,15.699751258746565,true
NA,OSH,Oshikango,Oshikango,OW,RL,-----6--,,-17.4,15.883333333333333,
NA,OVO,Oshivelo,Oshivelo,OT,RL,--3-----,,-18.616666666666667,17.166666666666668,
NA,OTP,Otavi,Otavi,OD,RL,--3-----,,-19.65,17.333333333333332,
NA,OTJ,Otjiwarongo,Otjiwarongo,,AI,---45---,,-20.4609337,16.651205,true
NA,OUT,Outjo,Outjo,KU,RL,--3-----,,-20.116666666666667,16.15,
NA,RUA,Ruacana,Ruacana,KU,RQ,1----6--,,-17.433333333333334,14.35,
NA,NDU,Rundu,Rundu,,AI,---4----,,-17.913716,19.7672535,true
NA,SZM,Sesriem,Sesriem,,AI,---4----,,-24.4912056,15.817796894338333,true
NA,SWP,Swakopmund,Swakopmund,,AI,---45---,,-22.65968175,14.567937895857353,true
NA,TCY,Terrace Bay,Terrace Bay,,AI,---4----,,-22.1036484,14.302396232660781,true
NA,TSB,Tsumeb,Tsumeb,,AI,---4----,,-19.26129145,17.73008059500127,true
NA,UIS,Uis,Uis,ER,RL,--3-----,,-21.216666666666665,14.85,
NA,WVB,Walvis Bay,Walvis Bay,,QQ,1-------,,-22.9557607,14.5071125,true
NA,WDH,Windhoek,Windhoek,,AI,---45---,,-22.6050707,17.07980326749083,true
NA,ERS,Windhoek Eros Airport,Windhoek Eros Airport,KH,RL,---4----,,-22.6,17.066666666666666,
