country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
NC,BDB,Baie de Prony,Baie de Prony,,RL,--3-----,,-22.366666666666667,166.86666666666667,
NC,BMY,B�lep I.,Belep I.,,AI,---4----,,-19.716666666666665,163.66666666666666,
NC,4NB,Bourail,Bourail,,RL,-----6--,,-21.566666666666666,165.48333333333332,
NC,DNB,Doniambo/Noum�a,Doniambo/Noumea,,RL,--3-----,,-22.25,166.45,
NC,DUS,Ducos,Ducos,,RL,1-------,,-22.233333333333334,166.45,
NC,DUM,Dumb�a,Dumbea,,RL,--3-----,,-22.15,166.45,
NC,HNG,Hienghene,Hienghene,,RL,--3-----,,-20.666666666666668,164.88333333333333,
NC,HLU,Houa�lou,Houailou,,AI,---4----,,-21.25,165.61666666666667,
NC,ILP,Ile des Pins,Ile des Pins,,AI,---4----,,-22.583333333333332,167.45,
NC,IOU,Ile Ouen,Ile Ouen,,RL,---4----,,-22.466666666666665,166.78333333333333,
NC,KNQ,Kon�,Kone,,AI,---4----,,-21.05,164.83333333333334,
NC,KOU,Kouaoua,Kouaoua,,RL,1-3-----,,-21.4,165.83333333333334,
NC,KOC,Koumac,Koumac,,AI,---4----,,-20.55,164.25,
NC,LAF,La Foa,La Foa,,AA,--3-----,,-21.716666666666665,165.83333333333334,
NC,MTD,Le Mont-Dore,Le Mont-Dore,,RL,1----6--,,-22.283333333333335,166.58333333333334,
NC,LIF,Lifou,Lifou,,RL,1--4----,,-20.966666666666665,167.23333333333332,
NC,MEE,Mar�,Mare,,AI,1--4----,,-21.5,167.98333333333332,
NC,PDC,Mu�o/N�poui,Mueo/Nepoui,,AI,--34----,,-21.3,165.01666666666668,
NC,NAK,Nak�ty,Nakety,,RL,1-3-----,,-21.55,166.03333333333333,
NC,NEP,N�poui,Nepoui,,RL,1--4----,,-21.316666666666666,165,
NC,NOU,Noum�a,Noumea,,AI,1--45---,,-22.266666666666666,166.45,
NC,GEA,Noum�a Magenta Apt,Noumea Magenta Apt,,RL,---4----,,-22.25,166.46666666666667,
NC,UVE,Ouvea,Ouvea,,AI,---4----,,-20.633333333333333,166.56666666666666,
NC,PAA,Paagoum�ne,Paagoumene,,AA,1-------,,-20.483333333333334,164.2,
NC,POR,Poro,Poro,,RL,1-3-----,,-21.3,165.71666666666667,
NC,PBT,Pouembout,Pouembout,,RL,--3-----,,-21.133333333333333,164.9,
NC,PNY,Prony,Prony,,RL,1-3-----,,-22.316666666666666,166.81666666666666,
NC,TUD,Teoudie,Teoudie,,RL,1-3-----,,-20.766666666666666,164.4,
NC,THI,Thio,Thio,,RL,1-------,,-21.6115836,166.2155524,true
NC,TGJ,Tiga,Tiga,,RL,---4----,,-21.1,167.8,
NC,TON,Tontouta Apt,Tontouta Apt,,AI,1--45---,,,,
NC,TOU,Touho,Touho,,AI,---4----,,-20.783333333333335,165.26666666666668,
NC,VAV,Vavouto,Vavouto,,RL,1-------,,-21,164.66666666666666,
NC,WAL,Wala,Wala,,RL,1-------,,-19.716666666666665,163.65,
