country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
NE,AJY,Agades,Agades,,AI,---4----,,16.9709219,8.014023546840482,true
NE,RLT,Arlit,Arlit,,AI,---4----,,18.739079,7.393331,true
NE,BKN,Birni Nkoni,Birni Nkoni,,AI,---4----,,13.79562,5.2553,true
NE,DIF,Diffa,Diffa,2,RL,--3-----,,13.3,12.6,
NE,DOG,Dogodountchi,Dogodountchi,,RL,--3-----,,13.633333333333333,4.033333333333333,
NE,DSS,Dosso,Dosso,,RL,--3-----,,13.05,3.2,
NE,GLM,Galmi,Galmi,5,RL,--3-----,,13.966666666666667,5.683333333333334,
NE,ZGA,Gaya,Gaya,,RL,-----6--,,11.883333333333333,3.4333333333333336,
NE,IMO,Imourarene,Imourarene,1,RL,-----6--,,18.0864459,7.4374138,true
NE,MAD,Madaoua,Madaoua,5,RL,--3-----,,14.083333333333334,6.433333333333334,
NE,MAL,Malbaza,Malbaza,5,RL,--3-----,,13.933333333333334,5.516666666666667,
NE,MFQ,Maradi,Maradi,,AI,---4----,,13.5011248,7.124129260482618,true
NE,NIM,Niamey,Niamey,,AI,---45---,,13.4901663,2.184622506863004,true
NE,OUN,Ouna,Ouna,3,RL,--3-----,,12.166666666666666,3.15,
NE,TAG,Tag�za,Tagaza,4,AM,--3-----,,13.55,7.283333333333333,
NE,THZ,Tahoua,Tahoua,,AI,---4----,,14.8676617,5.253089017440471,true
NE,TCH,Tchirozerine,Tchirozerine,1,RL,--3-----,,17.1,7.816666666666666,
NE,TIL,Tillab�ri,Tillaberi,6,RL,--3-----,,14.2,1.45,
NE,TAW,Tyawa,Tyawa,6,RL,--3-----,,13.5,1.2833333333333332,
NE,ZND,Zinder,Zinder,,AI,---4----,,13.7779059,8.98236761070802,true
