country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
NG,QAX,Aba,Aba,AB,RL,--3-----,,5.116666666666666,7.366666666666666,
NG,ABA,Abakaliki,Abakaliki,EN,RQ,-----6--,,6.333333333333333,86,
NG,AKA,Abeokuta,Abeokuta,,RQ,--3-----,,7.15,3.3333333333333335,
NG,ABF,Abo,Abo,,RQ,------7-,,5.7,4.466666666666667,
NG,ABO,Abonnema,Abonnema,,QQ,1-------,,4.7243061,6.7739026,true
NG,ABV,Abuja,Abuja,,AI,---4----,,9.0643305,7.4892974,true
NG,AKE,Adekunle,Adekunle,OY,RL,-----6--,,7.883333333333333,3.3333333333333335,
NG,ADO,Ado,Ado,,QQ,1-------,,7.802282,7.6482445,true
NG,ADD,Ado Odo,Ado Odo,OG,RL,-----6--,,6.6,2.9333333333333336,
NG,ABM,Agbami,Agbami,,RQ,1-------,,3.5166666666666666,5.516666666666667,
NG,AGB,Agbara,Agbara,LA,RL,--3-----,,6.516666666666667,3.1,
NG,AGJ,Agboju,Agboju,LA,RL,-----6--,,6.45,3.283333333333333,
NG,AGG,Agege,Agege,LA,RL,--3-----,,6.616666666666667,3.3166666666666664,
NG,AGD,Aguda,Aguda,LA,RL,-----6--,,6.633333333333333,3.35,
NG,QJK,Ajaokuta,Ajaokuta,KO,RL,--3-----,,7.566666666666666,6.666666666666667,
NG,AKK,Akoko,Akoko,LA,RL,-----6--,,6.433333333333334,2.7333333333333334,
NG,AKP,Akpo,Akpo,,RL,1-------,,-3.1333333333333333,60.81666666666667,
NG,AKR,Akure,Akure,,AI,---4----,,7.2525595,5.1932647,true
NG,ALA,Alaba,Alaba,OY,RL,-----6--,,7.433333333333334,4.1,
NG,ASH,Alimosho,Alimosho,LA,RL,--3-----,,6.6,3.283333333333333,
NG,AMI,Amaruru Ikeduru,Amaruru Ikeduru,,RQ,--3-----,,5.583333333333333,7.183333333333334,
NG,MKP,Amukpe,Amukpe,DE,RL,-----6--,,5.866666666666667,5.716666666666667,
NG,ANW,Amuwo,Amuwo,LA,RL,--3-----,,6.466666666666667,3.283333333333333,
NG,ANB,Anambra,Anambra,KO,RL,1----6--,,7.266666666666667,7.4,
NG,ANT,Anta,Anta,,RL,1-------,,9.45,8.466666666666667,
NG,ANA,Antan,Antan,,RL,1-------,,4.216666666666667,8.316666666666666,
NG,APP,Apapa,Apapa,,QQ,1-------,,10.2637741,8.2691008,true
NG,ASA,Asaba,Asaba,AN,RL,-----6--,,6.183333333333334,6.75,
NG,ASO,Asokoro,Asokoro,FC,RL,--3-----,,9.05,7.516666666666667,
NG,ACH,Auchi,Auchi,ED,RL,-----6--,,7.066666666666666,6.266666666666667,
NG,AWA,Awka,Awka,IM,RL,-----6--,,5.633333333333333,7.166666666666667,
NG,QCT,Bacita,Bacita,KW,RL,--3-----,,9.083333333333334,4.95,
NG,BAD,Badagri,Badagri,,QQ,1-------,,6.408407,3.333883,true
NG,BKA,Bakana,Bakana,,RL,0-------,,4.7373325,6.9660125,true
NG,BLG,Balogun,Balogun,OY,RL,-----6--,,7.9,3.8333333333333335,
NG,BAM,Bama,Bama,BO,AM,--3-----,,11.516666666666667,13.683333333333334,
NG,QBU,Bauchi,Bauchi,,RQ,---4----,,10.48232475,9.747435942514727,true
NG,BNI,Benin City,Benin City,,AI,---4----,,6.3171425,5.599650573795893,true
NG,BOT,Bonga,Bonga,,RL,-----6--,,4.516666666666667,4.7,
NG,BON,Bonny,Bonny,,QQ,1-------,,4.4340554,7.1754202,true
NG,BRN,Borno,Borno,AD,RL,-----6--,,8.65,12.416666666666666,
NG,BRA,Brass,Brass,,QQ,1-------,,4.3104558,6.2410539,true
NG,BUR,Burutu,Burutu,,QQ,1-------,,5.3522824,5.5079208,true
NG,CBQ,Calabar,Calabar,,AI,1--4----,,4.979604500000001,8.349199913234665,true
NG,DMS,Damasak,Damasak,BO,AM,--3-----,,13.1,12.5,
NG,DEN,Denema,Denema,,QQ,1-------,,,,
NG,DKW,Dikwa,Dikwa,BO,AM,--3-----,,12.033333333333333,13.916666666666666,
NG,EAT,Ea Terminal,Ea Terminal,,RQ,1-------,,4.783333333333333,5.283333333333333,
NG,EBO,Ebok Terminal,Ebok Terminal,,RL,------7-,,4.083333333333333,8.166666666666666,
NG,EBM,Ebute Metta,Ebute Metta,LA,RL,--3-----,,6.483333333333333,3.3833333333333333,
NG,EGB,Egbeda,Egbeda,OY,RL,-----6--,,7.366666666666666,4.05,
NG,EKE,Eket,Eket,,QQ,1-------,,4.6421004,7.9264074,true
NG,ENU,Enugu,Enugu,,AI,---4----,,6.4499833,7.5000007,true
NG,ERT,Erha Terminal,Erha Terminal,ON,RQ,1-----7-,,5.35,4.35,
NG,ESC,Escravos,Escravos,,QQ,1-------,,5.5850836,5.1774385,true
NG,EOS,Eti-Osa,Eti-Osa,LA,RL,-----6--,,6.4602312,3.53218066773601,true
NG,FLM,Falomo,Falomo,LA,RL,1-3-----,,6.45,3.4333333333333336,
NG,FOR,Forcados,Forcados,,QQ,1-------,,5.35976,5.4375,true
NG,GRK,Garki,Garki,FC,RL,--3-----,,9,7.5,
NG,GBE,Gombe,Gombe,BA,RL,-----6--,,10.283333333333333,11.166666666666666,
NG,GRP,Greek Port,Greek Port,,QQ,1-------,,4.761451,7.019004,true
NG,QUS,Gusau,Gusau,ZA,RL,--3-----,,12.166666666666666,6.666666666666667,
NG,GWZ,Gwoza,Gwoza,BO,AM,--3-----,,11.083333333333334,13.683333333333334,
NG,IBA,Ibadan,Ibadan,,AI,---4----,,7.3786064,3.8969928,true
NG,IBF,Ibafo,Ibafo,OG,RL,--3-----,,6.75,3.4166666666666665,
NG,LKK,Ibeju - Lekki,Ibeju - Lekki,LA,RL,1-3-----,,6.433333333333334,4,
NG,IDO,Idi Oro,Idi Oro,OS,RL,-----6--,,7.766666666666667,4.283333333333333,
NG,IFK,Ifako,Ifako,LA,RL,-----6--,,6.633333333333333,3.3166666666666664,
NG,IGN,Igando,Igando,LA,RL,-----6--,,6.55,3.25,
NG,IGB,Igboho,Igboho,OY,RL,--3-----,,8.833333333333334,3.75,
NG,JBD,Ijebu Ode,Ijebu Ode,OG,RL,-----6--,,6.816666666666666,-3.9333333333333336,
NG,IKE,Ikeja,Ikeja,LA,RL,--34----,,6.583333333333333,3.3333333333333335,
NG,IKO,Ikorodu,Ikorodu,,RL,--3-----,,6.6,3.5166666666666666,
NG,QIK,Ikoyi,Ikoyi,LA,RL,--3-----,,6.45,3.4333333333333336,
