country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
NI,ACO,Acoyapa,Acoyapa,CO,RL,--3-----,,11.966666666666667,-85.16666666666667,
NI,BEF,Bluefields,Bluefields,,AI,1--4----,,11.9910795,-83.77360844479517,true
NI,BOA,Boaco,Boaco,BO,RL,--3--6--,,12.466666666666667,-85.66666666666667,
NI,BZA,Bonanza,Bonanza,,AI,---4----,,14.0333668,-84.62443232972285,true
NI,CAP,Camoapa,Camoapa,BO,RL,--3-----,,12.383333333333333,-85.51666666666667,
NI,CCG,Chichigalpa,Chichigalpa,CI,RL,--3-----,,12.566666666666666,-87.03333333333333,
NI,CHI,Chinandega,Chinandega,,RL,--3-----,,12.6297966,-87.1278086,true
NI,SDC,Ciudad Sandino,Ciudad Sandino,MN,RL,--3-----,,12.15,-86.33333333333333,
NI,CDG,Condega,Condega,ES,RL,--3-----,,13.35,-86.4,
NI,CIO,Corinto,Corinto,,AI,1---5---,,12.4816978,-87.1742553,true
NI,RNI,Corn Island,Corn Island,,AI,---4----,,12.1733502,-83.05909221898577,true
NI,DIR,Diriamba,Diriamba,CA,RL,--3--6--,,11.85,-86.23333333333333,
NI,DIM,Diriomo,Diriomo,GR,RL,--3-----,,11.866666666666667,-86.05,
NI,DOL,Dolores,Dolores,CA,RL,--3-----,,11.85,-86.21666666666667,
NI,ELB,El Bluff,El Bluff,,AI,1-------,,11.994705,-83.6903795,true
NI,EJC,El Jicaral,El Jicaral,LE,RL,-----6--,,12.716666666666667,-86.36666666666666,
NI,ELL,El Sauce,El Sauce,LE,RL,-----6--,,12.883333333333333,-86.53333333333333,
NI,ETU,El Tuma,El Tuma,MT,RL,-----6--,,13.066666666666666,-85.75,
NI,ZEO,El Viejo,El Viejo,CI,RL,-----6--,,12.666666666666666,-87.16666666666667,
NI,EST,Estel�,Esteli,ES,RL,--3-----,,13.083333333333334,-86.35,
NI,GRA,Granada,Granada,GR,RL,--3-----,,11.933333333333334,-85.95,
NI,JPA,Jalapa,Jalapa,,RL,--3-----,,13.916666666666666,-86.13333333333334,
NI,JNO,Jinotega,Jinotega,JI,RL,--3-----,,13.1,-86,
NI,JIN,Jinotepe,Jinotepe,,RL,-23-----,,11.85,-86.2,
NI,JGP,Juigalpa,Juigalpa,CO,RL,--3--6--,,12.083333333333334,-85.4,
NI,GAT,La Gateada,La Gateada,CO,AM,--3-----,,12,-84.78333333333333,
NI,LIB,La Libertad,La Libertad,CO,RL,--3-----,,12.216666666666667,-85.16666666666667,
NI,LPC,La Paz Centro,La Paz Centro,LE,RL,--3-----,,12.333333333333334,-86.66666666666667,
NI,LTD,La Trinidad,La Trinidad,ES,RL,--3-----,,12.55,-86.18333333333334,
NI,LM8,Las Maderas,Las Maderas,MN,RL,1----6--,,12.433333333333334,-86.03333333333333,
NI,LEO,Le�n,Leon,,RL,--3-----,,12.433333333333334,-86.88333333333334,
NI,ZLI,Libertad-Chontales,Libertad-Chontales,CO,RL,-----6--,,12.216666666666667,-85.16666666666667,
NI,ZLS,Los Brasiles,Los Brasiles,MN,RL,-----6--,,12.266666666666667,-85.93333333333334,
NI,MAL,Malacatoya,Malacatoya,GR,RL,--3--6--,,12.15,-85.83333333333333,
NI,MGA,Managua,Managua,,AI,---45---,,12.14073115,-86.16823619601345,true
NI,MAC,Masachapa,Masachapa,MN,RL,1-------,,11.783333333333333,-86.51666666666667,
NI,MSP,Masatepe,Masatepe,,RQ,------7-,,11.916666666666666,-87.5,
NI,MAS,Masaya,Masaya,,RL,--3-----,,11.9736474,-86.0960547,true
NI,MTG,Matagalpa,Matagalpa,,RQ,--3-----,,12.9285563,-85.9174331,true
NI,MAE,Mateare,Mateare,MN,RL,--3-----,,12.233333333333333,-86.41666666666667,
NI,MAT,Matigu�s,Matiguas,MT,RL,--3-----,,12.833333333333334,-85.46666666666667,
NI,ZMN,Mina el Limon,Mina el Limon,CI,RL,-----6--,,12.75,-86.73333333333333,
NI,MR3,Miramar,Miramar,LE,RL,--3-----,,12.4,-87.03333333333333,
NI,MR2,Miramar/Nagarote,Miramar/Nagarote,LE,RL,--3-----,,12.15,-86.75,
NI,MTE,Montelimar,Montelimar,MN,RL,--3-----,,11.816666666666666,-86.51666666666667,
NI,NGE,Nagarote,Nagarote,LE,RQ,--3-----,,12.266666666666667,-86.56666666666666,
NI,NAN,Nandaime,Nandaime,,RL,--3-----,,11.75,-86.05,
NI,NII,Nindiri,Nindiri,MS,RL,--3-----,,12,-86.11666666666666,
NI,NQO,Niquinohomo,Niquinohomo,MS,RL,--3-----,,11.9,-86.1,
NI,NUG,Nueva Guinea,Nueva Guinea,,RQ,--3-----,,11.666666666666666,-84.45,
NI,OCO,Ocotal,Ocotal,NS,RL,--3--6--,,13.633333333333333,-86.48333333333333,
NI,PAL,Palacag�ina,Palacaguina,MD,RL,--3-----,,13.45,-86.4,
NI,PTI,Potos�,Potosi,CI,RL,1-------,,13,-87.5,
NI,PRI,Prinzapolca,Prinzapolca,,RQ,1-------,,13.4065545,-83.5650013,true
NI,PON,Pueblo Nuevo,Pueblo Nuevo,ES,RQ,--3-----,,13.383333333333333,-86.48333333333333,
NI,PUZ,Puerto Cabezas,Puerto Cabezas,,AI,1-------,,14.0294451,-83.3831224,true
NI,PIB,Puerto Isabel,Puerto Isabel,,RL,1-3-----,,13.366666666666667,-83.56666666666666,
