country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
NL,AAH,Aa en Hunze,Aa en Hunze,DR,RL,--3-----,,53,6.766666666666667,
NL,ALB,Aalburg,Aalburg,,AF,--3-----,,51.7564268,5.1282689,true
NL,AAM,Aalsmeer,Aalsmeer,,AF,1-------,QFA,52.2658344,4.766170039669312,true
NL,AMB,Aalsmeerderbrug,Aalsmeerderbrug,NH,RN,1-3-----,,52.266666666666666,4.75,
NL,AAL,Aalst,Aalst,GE,AF,1-3-----,,51.95,5.533333333333333,
NL,LTE,Aalten,Aalten,,AF,--3-----,,51.9285963,6.5810265,true
NL,AZU,Aan de Zuwe,Aan de Zuwe,UT,RN,--3-----,,52.166666666666664,4.9,
NL,AAR,Aardenburg,Aardenburg,,AF,--3-----,,51.2736623,3.4496895,true
NL,ADV,Aarlanderveen,Aarlanderveen,ZH,RN,--3-----,,52.13333333333333,4.733333333333333,
NL,ARI,Aarle Rixtel,Aarle Rixtel,NB,AF,1-3-----,,51.5,5.633333333333333,
NL,AGT,Abbegaasterketting,Abbegaasterketting,FR,RN,--3-----,,53.03333333333333,5.566666666666666,
NL,ABB,Abbekerk,Abbekerk,,AF,--3-----,,52.7305223,5.0209003,true
NL,ABK,Abbenbroek,Abbenbroek,,AF,--3-----,,51.8491758,4.2435913,true
NL,ABE,Abbenes,Abbenes,,RL,--3-----,,52.233333333333334,4.583333333333333,
NL,ABC,Abcoude,Abcoude,,AF,--3-----,,52.270281,4.9710427,true
NL,QCJ,Acht,Acht,,AF,--3-----,,51.4768532,5.4312906,true
NL,ACH,Achterveld,Achterveld,UT,RL,--3-----,,52.13333333333333,5.5,
NL,AHO,Achthoven,Achthoven,UT,RN,1-3-----,,52.05,4.983333333333333,
NL,AHZ,Achthuizen,Achthuizen,ZH,RL,--3-----,,51.68333333333333,4.266666666666667,
NL,ACK,Achtkarspelen,Achtkarspelen,FR,RL,--3-----,,53.25,6.15,
NL,ADU,Aduard,Aduard,GR,RL,--3-----,,53.25,6.466666666666667,
NL,AEH,Aerdenhout,Aerdenhout,,AF,--3-----,,52.3629912,4.5909112,true
NL,AKL,Akersloot,Akersloot,,AF,1-------,,52.5599095,4.7320342,true
NL,AKR,Akkrum,Akkrum,,AF,--3-----,,53.0501248,5.8362304,true
NL,ABN,Albergen,Albergen,,RL,--3-----,,52.3708449,6.7637994,true
NL,ABL,Alblasserdam,Alblasserdam,,AF,1-------,,51.8599524,4.666202275442476,true
NL,AWD,Albrandswaard,Albrandswaard,ZH,RL,123--6--,,51.85,4.416666666666667,
NL,ALK,Alkmaar,Alkmaar,NH,AF,123-----,,52.63333333333333,4.75,
NL,ALW,Allingawier,Allingawier,FR,RN,--3-----,,53.05,5.45,
NL,ALM,Almelo,Almelo,OV,AF,123-----,QYL,52.35,6.666666666666667,
NL,AMN,Almen,Almen,GE,RL,-----6--,,52.15,6.3,
NL,AER,Almere,Almere,FL,AF,1-3--6--,,52.36666666666667,5.216666666666667,
NL,AKK,Almkerk,Almkerk,,AF,--3-----,,51.7705707,4.9606525,true
NL,APH,Alphen,Alphen,NB,RL,--3-----,,51.483333333333334,4.95,
NL,APN,Alphen aan den Rijn,Alphen aan den Rijn,ZH,AF,123-----,,52.13333333333333,4.666666666666667,
NL,AAC,Alphen-Chaam,Alphen-Chaam,NB,RL,--3-----,,51.483333333333334,4.95,
NL,5RD,Alteveer,Alteveer,DR,RL,--3-----,,52.68333333333333,6.483333333333333,
NL,VRT,Alteveer,Alteveer,GR,RL,--3-----,,53.05,7,
NL,ART,Altforst,Altforst,GE,RL,--3-----,,51.85,5.566666666666666,
NL,AED,Ameide,Ameide,ZH,RL,--3--6--,,51.95,4.966666666666667,
NL,AML,Ameland,Ameland,,AI,1--4----,,53.45069095,5.682985496075154,true
NL,ZAI,America,America,LI,RL,-----6--,,51.43333333333333,5.983333333333333,
NL,AMR,Amerongen,Amerongen,UT,AF,1-3-----,,52,5.466666666666667,
NL,AME,Amersfoort,Amersfoort,,AF,123-----,QYM,52.15,5.383333333333334,
NL,AMM,Ammerstol,Ammerstol,ZH,AA,--3-----,,51.93333333333333,4.816666666666666,
NL,AMZ,Ammerzoden,Ammerzoden,,AF,--3-----,,51.7488717,5.2251819,true
NL,ALH,Amstelhoek,Amstelhoek,,RL,-23-----,,52.233333333333334,4.833333333333333,
NL,AMV,Amstelveen,Amstelveen,,AF,--3-----,,52.2862177,4.852649259746028,true
NL,ATR,Amstenrade,Amstenrade,LI,RQ,-----6--,,50.93333333333333,5.933333333333334,
NL,AMS,Amsterdam,Amsterdam,,AF,12345---,,52.4,4.816666666666666,
NL,ANL,Andel,Andel,,AF,--3-----,,51.7836518,5.0539136,true
NL,ANT,Andelst,Andelst,,AF,--3-----,,51.9073627,5.7289373,true
NL,AND,Anderen,Anderen,DR,RL,--3-----,,53,6.683333333333334,
NL,AIJ,Andijk,Andijk,,AF,--3-----,,52.7454064,5.2218881,true
NL,REN,Angeren,Angeren,GE,RL,--3-----,,51.916666666666664,5.966666666666667,
NL,ANG,Angerlo,Angerlo,GE,AA,--3-----,,51.983333333333334,6.133333333333334,
NL,AJM,Anjum,Anjum,,AF,--3-----,,53.3738667,6.1277868,true
NL,ANP,Anna Paulowna,Anna Paulowna,NH,AF,1-3-----,,52.86666666666667,4.866666666666667,
NL,NNE,Annen,Annen,,RL,--3-----,,53.056286,6.7275703,true
NL,APE,Apeldoorn,Apeldoorn,,AF,-23-----,QYP,52.17957375,5.930077460807249,true
NL,APS,Appelscha,Appelscha,FR,RL,--3-----,,52.95,6.366666666666666,
NL,APL,Appeltern,Appeltern,GE,AA,--3-----,,51.833333333333336,5.583333333333333,
NL,APP,Appingedam,Appingedam,GR,AF,1-3-----,,53.31666666666667,6.866666666666667,
NL,ARC,Arcen,Arcen,LI,AF,1-3-----,,51.483333333333334,6.183333333333334,
NL,ARK,Arkel,Arkel,,AF,--3-----,,51.8634805,4.993608,true
NL,ARM,Arnemuiden,Arnemuiden,,AF,--3-----,,51.5000009,3.6762457,true
NL,ARN,Arnhem,Arnhem,,AF,-23-----,QAR,51.984257,5.9108573,true
NL,ARU,Arum,Arum,FR,RL,--3-----,,53.13333333333333,5.483333333333333,
NL,ASC,Asch,Asch,GE,RL,--3-----,,51.93333333333333,5.316666666666666,
NL,ASP,Asperen,Asperen,,AF,--3-----,,51.8807824,5.1109679,true
NL,ASS,Assen,Assen,,AF,--3-----,,52.9952273,6.560498,true
NL,ASD,Assendelft,Assendelft,,AF,--3-----,,52.4681109,4.7449605,true
NL,AST,Asten,Asten,NB,AF,--3-----,,51.4,5.733333333333333,
NL,ZAC,Augustinusga,Augustinusga,FR,RL,-----6--,,53.21666666666667,6.166666666666667,
NL,AVE,Avenhorn,Avenhorn,,AF,--3-----,,52.6178901,4.9488205,true
NL,AXL,Axel,Axel,ZE,RL,--3-----,,51.266666666666666,3.9166666666666665,
NL,AZG,Azewijn,Azewijn,GE,AA,--3--6--,,51.88333333333333,6.3,
NL,BA2,Baak,Baak,GE,RL,--3-----,,52.11666666666667,6.333333333333333,
NL,BGE,Baambrugge,Baambrugge,UT,RN,123-----,,52.25,4.983333333333333,
NL,ARD,Baard,Baard,FR,RN,--3-----,,53.15,5.666666666666667,
NL,BRA,Baarland,Baarland,ZE,RQ,1-3-----,,51.4,3.8666666666666667,
NL,BNS,Baarle-Nassau,Baarle-Nassau,,AF,--3-----,,51.4441976,4.9317413,true
NL,BLO,Baarlo,Baarlo,,AF,--3-----,,51.3319545,6.0967255,true
NL,BAA,Baarn,Baarn,UT,AF,-23-----,,52.21666666666667,5.266666666666667,
NL,BBR,Babberich,Babberich,GE,RL,--3-----,,51.9,6.116666666666666,
NL,BAD,Badhoevedorp,Badhoevedorp,,AF,--3-----,,52.3388803,4.7844704,true
NL,BXE,Baexem,Baexem,,RQ,--3-----,,51.22596905,5.885191285457463,true
NL,BAF,Baflo,Baflo,,AF,--3-----,,53.36176,6.51596,true
NL,BAK,Bakel,Bakel,NB,RL,--3-----,,51.5,5.733333333333333,
NL,BKH,Bakhuizen,Bakhuizen,FR,RQ,--3-----,,52.86666666666667,5.45,
NL,BAL,Balk,Balk,,AF,--3-----,,52.8989296,5.5830455,true
NL,BKB,Balkbrug,Balkbrug,,AF,--3-----,,52.5994353,6.3929761,true
NL,BAN,Bant,Bant,FL,RN,1-3-----,,52.766666666666666,5.75,
NL,BRR,Barendrecht,Barendrecht,,AF,123-----,,51.85193795,4.52938352520747,true
NL,BAR,Barneveld,Barneveld,,AF,--3-----,,52.1397035,5.5869635,true
NL,BGO,Barsingerhorn,Barsingerhorn,NH,RN,1-3-----,,52.78333333333333,4.85,
NL,BHM,Bartlehiem,Bartlehiem,FR,RN,1-3-----,,53.28333333333333,5.833333333333333,
NL,BTH,Bathmen,Bathmen,,AF,--3-----,,52.2500503,6.2844391,true
NL,BAV,Bavel,Bavel,,AF,--3-----,,51.5656819,4.8296995,true
NL,BED,Bedum,Bedum,,AF,--3-----,,53.3003141,6.5961866,true
NL,BGD,Beegden,Beegden,LI,AA,--3-----,,51.18333333333333,5.916666666666667,
NL,BEQ,Beek,Beek,,AF,--3-----,,50.9413527,5.7977204,true
NL,ZAK,Beek,Beek,LI,RL,---4-6--,,51.53333333333333,5.95,
NL,BEE,Beek en Donk,Beek en Donk,,AF,--3-----,,51.5337801,5.6329857,true
NL,BSR,Beemster,Beemster,NH,RL,--3-----,,52.916666666666664,5,
NL,BBB,Beers,Beers,NB,RL,--3-----,,51.71666666666667,5.833333333333333,
NL,BSD,Beesd,Beesd,,AF,--3-----,,51.884089,5.1916361,true
NL,BSL,Beesel,Beesel,LI,RL,1-3-----,,51.266666666666666,6.033333333333333,
NL,BGM,Beetgum,Beetgum,FR,RL,--3-----,,53.233333333333334,5.683333333333334,
NL,BTS,Beets,Beets,NH,RN,1-3-----,,52.583333333333336,4.966666666666667,
NL,BEZ,Beetsterzwaag,Beetsterzwaag,FR,RL,--3-----,,53.5,6.833333333333333,
NL,BEI,Beilen,Beilen,,AF,--3-----,,52.8610999,6.5124319,true
NL,BSP,Beinsdorp,Beinsdorp,NH,RL,--3-----,,52.28333333333333,4.583333333333333,
NL,BEW,Beiswijk,Beiswijk,,AF,--3-----,,,,
NL,BFD,Belfeld,Belfeld,LI,RL,1-3-----,,51.31666666666667,6.116666666666666,
NL,NWR,Bellingwedde,Bellingwedde,GR,RL,--3-----,,53.11666666666667,7.15,
NL,BEM,Bemmel,Bemmel,GE,RL,1-3-----,,51.9,5.9,
NL,BUW,Beneden-Leeuwen,Beneden-Leeuwen,GE,AF,--3-----,,51.88333333333333,5.516666666666667,
NL,BEB,Bennebroek,Bennebroek,,AF,--3-----,,52.322419,4.5937366,true
NL,BKM,Bennekom,Bennekom,,AF,--3-----,,52.013349649999995,5.705426587258394,true
NL,BBK,Benningbroek,Benningbroek,NH,RL,--3-----,,52.7,5.033333333333333,
NL,HOP,Benschop,Benschop,UT,RQ,-----6--,,52,4.983333333333333,
NL,BTO,Bentelo,Bentelo,OV,RL,-2------,,52.233333333333334,6.683333333333334,
NL,BHZ,Benthuizen,Benthuizen,,AF,--3-----,,52.0775659,4.5412547,true
NL,BEN,Bentveld,Bentveld,,AF,--3-----,,52.3657705,4.5705619,true
NL,BRG,Berg,Berg,LI,RN,--3-----,,51.333333333333336,5.85,
NL,BTT,Berg en Terblijt,Berg en Terblijt,,RQ,--3-----,,50.8602927,5.7863647,true
NL,BGB,Bergambacht,Bergambacht,ZH,AF,1-3-----,,51.9314474,4.7827247,true
NL,BEY,Bergeijk,Bergeijk,,AF,--3-----,,51.31666666666667,5.366666666666666,
NL,BGN,Bergen,Bergen,NH,RL,--3-----,,52.666666666666664,44.333333333333336,
NL,BRX,Bergen,Bergen,LI,RL,--3-----,,51.6,6.033333333333333,
NL,BEG,Bergen aan Zee,Bergen aan Zee,,AI,1-------,,52.6607662,4.6316645,true
NL,BZM,Bergen op Zoom,Bergen op Zoom,NB,AF,123-----,,51.5,4.3,
NL,BGH,Bergentheim,Bergentheim,OV,RL,-23-----,,52.53333333333333,6.616666666666667,
NL,BGI,Bergerheide,Bergerheide,,RQ,1-3-----,,51.58615,6.09396,true
NL,BGY,Bergeyk,Bergeyk,NB,RQ,-----6--,,51.31666666666667,5.35,
NL,BHR,Bergharen,Bergharen,GE,RL,--3-----,,51.85,5.666666666666667,
NL,BEH,Bergh-Autoweg,Bergh-Autoweg,,AF,--3-----,,51.88356,6.2501,true
NL,BHE,Berghem,Berghem,NB,RL,--3-----,,51.766666666666666,5.566666666666666,
NL,BEK,Bergschenhoek,Bergschenhoek,ZH,AF,--3-----,,51.983333333333334,4.483333333333333,
NL,BGU,Bergum,Bergum,,AF,--3-----,,53.1954807,5.9871063,true
NL,BEJ,Beringe,Beringe,LI,RL,--3-----,,51.333333333333336,5.95,
NL,BKE,Berkel,Berkel,,AF,--3-----,,51.9933725,4.4786561,true
NL,BER,Berkel en Rodenrijs,Berkel en Rodenrijs,ZH,AF,-23-----,,51.983333333333334,4.483333333333333,
NL,BES,Berkel-Enschot,Berkel-Enschot,,AF,--3-----,,51.5854521,5.1422542,true
NL,KLL,Berkelland,Berkelland,GE,RL,--3-----,,52.11666666666667,6.533333333333333,
NL,BKT,Berkhout,Berkhout,NH,RL,--3--6--,,52.63333333333333,5,
NL,BLU,Berlicum,Berlicum,NB,RN,1-3-----,,51.666666666666664,5.383333333333334,
NL,BLM,Berlikum,Berlikum,FR,RL,--3-----,,53.25,5.65,
NL,EEZ,Bernheze,Bernheze,NB,RL,--3-----,,51.733333333333334,5.533333333333333,
NL,BST,Best,Best,NB,AF,1-3-----,QWZ,51.5,5.4,
NL,BEU,Beugen,Beugen,,AF,--3-----,,51.6738498,5.9400104,true
NL,BNN,Beuningen,Beuningen,GE,AF,1-3-----,,51.86666666666667,5.783333333333333,
NL,BEC,Beusichem,Beusichem,,AF,--3-----,,51.9499609,5.288482,true
NL,BEV,Beverwijk,Beverwijk,,AF,123-----,,52.4787896,4.672839631308436,true
NL,BNZ,Biddinghuizen,Biddinghuizen,FL,RN,1-3-----,,52.45,5.7,
NL,BIR,Bierum,Bierum,GR,RQ,--3-----,,53.38333333333333,6.866666666666667,
NL,BRV,Biervliet,Biervliet,,RL,--3-----,,51.31666666666667,3.6833333333333336,
NL,BIT,Biest,Biest,NB,RN,1-3-----,,51.516666666666666,5.15,
NL,BZO,Biezenmortel,Biezenmortel,,RL,-23--6--,,51.61666666666667,5.183333333333334,
NL,BDR,Bilderdam,Bilderdam,ZH,RN,1-3-----,,52.21666666666667,4.716666666666667,
NL,BHV,Bilthoven,Bilthoven,,AF,--3-----,,52.1289693,5.2046134,true
NL,BNM,Binnenmaas,Binnenmaas,,AI,1-------,,51.7938909,4.5156771,true
NL,BDA,Birdaard,Birdaard,FR,RN,1-3-----,,53.3,5.883333333333333,
NL,BLD,Blaaksedijk,Blaaksedijk,,AF,--3-----,,51.8139109,4.5091799,true
NL,BLL,Bladel,Bladel,,AF,--3-----,,51.3667765,5.2154317,true
NL,BLA,Blaricum,Blaricum,,AF,--3-----,,52.2725049,5.2441379,true
NL,BLW,Bleiswijk,Bleiswijk,,AF,--3-----,,52.0109579,4.5310837,true
NL,BLE,Blerick,Blerick,LI,RL,123-----,,51.36666666666667,6.166666666666667,
NL,BLG,Bleskensgraaf,Bleskensgraaf,,AF,--3-----,,51.8721978,4.7825711,true
NL,BLI,Blije,Blije,FR,RL,--3-----,,53.35,5.85,
NL,BMD,Bloemendaal,Bloemendaal,,AF,--3-----,,52.0239656,4.692133,true
NL,BLK,Blokker,Blokker,,AF,--3-----,,52.6614748,5.0899695,true
NL,BZL,Blokzijl,Blokzijl,OV,RN,--3-----,,52.71666666666667,5.966666666666667,
NL,BNH,Boarnsterhim,Boarnsterhim,FR,RN,1-3-----,,53.083333333333336,5.816666666666666,
NL,BOA,Boazum,Boazum,FR,AM,--3-----,,53.083333333333336,5.683333333333334,
NL,BDK,Bobeldijk,Bobeldijk,NH,RL,--3-----,,52.65,5,
NL,BOG,Bodegraven,Bodegraven,,AF,1-3-----,,52.083333333333336,4.75,
NL,BRW,Bodegraven-Reeuwijk,Bodegraven-Reeuwijk,ZH,RL,--3-----,,52.083333333333336,4.75,
NL,BCP,Boeicop,Boeicop,ZH,RL,--3-----,,51.93333333333333,5.116666666666666,
NL,BEL,Boekel,Boekel,NB,RL,--3-----,,51.6,5.666666666666667,
NL,BOE,Boekel,Boekel,NH,RL,--3-----,,52.583333333333336,4.75,
NL,BKL,Boekelo,Boekelo,,AF,--3-----,,52.2039859,6.7994423,true
NL,BUE,Boesingheliede,Boesingheliede,,AF,--3-----,,52.3616574,4.7233995,true
NL,BOL,Bolsward,Bolsward,,AF,--3-----,,53.0620178,5.5228964,true
NL,BOK,Bontebok,Bontebok,,RL,--3-----,,52.95,6.016666666666667,
NL,BZW,Boornzwaag,Boornzwaag,FR,RN,1-3-----,,52.88333333333333,5.566666666666666,
NL,BWW,Boornzwaag over de Wielen,Boornzwaag over de Wielen,FR,RN,1-3-----,,52.95,5.75,
NL,BMK,Boortmeerkerk,Boortmeerkerk,,AF,--3-----,,,,
NL,BRC,Borculo,Borculo,,AF,--3-----,,52.114854,6.5180361,true
NL,BGR,Borger,Borger,DR,RQ,--3--6--,,52.916666666666664,6.783333333333333,
NL,BOO,Borger-Odoorn,Borger-Odoorn,DR,RL,--3-----,,52.88333333333333,6.866666666666667,
NL,BGW,Borgsweer,Borgsweer,GR,RN,1-3-----,,53.3,7.016666666666667,
NL,BON,Born,Born,LI,AF,1-3-----,,51.03333333333333,5.816666666666666,
NL,BRE,Borne,Borne,OV,RL,--3-----,,52.3,6.75,
NL,BNB,Bornerbroek,Bornerbroek,,RL,--3-----,,52.3084978,6.6553464,true
NL,BOR,Borssele,Borssele,ZE,AF,1-3-----,,51.416666666666664,3.716666666666667,
NL,BXC,Bosch,Bosch,,RL,--3-----,,51.266666666666666,5.583333333333333,
NL,UTB,Bosch En Duin,Bosch En Duin,UT,RL,--3-----,,52.11666666666667,5.25,
NL,BSK,Boskoop,Boskoop,,AF,1-3-----,,52.0742348,4.6631166,true
NL,BOS,Bosschenhoofd,Bosschenhoofd,NB,RL,--3-----,,51.56666666666667,4.55,
NL,BSH,Bosscherheide,Bosscherheide,LI,RN,1-3-----,,51.56666666666667,6.083333333333333,
NL,BOT,Botlek,Botlek,ZH,AF,1-3-----,,51.88333333333333,4.283333333333333,
NL,BTA,Bourtange,Bourtange,GR,RN,1-3-----,,53.016666666666666,7.2,
NL,HRX,Boven-Hardinxveld,Boven-Hardinxveld,ZH,AF,--3-----,,51.81666666666667,4.883333333333333,
NL,BOV,Bovenkarspel,Bovenkarspel,,RL,--3-----,,52.68333333333333,5.233333333333333,
NL,BVL,Boven-Leeuwen,Boven-Leeuwen,GE,RL,--3-----,,51.88333333333333,33.166666666666664,
NL,BVI,Bovensmilde,Bovensmilde,DR,RN,1-3-----,,52.983333333333334,6.483333333333333,
NL,BOX,Boxmeer,Boxmeer,,AF,--3-----,,51.6486483,5.9450972,true
NL,BXT,Boxtel,Boxtel,,AF,--3-----,,51.5883055,5.3247837,true
NL,BMT,Braamt,Braamt,GE,RL,--3-----,,51.916666666666664,6.266666666666667,
NL,BRK,Brakel,Brakel,,AF,--3-----,,51.8172979,5.0914074,true
NL,BTG,Brantgum,Brantgum,FR,RL,--3-----,,53.35,5.933333333333334,
NL,BRD,Breda,Breda,NB,AF,123-----,GLZ,51.56666666666667,4.8,
NL,BDV,Bredevoort,Bredevoort,GE,RL,--3-----,,51.95,-6.616666666666667,
NL,BRZ,Breezand,Breezand,,AF,--3-----,,52.8884022,4.8029941,true
NL,BRS,Breskens,Breskens,,AF,1-3-----,,51.38333333333333,3.5666666666666664,
NL,RUK,Breukelen,Breukelen,,AF,1-3-----,,52.171959,5.002675,true
NL,BRI,Brielle,Brielle,,AF,1-3-----,,51.901662,4.1626292,true
NL,BRT,Britsum,Britsum,FR,RL,-2---6--,,53.25,5.783333333333333,
NL,BIW,Broek in Waterland,Broek in Waterland,,AF,--3-----,,52.4331998,4.9977184,true
NL,BRL,Broek op Langedijk,Broek op Langedijk,,AF,--3-----,,52.675121,4.8031094,true
NL,BRH,Broekhuizenvorst,Broekhuizenvorst,LI,RQ,-----6--,,51.483333333333334,6.15,
NL,BCK,Bronckhorst,Bronckhorst,GE,RL,--3-----,,52.05,6.3,
NL,BRO,Brouwershaven,Brouwershaven,,AF,1-------,,51.7256011,3.9125451,true
NL,BRU,Bruchem,Bruchem,,AF,--3-----,,51.7871821,5.2363614,true
NL,BSE,Bruinisse,Bruinisse,,AF,1-3-----,,51.6622699,4.09594,true
NL,BRM,Brummen,Brummen,,AF,1-3-----,,52.087327,6.1568633,true
NL,BRN,Brunssum,Brunssum,,AF,--3-----,,50.9431108,5.9705675,true
NL,BUD,Budel,Budel,,AI,1--4----,,51.2555751,5.60097274220535,true
NL,BDD,Budel-Dorplain,Budel-Dorplain,,RL,-23-----,,51.233333333333334,5.566666666666666,
NL,BNU,Buggenum,Buggenum,LI,RN,1-3-----,,51.233333333333334,5.983333333333333,
NL,BKA,Buitenkaag,Buitenkaag,ZH,RL,--3-----,,52.21666666666667,4.566666666666666,
NL,BUI,Buitenpost,Buitenpost,FR,RL,-----6--,,53.25,6.15,
NL,BNE,Bunde,Bunde,LI,RN,123-----,,50.88333333333333,5.733333333333333,
NL,BUK,Bunnik,Bunnik,,AF,--3-----,,52.0663713,5.1940676,true
NL,BNK,Bunnink,Bunnink,,AF,--3-----,,,,
