country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
NO,AAA,� i Lofoten,A i Lofoten,18,AA,1-------,,67.88333333333334,12.983333333333333,
NO,ABE,Abelnes,Abelnes,10,AA,1-3-----,,58.233333333333334,6.666666666666667,
NO,ABV,Abelv�r,Abelvar,17,AA,1-------,,64.73333333333333,11.183333333333334,
NO,AAF,�fjord,Afjord,16,AI,1-------,,63.96667,10.2,true
NO,AGD,Agdenes,Agdenes,16,AI,1-------,,63.5832472,9.5152591,true
NO,AFT,Agnefest,Agnefest,10,AA,1-3-----,,58.11666666666667,7.033333333333333,
NO,AGO,�gotnes,Agotnes,12,AF,1-3-----,,60.4,5.016666666666667,
NO,AGK,�gskardet,Agskardet,18,AA,1-------,,66.71666666666667,13.483333333333333,
NO,AHM,�heim,Aheim,15,RQ,1-------,,62.03333333333333,5.516666666666667,
NO,AKU,Akershus,Akershus,02,RL,--3-----,,60,11,
NO,AKK,Akkarfjord,Akkarfjord,20,AA,1-------,,70.78333333333333,23.45,
NO,AKL,Akland,Akland,09,RL,--3-----,,58.733333333333334,9.05,
NO,AKM,�krehamn,Akrehamn,11,AA,1-------,,59.25,5.166666666666667,
NO,AAL,�l,Al,06,RL,--3-----,,60.63333333333333,8.566666666666666,
NO,ALE,�lefj�r,Alefjar,10,AA,1-------,,58.233333333333334,8.016666666666667,
NO,AES,�lesund,Alesund,15,AF,1-34----,,62.46666666666667,6.15,
NO,ALG,�lg�rd,Algard,11,RL,--3-----,,58.75,5.85,
NO,ALN,Alnabru,Alnabru,03,AF,-23--6--,,59.9287861,10.8376972,true
NO,ALS,Alstahaug,Alstahaug,18,AI,1-------,,65.86742229999999,12.431780401598033,true
NO,AVG,Alsv�g,Alsvag,18,RL,--3--6--,,68.9,15.283333333333333,
NO,ALF,Alta,Alta,20,AA,1-34----,,69.96666666666667,23.233333333333334,
NO,ADL,Alvdal,Alvdal,04,RQ,--3-----,,62.1,10.616666666666667,
NO,AAV,�lvik,Alvik,12,AA,1-3-----,,60.416666666666664,6.416666666666667,
NO,ALV,Alvika,Alvika,15,AA,1-------,,62.483333333333334,6.383333333333334,
NO,MOT,�mot,Amot,06,RL,--3-----,,59.9,9.9,
NO,ASR,�na-Sira,Ana-Sira,11,RL,--3-----,,58.3,6.383333333333334,
NO,AND,�ndalsnes,Andalsnes,15,AF,123--6--,,62.56666666666667,7.7,
NO,ANU,Andebu,Andebu,07,AF,--3-----,,59.305764,10.1757848,true
NO,ADN,Andenes,Andenes,18,AA,1-34----,ANX,69.31666666666666,16.133333333333333,
NO,ADY,And�y,Andoy,18,AI,1-------,,69.299396,16.039352,true
NO,AFS,Anfinnsletta,Anfinnsletta,18,AA,1-------,,68.33333333333333,15.433333333333334,
NO,ANS,Ansnes,Ansnes,16,AA,1-------,,63.63333333333333,9,
NO,AAN,�rdal,Ardal,14,AF,1-3-----,,61.302199,7.821074,true
NO,ARH,�rdal - Hjelmeland,Ardal - Hjelmeland,11,AA,1-------,,59.15,6.166666666666667,
NO,ARD,�rdalstangen,Ardalstangen,14,AA,1-3-----,,61.233333333333334,7.7,
NO,ARE,Arendal,Arendal,09,AA,123-----,XGD,58.45,8.766666666666667,
NO,AHS,Arhus,Arhus,12,RL,--3-----,,60.733333333333334,6.15,
NO,ARF,Arnafjord,Arnafjord,14,AA,1-------,,61.016666666666666,6.383333333333334,
NO,ANB,Arneberg,Arneberg,04,RL,--3-----,,60.75,11.216666666666667,
NO,ARN,�rnes,Arnes,02,AF,-23-----,,60.11666666666667,11.466666666666667,
NO,ARM,Arn�yhamn,Arnoyhamn,19,AA,1-------,,70.05,20.633333333333333,
NO,ROS,�ros,Aros,06,RL,--3-----,,59.7,10.5,
NO,ARS,�rstein,Arstein,19,RL,--3-----,,68.68333333333334,17.55,
NO,AAS,�s,As,02,AF,-23-----,,59.668483,10.799907,true
NO,ASK,Asker,Asker,02,AF,--3-----,,59.8387832,10.4355111,true
NO,AIM,Askim,Askim,05,RL,--3-----,,60.4,10.45,
NO,ASM,Askim,Askim,01,AF,--3-----,,59.583333333333336,11.166666666666666,
NO,ASY,Ask�y,Askoy,12,AI,1-------,,60.434167,5.179677,true
NO,ASL,Askvoll,Askvoll,14,AI,1-------,,61.34673,5.06224,true
NO,ATA,�tangen,Atangen,08,AA,1-------,,58.86666666666667,9.35,
NO,ATL,Atl�y,Atloy,14,AA,1-------,,61.35,4.883333333333333,
NO,AUK,Aukra,Aukra,15,AA,1-------,,62.81666666666667,6.9,
NO,AUE,Aure,Aure,15,AA,1-------,,63.266666666666666,8.516666666666667,
NO,AUL,Aurland,Aurland,14,AA,1-------,,60.9,7.183333333333334,
NO,AKO,Aurskog,Aurskog,02,RL,--3-----,,59.916666666666664,11.433333333333334,
NO,ASV,Austevoll,Austevoll,12,AA,1-------,,60.1,5.15,
NO,ATM,Austmarka,Austmarka,12,RL,--3-----,,60.61666666666667,5.166666666666667,
NO,ASH,Austrheim,Austrheim,12,AI,1-------,,60.7774,4.9323,true
NO,AUS,Austvika,Austvika,18,RQ,1-------,,66.18333333333334,13.233333333333333,
NO,AVA,Avaldsnes,Avaldsnes,11,AA,1-3-----,,59.35,5.266666666666667,
NO,AVE,Aver�y,Averoy,15,AA,1-------,,63.05,7.666666666666667,
NO,BDD,Badderen,Badderen,19,RL,--3-----,,69.85,22.033333333333335,
NO,BAR,B�rum,Barum,02,AF,1-3-----,,,,
NO,BLS,Balestrand,Balestrand,14,AA,1-------,,61.2,6.533333333333333,
NO,BLL,Ballangen,Ballangen,18,AA,1-------,,68.33333333333333,16.833333333333332,
NO,BSD,Ballstad,Ballstad,18,RL,1-------,,68.06666666666666,13.55,
NO,BAF,Balsfjord,Balsfjord,19,AA,1-------,,69.23333333333333,19.233333333333334,
NO,BAL,B�ly,Baly,10,AA,1-------,,58.03333333333333,7.15,
NO,BAM,Bamble,Bamble,08,AI,1-------,,59.639075,8.3186333,true
NO,BDU,Bardufoss,Bardufoss,19,AF,---4----,,69.05482565,18.540665381702304,true
NO,BAK,Bark�ker,Barkaker,07,AF,--3-----,,59.3186085,10.3899148,true
NO,BJF,B�tsfjord,Batsfjord,20,AA,1-34----,,70.63333333333334,29.716666666666665,
NO,BEJ,Beiarn,Beiarn,18,AI,1-------,,67.01667,14.56667,true
NO,BKK,Bekkjarvik,Bekkjarvik,12,RL,--3-----,,60,5.2,
NO,BEL,Bellvika,Bellvika,19,AA,1-------,,69.78333333333333,18.766666666666666,
NO,BER,Berg,Berg,19,AI,1-------,,59.16667,11.15,true
NO,OOF,Berg,Berg,01,RL,--3-----,,59.166666666666664,11.15,
NO,BGO,Bergen,Bergen,12,AA,1234----,,60.38333333333333,5.316666666666666,
NO,BGN,Bergneset,Bergneset,19,RQ,1-------,,69.25,19.35,
NO,BFJ,Bergsfjord,Bergsfjord,20,AA,1-------,,70.25,21.783333333333335,
NO,BGU,Bergunnhaugen,Bergunnhaugen,04,RL,--3-----,,61.06666666666667,10.816666666666666,
NO,BRK,Berk�k,Berkak,12,AF,--3-----,,62.833333333333336,10,
NO,BVG,Berlev�g,Berlevag,20,AI,1--4----,,70.85,29.1,
NO,BNG,Berrvik (Bergvik),Berrvik (Bergvik),18,AA,--3-----,,68.56666666666666,14.833333333333334,
NO,BSA,Billingstad,Billingstad,02,RL,--3-----,,59.86666666666667,10.483333333333333,
NO,BIN,Bindal,Bindal,18,AI,1-------,,65.095408,12.792801,true
NO,BLD,Birkeland,Birkeland,09,RL,--3-----,,58.333333333333336,8.233333333333333,
NO,BIS,Bismo,Bismo,05,AF,1-3-----,,61.8843655,8.2664114,true
NO,BJY,Bjark�y,Bjarkoy,19,AA,1-------,,68.98333333333333,16.533333333333335,
NO,BJE,Bjerka,Bjerka,18,AA,-23-----,,66.15,13.883333333333333,
NO,BJK,Bjerke,Bjerke,03,RQ,--3-----,,59.95252,10.6382346,true
NO,BXK,Bjerkreim,Bjerkreim,11,AA,--3--6--,,58.6,6.116666666666666,
NO,BKV,Bjerkvik,Bjerkvik,18,RL,1-3-----,,68.55,17.55,
NO,BJO,Bjoa,Bjoa,11,RL,--3-----,,59.65,5.633333333333333,
NO,BJD,Bjordal,Bjordal,14,AA,1-------,,61.083333333333336,5.833333333333333,
NO,BJX,Bj�rk�s,Bjorkas,02,AA,1-3-----,,59.78333333333333,10.5,
NO,BJN,Bjorkelangen,Bjorkelangen,02,RL,--3-----,,59.88333333333333,11.566666666666666,
NO,BJV,Bjornevatn,Bjornevatn,20,RL,--3-----,,69.66666666666667,29.983333333333334,
NO,BJU,Bjugn,Bjugn,16,AA,1-------,,63.75,9.75,
NO,BKR,Blaker,Blaker,02,RL,--3-----,,60,11.3,
NO,BLK,Bleik,Bleik,18,RQ,1-------,,69.26666666666667,15.95,
NO,BLO,Blokken,Blokken,18,AA,1-------,,68.6,15.383333333333333,
NO,BDN,Blomsterdalen,Blomsterdalen,12,RL,--3-----,,60.266666666666666,5.25,
NO,BLV,Blomv�g,Blomvag,12,AA,1-------,,60.53333333333333,4.883333333333333,
NO,BOO,Bod�,Bodo,18,AA,1234----,,67.28333333333333,14.366666666666667,
NO,BOG,Bogen,Bogen,18,RL,1-3-----,,68.51666666666667,16.983333333333334,
NO,BON,Bognes,Bognes,18,AA,1-------,,68.21666666666667,16.066666666666666,
NO,OYB,Bog�y,Bogoy,18,AA,1-------,,67.9,15.183333333333334,
NO,BOK,Bokn,Bokn,11,AA,1-------,,59.21666666666667,5.433333333333334,
NO,BLY,Bols�ya,Bolsoya,15,RL,--3-----,,62.733333333333334,7.283333333333333,
NO,BOM,B�mlo,Bomlo,12,AA,1-------,,59.6,5.216666666666667,
NO,BNE,Bones,Bones,12,RL,--3-----,,60.31666666666667,5.3,
NO,BOE,B�neset - Karm�y,Boneset - Karmoy,11,AA,1-------,,59.36666666666667,5.283333333333333,
NO,BOS,Borkenes,Borkenes,19,RL,1-3-----,,68.76666666666667,16.166666666666668,
NO,BRR,Borre,Borre,07,AI,1-------,,59.3815228,10.438275,true
NO,BBG,Bosberg,Bosberg,16,RL,--3-----,,63.416666666666664,10.183333333333334,
NO,SBT,Botn - Sandnessj�en,Botn - Sandnessjoen,18,AA,1-------,,66,12.65,
NO,BTN,Botnaneset - Flora,Botnaneset - Flora,14,AA,1-------,,61.61666666666667,5.066666666666666,
NO,BTH,Botnhamn,Botnhamn,19,RL,1-3-----,,69.51666666666667,17.9,
NO,BOV,B�v�gen - Rad�y,Bovagen - Radoy,12,AA,1-3-----,,60.7,4.916666666666667,
NO,BKD,Brakstad,Brakstad,12,AF,1-3-----,,60.54381,5.12208,true
NO,BRN,Brandasund,Brandasund,12,AA,1-------,,59.9,5.1,
NO,BBU,Brandbu,Brandbu,05,RL,--3-----,,60.43333333333333,10.466666666666667,
NO,BSF,Brandsfjord,Brandsfjord,16,AA,1-------,,64.18333333333334,10.35,
NO,BVL,Brandval,Brandval,04,RL,-23-----,,60.31666666666667,12.033333333333333,
NO,BRS,Braskereidfoss,Braskereidfoss,04,RL,--3-----,,60.71666666666667,11.783333333333333,
NO,NZG,Brattholmen,Brattholmen,12,RL,--3--6--,,60.35,5.15,
NO,BRV,Brattv�g,Brattvag,15,AA,1-3-----,,62.6,6.433333333333334,
NO,BVR,Breiviga,Breiviga,11,AA,1-------,,59.083333333333336,5.9,
NO,BVB,Breivikbotn,Breivikbotn,20,RL,1-3-----,,70.58333333333333,22.283333333333335,
NO,NZF,Brekke,Brekke,14,RL,-----6--,,61.016666666666666,5.466666666666667,
NO,BKS,Brekstad,Brekstad,16,RL,1-------,,63.68333333333333,9.683333333333334,
NO,BRE,Bremanger,Bremanger,14,AI,1-------,,61.82454,5.472393,true
NO,NZD,Bremnes,Bremnes,12,RL,-----6--,,59.78333333333333,5.166666666666667,
NO,BRH,Brensholmen,Brensholmen,19,AA,1-------,,69.6,18.033333333333335,
NO,BTS,Brettesnes,Brettesnes,18,RL,1-------,,68.23333333333333,14.866666666666667,
NO,BVK,Brevik,Brevik,08,AA,1-3-----,,59.05,9.7,
NO,BRO,Br�nn�y,Bronnoy,18,AI,1-------,,65.370247,12.81681,true
NO,BNN,Br�nn�ysund,Bronnoysund,18,AA,1-34----,,65.46666666666667,12.2,
NO,BUU,Bru,Bru,14,RL,--3-----,,59.03333333333333,5.65,
NO,BRU,Brumunddal,Brumunddal,04,RL,-23-----,,60.86666666666667,10.916666666666666,
NO,BRA,Bryggja,Bryggja,14,AA,--3-----,,61.93333333333333,5.383333333333334,
NO,BRY,Bryne,Bryne,11,AF,--3-----,,58.732537,5.651121,true
NO,BUG,Bug�ynes,Bugoynes,20,RL,1-3-----,,69.96666666666667,29.633333333333333,
NO,BUF,Burfjord,Burfjord,19,AA,1-------,,69.93333333333334,22.05,
NO,BUV,Buvika,Buvika,16,AF,1-3-----,,62.13333333333333,11.7,
NO,BVN,Buviken,Buviken,04,RQ,--3--6--,,62.13333333333333,11.716666666666667,
NO,BYN,Byggnes - Karm�y,Byggnes - Karmoy,11,AA,1-------,,59.3,5.3,
NO,BYG,Bygland,Bygland,09,RL,--3-----,,58.85,7.783333333333333,
NO,BYS,Bygstad,Bygstad,14,RL,1-------,,61.38333333333333,5.666666666666667,
NO,BYO,Byremo,Byremo,10,RL,-----6--,,58.43333333333333,7.416666666666667,
NO,BYR,Byrknes�y,Byrknesoy,14,AA,1-------,,60.9,4.833333333333333,
NO,DFJ,D�fjord,Dafjord,19,AA,1-------,,69.98333333333333,19.4,
NO,DAL,Dal,Dal,02,RL,--3-----,,60.233333333333334,11.183333333333334,
NO,DSF,Dale,Dale,14,AA,1-3-----,,61.36666666666667,5.416666666666667,
NO,DLS,Dalsoyra,Dalsoyra,14,RL,--3-----,,60.93333333333333,5.133333333333334,
NO,DMG,Damsg�rd,Damsgard,12,AA,--3-----,,60.38333333333333,5.3,
NO,NZI,Deknepollen,Deknepollen,14,RL,-----6--,,61.916666666666664,5.15,
NO,DGR,Digernes,Digernes,04,AA,--3-----,,60.3,12.083333333333334,
NO,DIM,Dimmelsvik,Dimmelsvik,12,RL,1-3-----,,59.95,5.983333333333333,
NO,DIR,Dirdal,Dirdal,11,AA,1-------,,58.833333333333336,6.166666666666667,
NO,DJU,Djupvik,Djupvik,19,RL,1-3-----,,69.75,20.5,
NO,DOK,Dokka,Dokka,05,RL,-23-----,,60.833333333333336,10.083333333333334,
NO,DOL,Dolm�y,Dolmoy,16,AA,1-------,,63.65,8.783333333333333,
NO,DOM,Domb�s,Dombas,05,AF,-23-----,,62.079085,9.128834,true
NO,DON,D�nna,Donna,18,AI,1-------,,66.106491,12.485569,true
NO,DRG,Drag,Drag,18,AA,1-------,,68.03333333333333,16.066666666666666,
NO,DDL,Dragedal,Dragedal,10,RL,--3-----,,58.15,7.033333333333333,
NO,DRM,Drammen,Drammen,06,AA,123-----,XND,59.733333333333334,10.233333333333333,
NO,DRA,Drangedal,Drangedal,08,RL,-----6--,,59.1,9.066666666666666,
NO,DRE,Drevsj�,Drevsjo,04,AF,--3-----,,61.8828613,12.0305791,true
NO,DRK,Dr�bak,Drobak,02,AA,1-3-----,,59.65,10.616666666666667,
NO,DUS,Dusavik,Dusavik,11,RL,1-------,,59,5.65,
NO,DYY,Dyr�y,Dyroy,19,AI,1-------,,69.060003,17.756487,true
NO,DYL,Dyr�yhamn,Dyroyhamn,19,AA,1-------,,69.01666666666667,17.433333333333334,
NO,DYD,Dyrstad,Dyrstad,14,RL,1-3-----,,61.766666666666666,5.183333333333334,
NO,DYR,Dyrvik,Dyrvik,16,AF,1-3-----,,63.766666666666666,8.833333333333334,
NO,EGE,Egersund,Egersund,11,AA,1-3-----,,58.45,6,
NO,EGG,Eggesb�nes,Eggesbones,15,AA,1-3-----,,62.31666666666667,5.633333333333333,
NO,EID,Eid,Eid,14,AI,1-------,,59.48333,10,true
NO,EIF,Eidangerfjorden,Eidangerfjorden,08,AA,1-------,,59.06666666666667,9.7,
NO,EDE,Eide,Eide,15,AA,1-------,,62.9,7.45,
NO,EDS,Eide Sotra,Eide Sotra,12,AA,1-------,,60.25,5.066666666666666,
NO,EDT,Eidet,Eidet,18,AA,1-------,,68.73333333333333,14.583333333333334,
NO,EDF,Eidfjord,Eidfjord,12,AA,1-------,,60.46666666666667,7.066666666666666,
NO,EDD,Eidsdal,Eidsdal,15,AA,1-------,,62.266666666666666,7.166666666666667,
NO,EIL,Eidslandet,Eidslandet,12,RL,1-3-----,,60.71666666666667,5.783333333333333,
NO,ESE,Eidsnes,Eidsnes,12,AA,--3--6--,,60.6,5.416666666666667,
NO,EIV,Eidsv�g,Eidsvag,12,RL,--3-----,,60.43333333333333,5.333333333333333,
NO,EGD,Eigersund,Eigersund,11,AI,1-------,,58.459643,6.096952,true
NO,EKF,Eikefet,Eikefet,12,AA,1-------,,60.7,5.55,
NO,EIK,Eikefjord,Eikefjord,14,RL,1-3-----,,61.583333333333336,5.466666666666667,
NO,ELO,Eikelandsosen,Eikelandsosen,12,RL,1-3-----,,60.233333333333334,5.75,
NO,ENA,Eina,Eina,05,AF,-23-----,,60.5722682,10.6534553,true
NO,EVV,Eivindvik,Eivindvik,14,RL,1-3-----,,60.983333333333334,5.083333333333333,
NO,ELL,Ellings�y,Ellingsoy,15,AA,1-3-----,,62.5,6.333333333333333,
NO,ELN,Elnesv�gen,Elnesvagen,15,RL,1-3-----,,62.85,7.133333333333334,
NO,ELV,Elverum,Elverum,04,AF,-23-----,,60.877543,11.561455,true
NO,NZK,Enebakk,Enebakk,02,RL,-----6--,,59.766666666666666,11.15,
NO,EGV,Engelsviken,Engelsviken,01,RL,--3-----,,59.25,10.733333333333333,
NO,ENG,Engene,Engene,06,RL,1-3-----,,59.68333333333333,10.533333333333333,
NO,ERF,Erfjord - Suldal,Erfjord - Suldal,11,AA,1-------,,59.333333333333336,6.216666666666667,
NO,ERS,Ersfjord,Ersfjord,19,AA,--3-----,,69.48333333333333,17.383333333333333,
NO,HDV,Ervik,Ervik,12,AA,--3-----,,60.45,5.3,
NO,EPA,Espa,Espa,12,RL,-23-----,,60.56666666666667,11.266666666666667,
NO,DDY,Espenesbogen,Espenesbogen,19,AA,1-------,,69.11666666666666,17.75,
NO,ESP,Espevik,Espevik,11,RL,1-3-----,,59.31666666666667,5.666666666666667,
NO,ETN,Etne,Etne,12,AA,1-------,,59.65,5.916666666666667,
NO,EVE,Evenesmarkja,Evenesmarkja,18,AF,--34----,,68.48333333333333,16.75,
NO,EVT,Evenestangen,Evenestangen,18,AA,1-------,,68.01666666666667,16,
NO,EVJ,Evje,Evje,09,AF,--3-----,,59.2429917,10.9893222,true
NO,EYD,Eydehavn,Eydehavn,09,AA,1-3-----,,58.483333333333334,8.866666666666667,
NO,FBE,F�berg,Faberg,05,RL,--3-----,,61.166666666666664,10.4,
NO,FGN,Fagernes,Fagernes,05,AF,-234----,VDB,59.05829,9.90661,true
NO,FAX,Fagerstrand,Fagerstrand,08,AF,1-3-----,,59.93333333333333,8.8,
NO,FAL,Faleide,Faleide,14,RL,--3-----,,61.88333333333333,6.6,
NO,FNA,Fana,Fana,12,RL,--3-----,,60.3,5.383333333333334,
NO,FAN,Farsund,Farsund,10,AA,1-34----,ZXO,58.083333333333336,6.8,
NO,FAU,Fauske,Fauske,18,AA,123-----,,67.25,15.383333333333333,
NO,FAV,F�vang,Favang,05,RL,--3-----,,61.45,10.183333333333334,
NO,FED,Fedje,Fedje,12,AA,1-------,,60.766666666666666,4.7,
NO,FEI,Feios,Feios,14,RL,--3-----,,61.13333333333333,6.75,
NO,FSV,Festv�g,Festvag,18,AA,1-------,,67.43333333333334,14.766666666666667,
NO,FSU,Fetsund,Fetsund,19,RQ,--3-----,,59.925566,11.162218,true
NO,FTU,Fetsund,Fetsund,02,RL,--3-----,,59.916666666666664,11.15,
NO,FEV,Fevik,Fevik,09,RL,--3-----,,58.38333333333333,8.7,
NO,NN4,Finnastad,Finnastad,11,RL,--3-----,,58.983333333333334,5.666666666666667,
NO,FND,Finneid,Finneid,18,AA,1-------,,67.25,15.416666666666666,
NO,FIN,Finneidfjord,Finneidfjord,18,AA,1-------,,66.18333333333334,13.783333333333333,
NO,FFB,Finnfjordbotn,Finnfjordbotn,19,RQ,1-3-----,,69.21666666666667,18.083333333333332,
NO,FNY,Finn�y,Finnoy,11,AA,1-------,,59.166666666666664,5.8,
NO,FNE,Finnsnes,Finnsnes,19,AA,1-3-----,,69.21666666666667,17.966666666666665,
NO,FSK,Fisk�bygd - Vanylven,Fiskabygd - Vanylven,15,AA,1-------,,62.1,5.55,
NO,FST,Fiskarstrand,Fiskarstrand,15,AA,1-------,,62.45,6.283333333333333,
NO,FSA,Fiskarstranda,Fiskarstranda,15,RL,--3-----,,62.45,6.283333333333333,
NO,FBL,Fiskeb�l,Fiskebol,18,AA,1-------,,68.43333333333334,14.816666666666666,
NO,FTR,Fister,Fister,11,RL,--3-----,,59.166666666666664,6.05,
NO,FIT,Fitjar,Fitjar,12,AA,1-------,,59.916666666666664,5.316666666666666,
