country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
NZ,AHU,Ahuriri,Ahuriri,HKB,RL,--3-----,,-39.483333333333334,176.9,
NZ,AKA,Akaroa,Akaroa,CAN,AC,1-------,,-43.8,172.95,
NZ,ABY,Albany,Albany,AUK,RL,--3-----,,-36.71666666666667,174.68333333333334,
NZ,ALR,Alexandra,Alexandra,OTA,AC,---4----,,-45.2106438,169.37137179617804,true
NZ,AMB,Amberley,Amberley,CAN,RL,--3-----,,-43.166666666666664,172.73333333333332,
NZ,ANU,Aranui,Aranui,CAN,RL,--3-----,,-43.516666666666666,172.7,
NZ,AWK,Arapuni,Arapuni,WKO,RL,--3-----,,-38.06666666666667,175.65,
NZ,AMZ,Ardmore,Ardmore,AUK,AC,---4----,,-37.031213550000004,174.97445512861643,true
NZ,ART,Arrowtown,Arrowtown,OTA,RL,--3-----,,-44.93333333333333,168.83333333333334,
NZ,ASG,Ashburton,Ashburton,CAN,AC,--34----,,-43.916666666666664,171.75,
NZ,AKL,Auckland,Auckland,AUK,AC,12345---,,-36.833333333333336,174.8,
NZ,AVA,Avalon,Avalon,WGN,RL,--3-----,,-41.18333333333333,174.93333333333334,
NZ,AVD,Avondale,Avondale,AUK,RL,--3-----,,-36.88333333333333,174.7,
NZ,AVH,Avonhead,Avonhead,CAN,RL,--3-----,,-43.516666666666666,172.56666666666666,
NZ,AWT,Awatoto,Awatoto,HKB,RL,--3-----,,-39.55,176.9,
NZ,BAL,Balclutha,Balclutha,OTA,RL,--3-----,,-46.233333333333334,169.73333333333332,
NZ,BKB,Bannockburn,Bannockburn,OTA,RL,--3-----,,-45.083333333333336,169.16666666666666,
NZ,BYW,Bayswater,Bayswater,AUK,RL,--3-----,,-36.8,174.76666666666668,
NZ,BEL,Belfast,Belfast,CAN,RQ,--3-----,,-43.43333333333333,172.63333333333333,
NZ,BMT,Belmont,Belmont,AUK,RL,--3-----,,-36.8,174.78333333333333,
NZ,BHE,Blenheim,Blenheim,MBH,AC,--34----,,-41.516666666666666,173.96666666666667,
NZ,BLU,Bluff,Bluff,STL,AC,123-----,,-46.6,168.31666666666666,
NZ,WBG,Brightwater,Brightwater,NSN,RL,--3-----,,-41.38333333333333,173.11666666666667,
NZ,BMY,Bromley,Bromley,CAN,RL,--3-----,,-43.55,172.7,
NZ,BUL,Bulls,Bulls,MWT,RL,--3-----,,-40.166666666666664,175.38333333333333,
NZ,BUR,Burnham,Burnham,CAN,RL,--3-----,,-43.61666666666667,172.31666666666666,
NZ,BUW,Burnham Wharf,Burnham Wharf,WGN,AA,1-------,,-41.3,174.8,
NZ,BWD,Burwood,Burwood,CAN,RL,--3-----,,-43.5,172.7,
NZ,CGE,Cambridge,Cambridge,WKO,RQ,--3-----,,-37.8917889,175.4691069,true
NZ,CTN,Carterton,Carterton,WGN,RL,--3-----,,-41.016666666666666,175.55,
NZ,CHT,Chatham Island,Chatham Island,CAN,AC,---4----,,-43.813453949999996,-176.47291882081498,true
NZ,CSA,Chelsea,Chelsea,AUK,AA,1-3-----,,-36.81666666666667,174.71666666666667,
NZ,CHE,Cheviot,Cheviot,CAN,AC,--3-----,,-42.81666666666667,173.26666666666668,
NZ,CHC,Christchurch,Christchurch,CAN,AC,--34----,,-43.53333333333333,172.63333333333333,
NZ,CFT,Clifton,Clifton,CAN,RL,-----6--,,-43.55,172.75,
NZ,CLY,Clyde,Clyde,OTA,RL,--3-----,,-45.18333333333333,169.31666666666666,
NZ,CMV,Coromandel,Coromandel,WKO,AI,---4----,,-36.766666666666666,175.5,
NZ,CRO,Cromwell,Cromwell,OTA,RL,--3-----,,-45.05,169.23333333333332,
NZ,DAN,Dannevirke,Dannevirke,NTL,RL,-23-----,,-40.2,176.08333333333334,
NZ,DGR,Dargaville,Dargaville,NTL,AC,--34----,,-35.93333333333333,173.88333333333333,
NZ,DSB,Days Bay,Days Bay,WGN,RL,--3-----,,-41.266666666666666,174.91666666666666,
NZ,DPC,Deep Cove,Deep Cove,STL,AC,1-------,,-45.45,167.15,
NZ,DEV,Devonport,Devonport,AUK,AC,1-------,,-36.833333333333336,174.78333333333333,
NZ,DGO,Doubtful Sound,Doubtful Sound,STL,AC,--3-----,,-45.28333333333333,166.85,
NZ,DRR,Drury,Drury,AUK,RL,-----6--,,-37.1,174.95,
NZ,DUD,Dunedin,Dunedin,OTA,AC,-234----,,-45.86666666666667,170.5,
NZ,DUS,Dusky Sound,Dusky Sound,STL,RQ,0-------,,-45.78333333333333,166.46666666666667,
NZ,EAC,Earnscleugh,Earnscleugh,OTA,RL,--3-----,,-45.21666666666667,169.31666666666666,
NZ,ETM,East Tamaki,East Tamaki,AUK,RL,--3-----,,-36.95,174.9,
NZ,ERH,Edendale,Edendale,STL,RL,-23-----,,-46.31666666666667,168.78333333333333,
NZ,EDC,Edgecumbe,Edgecumbe,BOP,RQ,--3-----,,-37.96666666666667,176.81666666666666,
NZ,ELM,Eltham,Eltham,TKI,RL,--3-----,,-39.43333333333333,174.3,
NZ,FLD,Feilding,Feilding,MWT,RQ,--3-----,,-40.21666666666667,175.55,
NZ,FDT,Fendalton,Fendalton,CAN,RL,--3-----,,-43.516666666666666,172.6,
NZ,FEE,Fernside,Fernside,CAN,RL,--3-----,,-43.31666666666667,172.53333333333333,
NZ,FOR,Fortrose,Fortrose,STL,AC,--3-----,,-46.56666666666667,168.8,
NZ,FGL,Fox Glacier,Fox Glacier,WTC,AI,---4----,,-43.5,170.08333333333334,
NZ,FOX,Foxton,Foxton,MWT,AC,--3-----,,-40.46666666666667,175.3,
NZ,FKT,Frankton,Frankton,OTA,RL,--3-----,,-45.016666666666666,168.71666666666667,
NZ,WHO,Franz Josef,Franz Josef,WTC,AI,---4----,,-43.4,170.18333333333334,
NZ,GAL,Galatea,Galatea,BOP,RQ,--3-----,,-38.68333333333333,176.78333333333333,
NZ,GIS,Gisborne,Gisborne,GIS,AC,1-34----,,-38.666666666666664,178.03333333333333,
NZ,GED,Glen Eden,Glen Eden,AUK,RL,--3-----,,-36.916666666666664,174.65,
NZ,GLE,Glenavy,Glenavy,CAN,RL,1-------,,-44.916666666666664,171.1,
NZ,GF4,Glenfield,Glenfield,AUK,RL,--3-----,,-36.766666666666666,174.71666666666667,
