country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
OM,ALA,Al Azaiba,Al Azaiba,MA,RL,--3-----,,-23.6,58.53333333333333,
OM,AMZ,Al Mazunah,Al Mazunah,ZU,AM,--3--6--,,17.833333333333332,52.63333333333333,
OM,AMR,Al'Amrat,Al'Amrat,MA,RL,--3-----,,23.516666666666666,58.483333333333334,
OM,SUW,Al-Suwaiq,Al-Suwaiq,BJ,AA,1-------,,23.85,57.43333333333333,
OM,BKK,Barka,Barka,BA,RL,--3-----,,23.7,57.55,
OM,BID,Bidbid,Bidbid,DA,RL,--3-----,,23.4,58.11666666666667,
OM,RMB,Buraimi,Buraimi,,AI,---4----,,24.1614948,56.14641019717474,true
OM,BYB,Dibaa,Dibaa,,AI,---4----,,,,
OM,DQM,Duqm,Duqm,WU,RL,1-3-----,,19.65,57.7,
OM,FAH,Fahal,Fahal,MA,RL,1-------,,23.683333333333334,58.5,
OM,R2H,Ghurah,Ghurah,BA,RL,--3-----,,23.516666666666666,57.18333333333333,
OM,KHS,Khasab,Khasab,,AI,---4----,,26.1713455,56.23958351506205,true
OM,KDP,Khazaen,Khazaen,BJ,AM,--3--6--,,23.55,57.8,
OM,OMM,Marmul,Marmul,,AI,---4----,,18.17467,55.21509,true
OM,MSH,Masirah,Masirah,SH,AI,---4----,,20.416666666666668,58.833333333333336,
OM,MFH,Mina' al Fahl,Mina' al Fahl,MA,RL,1-------,,23.633333333333333,58.516666666666666,
OM,MNQ,Mina' Qabus,Mina' Qabus,MA,RL,--3-----,,23.616666666666667,58.56666666666667,
OM,STQ,"""Mina Sultan Qaboos"," Muscat""","""Mina Sultan Qaboos"," Muscat""",,1-3-----,23.22806,57.55944,true
OM,MCT,Muscat,Muscat,MA,AI,1--45---,,23.6,58.583333333333336,
OM,MUT,Muthra,Muthra,,QQ,1-------,,,,
OM,NIZ,Nizwa,Nizwa,DA,RL,--3-----,,22.933333333333334,57.53333333333333,
OM,OPQ,Port Qaboos,Port Qaboos,,QQ,1-------,,16.943103,53.997588,true
OM,SUL,Port Sultan,Port Sultan,,RQ,1-------,,23.616666666666667,58.63333333333333,
OM,QAL,Qalhat,Qalhat,SH,RL,1-3-----,,22.7,59.36666666666667,
OM,QLM,Qarn Alam,Qarn Alam,WU,RL,--3-----,,21.3,57.083333333333336,
OM,QUO,Quoin Island,Quoin Island,,RQ,1-------,,26.583333333333332,56.516666666666666,
OM,QYT,Qurayyat,Qurayyat,MA,RL,--3-----,,23.316666666666666,58.9,
OM,RAY,Raysut,Raysut,,QQ,1-------,,16.94698,53.9968,true
OM,RUS,Rusayl,Rusayl,MA,RL,--3-----,,23.533333333333335,58.18333333333333,
OM,RWI,Ruwi,Ruwi,,RQ,0-------,,23.5995525,58.550656,true
OM,SAF,Safa,Safa,DA,RL,--3-----,,23.783333333333335,56.68333333333333,
OM,SLL,Salalah,Salalah,,AI,1--4----,,17.0396772,54.09394269643396,true
OM,SEE,Seeb,Seeb,,RL,--3-----,,23.583333333333332,58.28333333333333,
OM,SHI,Shinas,Shinas,BS,RL,1-------,,24.733333333333334,56.46666666666667,
OM,SOH,Sohar,Sohar,,QQ,1-------,,24.357754149999998,56.71370491200584,true
OM,OFC,Sur,Sur,SJ,RL,1-------,,22.65,59.43333333333333,
OM,SUH,Sur,Sur,,AI,---4----,,22.5675025,59.50209788222476,true
OM,TTH,Thumrait,Thumrait,,RQ,--34----,,17.66558585,54.02562327366079,true
