country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
PA,ACH,Achiote,Achiote,3,RL,--3-----,,9.216666666666667,-80.01666666666667,
PA,ACU,Achutupo,Achutupo,,AI,---4----,,9.185525,-77.9837048,true
PA,ABA,Agua Buena,Agua Buena,7,RL,--3--6--,,7.816666666666666,-80.4,
PA,ABN,"""Agua Buena"," Tonosi""","""Agua Buena"," Tonosi""",7,--3-----,7.8368749,-80.3997946,true
PA,AGF,Agua Fria,Agua Fria,5,RL,--3-----,,7.416666666666667,-80.81666666666666,
PA,AGD,Aguadulce,Aguadulce,,AI,1-------,,8.2420503,-80.5390601,true
PA,AIL,Ailigandi,Ailigandi,,AI,---4----,,9.30609805,-78.23558756669715,true
PA,ALA,Alanje,Alanje,4,RL,--3-----,,8.4,-82.55,
PA,VQR,Albrook,Albrook,8,RL,--3-----,,8.966666666666667,-79.56666666666666,
PA,ADZ,Alcalde D�az,Alcalde Diaz,8,RL,--3-----,,9.116666666666667,-79.55,
PA,PAM,Almirante,Almirante,,AI,1-------,,9.2939457,-82.3959649,true
PA,ABQ,Alto Boquete,Alto Boquete,4,RL,--3-----,,8.75,-82.43333333333334,
PA,ADG,Altos de G�era,Altos de Guera,7,RL,--3-----,,7.533333333333333,-80.63333333333334,
PA,AMD,Amador,Amador,9,RL,--3-----,,9.066666666666666,-79.9,
PA,ACO,Ancon,Ancon,8,RL,1-3-----,,8.966666666666667,-79.55,
PA,ANT,Ant�n,Anton,2,RL,--3-----,,8.4,-80.26666666666667,
PA,ARS,Arenas,Arenas,9,RL,--3-----,,7.366666666666666,-80.85,
PA,ASA,Arenosa,Arenosa,8,RL,--3-----,,9.033333333333333,-79.95,
PA,AMA,Arosemena,Arosemena,9,RL,--3-----,,8.966666666666667,-79.95,
PA,ARR,Arraij�n,Arraijan,8,RL,--3-----,,8.95,-79.65,
PA,ATA,Atalaya,Atalaya,9,RL,--3-----,,8.05,-80.93333333333334,
PA,BAC,Baco,Baco,4,RL,--3-----,,8.066666666666666,-82.86666666666666,
PA,BAG,B�gala,Bagala,4,RL,--3-----,,8.466666666666667,-82.53333333333333,
PA,BHH,Bah�a Honda,Bahia Honda,7,RL,--3-----,,7.683333333333334,-80.45,
PA,BHP,Bah�a Honda,Bahia Honda,10,RL,--3-----,,7.75,-81.51666666666667,
PA,PBM,Bah�a Las Minas,Bahia Las Minas,3,RL,1-------,,9.4,-79.83333333333333,
PA,BFQ,Bah�a Pi�a,Bahia Pina,5,AI,---4----,,7.566666666666666,-78.2,
PA,BCL,Bajo Corral,Bajo Corral,7,RL,--3-----,,7.6,-80.26666666666667,
PA,BGA,Bajos de G�era,Bajos de Guera,7,RL,--3-----,,7.55,-80.61666666666666,
PA,BLB,Balboa,Balboa,,AI,1-------,,8.9495435,-79.5529019,true
PA,BNZ,Barnizal,Barnizal,10,RL,--3-----,,8.416666666666666,-80.76666666666667,
PA,BUS,Barrios Unidos,Barrios Unidos,2,RL,--3-----,,8.2,-80.51666666666667,
PA,BST,Bastimentos,Bastimentos,1,RL,--3-----,,9.35,-82.2,
PA,BAY,Bayano,Bayano,7,RL,1-3-----,,7.633333333333333,-80.38333333333334,
PA,BJO,Bejuco,Bejuco,9,RL,--3-----,,8.6,-79.88333333333334,
PA,BFS,Belisario Frias,Belisario Frias,8,RL,-----6--,,9.066666666666666,-79.48333333333333,
PA,BEL,Bella Vista,Bella Vista,,RL,--3-----,,8.566666666666666,-80.18333333333334,
PA,BJG,Bijagual,Bijagual,4,RL,--3-----,,8.516666666666667,-82.35,
PA,BVS,Bisvalles,Bisvalles,10,RL,--3-----,,8.166666666666666,-81.21666666666667,
PA,BCC,Boca Chica,Boca Chica,4,RL,1-3-----,,8.216666666666667,-82.21666666666667,
PA,BDC,Boca de Cupe,Boca de Cupe,5,RL,--3-----,,8.05,-77.58333333333333,
PA,BDM,Boca del Monte,Boca del Monte,4,RL,--3-----,,8.35,-82.11666666666666,
PA,BOC,Bocas del Toro,Bocas del Toro,1,RL,1-34----,,9.333333333333334,-82.23333333333333,
PA,BOQ,Boquer�n,Boqueron,4,RL,--3-----,,9.35,-79.56666666666666,
PA,BQT,Boquete,Boquete,,RL,--3-----,,8.766666666666667,-82.43333333333334,
PA,BNN,Bre��n,Brenon,4,RL,--3-----,,8.633333333333333,-82.81666666666666,
PA,BJS,Brujas,Brujas,8,RL,--3-----,,8.583333333333334,-78.51666666666667,
PA,CON,Buena Vista,Buena Vista,3,RL,--3-----,,9.266666666666667,-79.68333333333334,
PA,BAS,Buenos Aires,Buenos Aires,9,RL,--3-----,,8.633333333333333,-79.95,
PA,PZA,Bugaba,Bugaba,4,RL,-----6--,,8.483333333333333,-82.61666666666666,
PA,CBL,Caballero,Caballero,2,RL,--3-----,,8.55,-80.2,
PA,CBA,Cabuya,Cabuya,9,RL,--3-----,,8.583333333333334,-79.91666666666667,
PA,CYA,Cabuya,Cabuya,6,RL,--3-----,,8.033333333333333,-80.63333333333334,
PA,CCQ,Cacique,Cacique,3,RL,--3-----,,9.616666666666667,-79.61666666666666,
PA,CMT,Caimitillo,Caimitillo,8,RL,--3-----,,9.15,-79.53333333333333,
PA,CAM,Caimito,Caimito,9,RL,--3-----,,8.816666666666666,-79.95,
PA,CLD,Caldera,Caldera,4,RL,--3-----,,8.65,-82.38333333333334,
PA,CDE,Caledonia,Caledonia,,AI,---4----,,8.9187863,-77.70935815252186,true
PA,CLA,Calidonia,Calidonia,10,RL,--3-----,,7.95,-81.38333333333334,
PA,CLB,Calobre,Calobre,9,RL,--3-----,,8.316666666666666,-80.85,
PA,CLV,Calov�bora,Calovebora,10,RL,--3-----,,8.8,-81.21666666666667,
PA,CMB,Cambutal,Cambutal,7,RL,--3-----,,7.266666666666667,-80.48333333333333,
PA,CMG,Camogant�,Camoganti,5,RL,--3-----,,8.133333333333333,-77.88333333333334,
PA,CMP,Campana,Campana,9,RL,--3-----,,8.716666666666667,-79.9,
PA,CNS,Ca�as,Canas,7,RL,--3-----,,7.45,-80.26666666666667,
PA,CGS,Ca�as Gordas,Canas Gordas,4,RL,--3-----,,8.733333333333333,-82.9,
PA,CNV,Ca�averal,Canaveral,2,RL,--3-----,,8.516666666666667,-80.43333333333334,
PA,CZZ,Ca�azas,Canazas,,RL,1-3--6--,,8.133333333333333,-80.7,
PA,CNT,Ca�ita,Canita,8,RL,--3-----,,9.2,-78.86666666666666,
PA,CGO,Canta Gallo,Canta Gallo,4,RL,--3-----,,8.35,-82.61666666666666,
PA,CDL,Canto del Llano,Canto del Llano,10,RL,--3-----,,8.116666666666667,-80.96666666666667,
PA,CPL,Capellan�a,Capellania,2,RL,--3-----,,8.3,-80.55,
PA,CAP,Capira,Capira,9,RL,--3-----,,8.75,-79.88333333333334,
PA,CSA,Carlos Santana Avila,Carlos Santana Avila,10,RL,--3-----,,8.1,-80.83333333333333,
PA,CTE,Cart� Tupile,Carti Tupile,,AI,---4----,,9.483333333333333,-78.96666666666667,
PA,CTV,Cativ�,Cativa,3,RL,--3-----,,9.35,-79.83333333333333,
PA,CDN,Catorce De Noviembre,Catorce De Noviembre,10,RL,--3-----,,7.933333333333334,-81.1,
PA,CCH,Cauchero,Cauchero,1,RL,--3-----,,9.15,-82.26666666666667,
PA,CBC,Cebaco,Cebaco,10,RL,--3-----,,7.566666666666666,-81.06666666666666,
PA,CMO,Cerme�o,Cermeno,9,RL,--3-----,,8.733333333333333,-79.85,
PA,CZL,Cerro Azul,Cerro Azul,8,RL,--3-----,,9.166666666666666,-79.41666666666667,
PA,CCA,Cerro de Casa,Cerro de Casa,10,RL,--3-----,,8.116666666666667,-81.55,
PA,CLG,Cerro Largo,Cerro Largo,6,RL,--3-----,,7.833333333333333,-80.83333333333333,
PA,CPA,Cerro Punta,Cerro Punta,4,RL,--3-----,,8.85,-82.56666666666666,
PA,CHM,Chame,Chame,9,RL,--3-----,,8.583333333333334,-79.88333333333334,
PA,CHX,Changuinola,Changuinola,1,RL,--34----,,9.46054445,-82.51415963328114,true
PA,CHA,Charco Azul,Charco Azul,,RQ,1-------,,8.4872417,-82.42151602123556,true
PA,CHP,Chepillo,Chepillo,8,RL,--3-----,,8.366666666666667,-78.83333333333333,
PA,CHE,Chepo,Chepo,7,RL,--3-----,,9.166666666666666,-79.1,
PA,CHO,Chepo,Chepo,6,RL,--3-----,,7.733333333333333,-80.81666666666666,
PA,CHC,Chic�,Chica,9,RL,--3-----,,8.666666666666666,-79.93333333333334,
PA,CGA,Chiguir� Arriba,Chiguiri Arriba,2,RL,--3-----,,8.666666666666666,-80.18333333333334,
PA,CHB,Chilibre,Chilibre,1,RL,--3-----,,9.166666666666666,-79.61666666666666,
PA,CHI,Chilibre,Chilibre,8,RL,--3-----,,9.15,-79.61666666666666,
PA,CHN,Chim�n,Chiman,8,RL,--3-----,,8.716666666666667,-78.63333333333334,
PA,CHQ,Chiriqu�,Chiriqui,4,RL,--3-----,,9.383333333333333,-82.33333333333333,
PA,CHG,Chiriqu� Grande,Chiriqui Grande,,RL,1-3-----,,8.95,-82.11666666666666,
PA,CTD,Chitre,Chitre,6,AI,1--4----,,7.966666666666667,-80.43333333333334,
PA,CML,Chumical,Chumical,6,RL,--3-----,,8.5,-82.53333333333333,
PA,CUP,Chup�,Chupa,7,RL,--3-----,,7.8,-80.58333333333333,
PA,CPP,Chupampa,Chupampa,6,RL,--3-----,,8.083333333333334,-80.78333333333333,
PA,CLS,Cir� de Los Sotos,Ciri de Los Sotos,9,RL,--3-----,,8.966666666666667,-80.08333333333333,
PA,CRP,Cir� Grande,Ciri Grande,9,RL,--3-----,,8.866666666666667,-80.05,
PA,CRT,Ciruelito,Ciruelito,2,RL,--3-----,,8.45,-80.45,
PA,CCG,Cochigro,Cochigro,1,RL,--3-----,,9.3,-82.55,
PA,CCL,Cocl�,Cocle,2,RL,--3-----,,8.45,-80.43333333333334,
PA,CCN,Cocl� del Norte,Cocle del Norte,3,RL,--3-----,,9.083333333333334,-80.58333333333333,
PA,CSO,Coco Solo,Coco Solo,,RQ,--3-----,,9.373487,-79.8792771,true
PA,CLI,Cocoli,Cocoli,8,RL,--3-----,,8.983333333333333,-79.58333333333333,
PA,ONX,Col�n,Colon,3,AI,1-345---,,9.35,-79.86666666666666,
PA,CFZ,Col�n Free Zone,Colon Free Zone,3,RL,--3-----,,9.35,-79.9,
PA,OTD,Contadora,Contadora,,AI,---4----,,8.6289262,-79.0345899,true
PA,CZJ,Coraz�n de Jes�s,Corazon de Jesus,KY,AI,---4----,,9.45,-78.58333333333333,
PA,COZ,Corozal,Corozal,10,RL,--3-----,,8.083333333333334,-81.43333333333334,
PA,CRZ,Corozal,Corozal,7,RL,--3-----,,7.75,-80.48333333333333,
PA,CZO,Corozal,Corozal,,RL,--3-----,,8.983333333333333,-79.56666666666666,
PA,CFL,Corral Falso,Corral Falso,10,RL,--3-----,,8.866666666666667,-79.71666666666667,
PA,CTB,Crist�bal,Cristobal,3,AI,1-------,,9.35,-79.9,
PA,CUC,Cucunat�,Cucunati,5,RL,--3-----,,8.566666666666666,-78.25,
PA,CUR,Curundu,Curundu,8,RL,--3-----,,8.983333333333333,-79.55,
PA,DAV,David,David,,AI,---4----,,8.4371469,-82.4286281,true
PA,DIV,Dival�,Divala,4,RL,--3-----,,8.416666666666666,-82.71666666666667,
PA,DVA,Divisa,Divisa,6,RL,--3-----,,8.133333333333333,-80.68333333333334,
PA,DLG,Dolega,Dolega,4,RL,--3-----,,8.566666666666666,-82.41666666666667,
PA,DMN,Dominical,Dominical,4,RL,--3-----,,8.666666666666666,-82.78333333333333,
PA,EDF,Edwin Fabrega,Edwin Fabrega,10,RL,--3-----,,8.05,-81.01666666666667,
PA,ELA,El Alto,El Alto,10,RL,-----6--,,8.516666666666667,-81.05,
PA,ELM,El Aromillo,El Aromillo,10,RL,--3-----,,8.35,-81.15,
PA,ELB,El Barrero,El Barrero,6,RL,--3-----,,7.933333333333334,-80.51666666666667,
PA,EBD,El Bebedero,El Bebedero,7,RL,--3-----,,7.416666666666667,-80.46666666666667,
PA,EBG,El Bongo,El Bongo,4,RL,--3-----,,8.583333333333334,-82.61666666666666,
PA,ECA,El Cacao,El Cacao,9,RL,--3-----,,8.766666666666667,-80.01666666666667,
PA,ECC,El Cacao,El Cacao,7,RL,--3-----,,7.5,-80.55,
PA,ECL,El Calabacito,El Calabacito,6,RL,--3-----,,7.716666666666667,-80.6,
PA,ELF,El Ca�af�stulo,El Canafistulo,7,RL,--3-----,,7.616666666666667,-80.23333333333333,
PA,ELC,El Cangrejo,El Cangrejo,8,RL,--3-----,,8.983333333333333,-79.53333333333333,
PA,ELN,El Ca�o,El Cano,2,RL,--3-----,,8.4,-80.51666666666667,
PA,ELP,El Capur�,El Capuri,6,RL,--3-----,,7.716666666666667,-80.65,
PA,ELT,El Carate,El Carate,7,RL,--3-----,,7.733333333333333,-80.3,
PA,ECD,El Cedro,El Cedro,6,RL,--3-----,,7.683333333333334,-80.65,
PA,ECR,El Cedro,El Cedro,7,RL,--3-----,,7.783333333333333,-80.53333333333333,
PA,ECH,El Chir�,El Chiru,2,RL,--3-----,,8.4,-80.2,
PA,ERR,El Chorrillo,El Chorrillo,8,RL,--3-----,,8.95,-79.53333333333333,
PA,ECI,El Cirial (Isla Iguana),El Cirial (Isla Iguana),7,RL,--3-----,,7.616666666666667,-79.98333333333333,
PA,ECU,El Ciruelito,El Ciruelito,2,RL,--3-----,,8.55,-80.11666666666666,
PA,ELO,El Cocal,El Cocal,7,RL,--3-----,,7.733333333333333,-80.28333333333333,
PA,CCO,El Coco,El Coco,2,RL,--3-----,,8.4,-80.35,
PA,ECO,El Coco,El Coco,9,RL,--3-----,,8.866666666666667,-79.8,
PA,ECP,El Cop�,El Cope,2,RL,--3-----,,8.433333333333334,-80.68333333333334,
PA,ECT,El Cortezo,El Cortezo,7,RL,--3-----,,7.433333333333334,-80.63333333333334,
PA,ECS,El Cristo,El Cristo,2,RL,--3-----,,8.25,-80.61666666666666,
