country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
PE,AB4,Abancay,Abancay,APU,RL,-23-----,,-13.633333333333333,-72.86666666666666,
PE,ACA,Acar�,Acari,ARE,RL,--3-----,,-15.416666666666666,-74.6,
PE,ACB,Acobamba,Acobamba,HUV,RL,--3-----,,-12.833333333333334,-74.56666666666666,
PE,ACO,Acomayo,Acomayo,CUS,RL,--3-----,,-13.916666666666666,-71.66666666666667,
PE,AIJ,Aija,Aija,ANC,RL,--3-----,,-9.766666666666667,-77.63333333333334,
PE,ALD,Alerta,Alerta,,AI,---4----,,-11.6998406,-69.199206,true
PE,HAN,Ambo,Ambo,HUC,RL,--3-----,,-10.133333333333333,-76.2,
PE,ANC,Anc�n,Ancon,LIM,RL,1-------,,-11.766666666666667,-77.16666666666667,
PE,ANS,Andahuaylas,Andahuaylas,,AI,---4----,,-13.709079,-73.35160446460571,true
PE,ANG,Angamos,Angamos,UCA,RL,--3-----,,-8.416666666666666,-74.48333333333333,
PE,ATA,Anta,Anta,,AI,---4----,,-9.34818315,-77.59829150858305,true
PE,ANT,Antabamba,Antabamba,APU,RL,--3-----,,-14.366666666666667,-72.88333333333334,
PE,AQP,Arequipa,Arequipa,,AI,---4----,,-16.3988667,-71.5369607,true
PE,ARI,Arica,Arica,,RQ,--3-----,,-15.533333333333333,-73.13333333333334,
PE,ATY,Atalaya,Atalaya,UCA,RL,--3-----,,-10.733333333333333,-73.75,
PE,ATI,Atico,Atico,,QQ,1-------,,-16.2084572,-73.6232865,true
PE,AYP,Ayacucho,Ayacucho,,AI,---4----,,-13.1604269,-74.2256973,true
PE,AZA,Az�ngaro,Azangaro,PUN,RL,--3-----,,-14.9,-70.18333333333334,
PE,BAG,Bagua,Bagua,AMA,RL,--3-----,,-5.633333333333333,-78.53333333333333,
PE,BAA,Barranca,Barranca,LIM,RL,--3-----,,-10.75,-77.76666666666667,
PE,PUB,Bayovar,Bayovar,PIU,RL,1-------,,-5.85,-81.06666666666666,
PE,BLP,Bellavista,Bellavista,,AI,---4----,,-5.58876595,-78.77508577890823,true
PE,CAB,Cabo Blanco,Cabo Blanco,,AI,1-------,,-4.2507932,-81.2311114,true
PE,CAI,Cailloma,Cailloma,ARE,RL,-----6--,,-15.183333333333334,-71.76666666666667,
PE,CAJ,Cajabamba,Cajabamba,CAJ,RL,--3-----,,-7.616666666666667,-78.03333333333333,
PE,CJA,Cajamarca,Cajamarca,,AI,---4----,,-7.13845645,-78.48983644732348,true
PE,CJT,Cajatambo,Cajatambo,LIM,RL,--3-----,,-10.483333333333333,-77.03333333333333,
PE,CAC,Calca,Calca,CUS,RL,--3-----,,-13.316666666666666,-71.95,
PE,CLL,Callao,Callao,,AI,1-------,,-12.0522626,-77.1391133,true
PE,CND,Candarave,Candarave,TAC,RL,--3-----,,-17.266666666666666,-70.25,
PE,CAN,Cangallo,Cangallo,AYA,RL,--3-----,,-13.616666666666667,-74.13333333333334,
PE,CTA,Canta,Canta,LIM,RL,--3-----,,-11.466666666666667,-76.61666666666666,
PE,L8M,Carabayllo,Carabayllo,LIM,RL,--3-----,,-11.85,-77.03333333333333,
PE,CHZ,Carhuaz,Carhuaz,ANC,RL,--3-----,,-9.266666666666667,-77.63333333333334,
PE,CDL,Carmen de la Legua,Carmen de la Legua,CAL,RL,--3-----,,-12.033333333333333,-77.08333333333333,
PE,CAS,Casma,Casma,ANC,RL,--3-----,,-9.466666666666667,-78.31666666666666,
PE,CTY,Castrovirreyna,Castrovirreyna,HUV,RL,--3-----,,-13.266666666666667,-75.31666666666666,
PE,CEL,Celend�n,Celendin,CAJ,RL,--3-----,,-6.85,-78.13333333333334,
PE,CRZ,Cerro Azul,Cerro Azul,LIM,RL,--3-----,,-13.016666666666667,-76.48333333333333,
PE,PSC,Cerro de Pasco,Cerro de Pasco,PAS,RL,-----6--,,-10.683333333333334,-76.26666666666667,
PE,CHH,Chachapoyas,Chachapoyas,,AI,---4----,,-6.2021601,-77.85583641070252,true
PE,CHN,Chanc�n,Chancan,,RL,--3-----,,-16.2,-72.48333333333333,
PE,CHY,Chancay,Chancay,,AI,1-------,,-11.5627697,-77.2699958,true
PE,CHA,Chanchamayo,Chanchamayo,ICA,RQ,-----6--,,-13.7,-75.8,
PE,CHE,Chepen,Chepen,LAL,RL,-23-----,,-7.216666666666667,-79.45,
PE,CIX,Chiclayo,Chiclayo,,AI,---4----,,-6.789894,-79.82690272407297,true
PE,CHM,Chimbote,Chimbote,,AI,1--4----,,-9.0744966,-78.593609,true
PE,CHI,Chincha,Chincha,,RQ,--3-----,,-17.316666666666666,-71,
PE,CAA,Chincha Alta,Chincha Alta,ICA,RL,-----6--,,-13.45,-76.13333333333334,
PE,CBJ,Chincha Baja,Chincha Baja,ICA,RL,-----6--,,-13.466666666666667,-76.16666666666667,
PE,CHS,Chincheros,Chincheros,APU,RL,--3-----,,-13.516666666666667,-73.71666666666667,
PE,CHO,Chorillos,Chorillos,LIM,RL,--3-----,,-12.166666666666666,-77.03333333333333,
PE,CHT,Chota,Chota,CAJ,RL,--3-----,,-6.55,-78.63333333333334,
PE,CHC,Chucuito,Chucuito,PUN,RL,--3-----,,-15.883333333333333,-69.88333333333334,
PE,CUP,Chupaca,Chupaca,JUN,RL,--3-----,,-12.05,-75.28333333333333,
PE,CHP,Churcampa,Churcampa,HUV,RL,--3-----,,-12.733333333333333,-74.38333333333334,
PE,COM,Comas,Comas,LIM,RL,--3-----,,-11.95,-77.06666666666666,
PE,CCP,Concepci�n,Concepcion,JUN,RL,--3-----,,-11.916666666666666,-75.3,
PE,CON,Conch�n,Conchan,,RL,1-3--6--,,-6.416666666666667,-78.66666666666667,
PE,COZ,Contumaz�,Contumaza,CAJ,RL,--3-----,,-7.35,-78.8,
PE,ULY,Coronel Portillo,Coronel Portillo,LOR,RL,--3-----,,-3.25,-76.6,
PE,COR,Corongo,Corongo,ANC,RL,--3-----,,-8.583333333333334,-77.91666666666667,
PE,CUT,Cutervo,Cutervo,CAJ,RL,--3-----,,-6.366666666666666,-78.81666666666666,
PE,CUZ,Cuzco,Cuzco,CUS,AI,--34----,,-13.533333333333333,-71.98333333333333,
PE,DES,Desaguadero,Desaguadero,PUN,RL,--3-----,,-16.566666666666666,-69.05,
PE,EEN,Et�n,Eten,,AI,1-------,,-6.9074587,-79.8628053,true
PE,FER,Ferre�afe,Ferrenafe,LAM,RL,--3-----,,-6.716666666666667,-79.76666666666667,
PE,GSM,General San Martin,General San Martin,,AI,1-------,,-11.0722007,-75.2402034,true
PE,GDP,Guadalupe,Guadalupe,LAL,RL,--3-----,,-7.25,-79.48333333333333,
PE,HYB,Huacaybamba,Huacaybamba,HUC,RL,--3-----,,-9.033333333333333,-76.95,
PE,HCO,Huacho,Huacho,,AI,1-------,,-11.108524,-77.6103295,true
PE,HSA,Huanca Sancos,Huanca Sancos,AYA,RL,--3-----,,-13.766666666666667,-74.31666666666666,
PE,HCB,Huancabamba,Huancabamba,PIU,RL,--3-----,,-5.233333333333333,-79.43333333333334,
PE,HNC,Huancan�,Huancane,PUN,RL,--3-----,,-15.2,-69.75,
PE,HUN,Huancavelica,Huancavelica,HUV,RL,--3-----,,-12.766666666666667,-74.98333333333333,
PE,JHY,Huancayo,Huancayo,JUN,RL,--3-----,,-12.066666666666666,-75.23333333333333,
PE,HNT,Huanta,Huanta,AYA,RL,--3-----,,-12.933333333333334,-74.23333333333333,
PE,HUU,Huanuco,Huanuco,,AI,---4----,,-9.878764400000001,-76.2050891463789,true
PE,HUA,Huaral,Huaral,LIM,RL,-23-----,,-11.483333333333333,-77.2,
PE,HUZ,Huaraz,Huaraz,,RL,--3-----,,-9.533333333333333,-77.53333333333333,
PE,HUI,Huari,Huari,ANC,RL,--3-----,,-9.366666666666667,-77.23333333333333,
PE,HUY,Huarmey,Huarmey,,QQ,1-------,,-10.0687481,-78.152199,true
PE,HYT,Huaytar�,Huaytara,HUV,RL,--3-----,,-13.6,-75.35,
PE,IBP,Iberia,Iberia,,AI,---4----,,-11.41116865,-69.48825228400659,true
PE,ICA,Ica,Ica,ICA,RL,--3-----,,-14.066666666666666,-75.71666666666667,
PE,ILQ,Ilo,Ilo,,AI,1--4----,,-17.693607749999998,-71.34260924492148,true
PE,IQT,Iquitos,Iquitos,,AI,1--4----,,-3.749365,-73.2444145,true
PE,JAE,Ja�n,Jaen,,RL,--3-----,,-5.716666666666667,-78.81666666666666,
PE,JAU,Jauja,Jauja,,AI,---4----,,-11.78358985,-75.47342366163409,true
PE,JJI,Juanju�,Juanjui,SAM,AI,---4----,,-7.183333333333334,-76.75,
PE,JUL,Juliaca,Juliaca,,AI,---4----,,-15.4675133,-70.15717156157692,true
PE,JUN,Jun�n,Junin,JUN,RL,--3-----,,-11.15,-75.98333333333333,
PE,LMC,La Merced,La Merced,JUN,RL,--3-----,,-11.05,-75.33333333333333,
PE,LAM,La Molina,La Molina,LIM,RL,--3-----,,-12.083333333333334,-76.95,
PE,LOA,La Oroya,La Oroya,,RL,--3-----,,-11.5213917,-75.8998811,true
PE,LPP,La Pampilla,La Pampilla,,RQ,1-------,,-12.0961174,-76.4928086,true
PE,LPN,La Planchada,La Planchada,ARE,RL,--3-----,,-16.4,-73.21666666666667,
PE,LAG,Lagunas,Lagunas,LOR,RQ,1-------,,-5.216666666666667,-75.66666666666667,
PE,LMA,Lamas,Lamas,SAM,RL,--3-----,,-6.416666666666667,-76.53333333333333,
PE,LBQ,Lambayeque,Lambayeque,LAM,RL,--3-----,,-6.7,-79.9,
PE,LMP,Lampa,Lampa,PUN,RL,--3-----,,-15.35,-70.35,
PE,LCH,Lauricocha,Lauricocha,HUC,RL,--3-----,,-10.316666666666666,-76.66666666666667,
PE,LIM,Lima,Lima,,AI,1--45---,,-12.160555500000001,-77.0025561016199,true
PE,LCE,Lince,Lince,LIM,RL,--3-----,,12.1,-77.05,
PE,LOB,Lobitos,Lobitos,,AI,1-------,,-4.452793,-81.2777126,true
PE,LOV,Los Olivos,Los Olivos,LIM,RL,--3-----,,-11.85,-76.38333333333334,
PE,LOO,Los Organos,Los Organos,,RL,1-------,,-4.183333333333334,-81.11666666666666,
PE,LUR,Lur�n,Lurin,LIM,RL,--3-----,,-12.283333333333333,-76.86666666666666,
PE,MFT,Machu Picchu,Machu Picchu,,AI,---4----,,-13.1747287,-72.5418769,true
PE,MAG,Magdalena,Magdalena,LIM,RL,-----6--,,-11.65,-76.21666666666667,
PE,MAL,Mala,Mala,LIM,RL,--3-----,,-12.65,-76.63333333333334,
PE,MCA,Mancora,Mancora,,RQ,0-------,,-4.1030531,-81.0481341,true
PE,MAR,Mara,Mara,CUS,RL,--3-----,,-13.316666666666666,-72.15,
PE,MRI,Matarani,Matarani,,AI,1-------,,-16.9999651,-72.093351,true
PE,MOH,Moho,Moho,PUN,RL,--3-----,,-15.35,-69.48333333333333,
PE,MLQ,Mollendo,Mollendo,,AI,1--4----,,-17.0433076,-71.9870406,true
PE,MCH,Monterrico Chico,Monterrico Chico,LIM,RL,-----6--,,-12.1,-76.96666666666667,
PE,MOQ,Moquegua,Moquegua,MOQ,RL,--3-----,,-17.183333333333334,-70.93333333333334,
PE,MRL,Morales,Morales,SAM,RL,-23-----,,-6.466666666666667,-76.46666666666667,
PE,MBA,Moyobamba,Moyobamba,AYA,RL,--3-----,,-14.383333333333333,-73.9,
PE,MBP,Moyobamba,Moyobamba,SAM,AI,---4----,,-6.033333333333333,-76.98333333333333,
PE,NS8,Nasca,Nasca,ICA,RL,--3-----,,-14.816666666666666,-74.93333333333334,
PE,NGS,Negritos,Negritos,,RQ,1-------,,-4.654428,-81.3056025,true
PE,OCR,Ocros,Ocros,ANC,RL,--3-----,,-10.4,-77.38333333333334,
PE,OLM,Olmos,Olmos,LAM,RQ,-----6--,,-5.983333333333333,-79.73333333333333,
PE,OQU,Oquendo,Oquendo,CAL,RL,--3-----,,-11.966666666666667,-77.13333333333334,
PE,OTU,Otuzco,Otuzco,LAL,RL,--3-----,,-7.9,-78.58333333333333,
PE,OYO,Oyon,Oyon,LIM,RL,--3-----,,-10.666666666666666,-76.76666666666667,
PE,PAC,Pacasmayo,Pacasmayo,,AI,1-------,,-7.4028958,-79.5684847,true
PE,PCM,Pachacamac,Pachacamac,LIM,RL,--3-----,,-12.233333333333333,-76.88333333333334,
PE,PAI,Paita,Paita,,AI,1-------,,-5.0851637,-81.1136793,true
PE,PAP,Palpa,Palpa,ICA,RL,--3-----,,-14.533333333333333,-75.18333333333334,
PE,PMC,Pampa Melchorita,Pampa Melchorita,LIM,RL,1-------,,-13.3,-77.78333333333333,
PE,PRC,Paracas,Paracas,ICA,RL,--3-----,,-13.866666666666667,-76.26666666666667,
PE,PAM,Paramonga,Paramonga,,RQ,1-------,,-10.6751894,-77.8185202,true
PE,PAO,Paruro,Paruro,CUS,RL,--3-----,,-13.75,-71.83333333333333,
PE,PAU,Paucartambo,Paucartambo,CUS,RL,--3-----,,-13.3,-71.58333333333333,
PE,PMT,Pimentel,Pimentel,,AI,1-------,,-6.8358356,-79.9358318,true
PE,PIO,Pisco,Pisco,,AI,1--4----,,-13.7099813,-76.2029793,true
PE,PIU,Piura,Piura,,AI,---4----,,-5.1971376,-80.6267237,true
PE,POM,Pomabamba,Pomabamba,ANC,RL,--3-----,,-8.816666666666666,-77.45,
PE,PCL,Pucallpa,Pucallpa,,AI,1--4----,,-8.3775327,-74.5724884327403,true
PE,CXZ,Pueblo Libre,Pueblo Libre,LAL,RL,--3-----,,-8.516666666666667,-77.11666666666666,
PE,PPA,Puente Piedra,Puente Piedra,LIM,RL,--3-----,,-11.866666666666667,-77.05,
PE,PUE,Puerto Callao,Puerto Callao,UCA,RL,--3-----,,-8.35,-74.56666666666666,
PE,PCH,Puerto Chicama,Puerto Chicama,,AI,1-------,,-7.84472,-79.14694,true
PE,PIA,Puerto Inca,Puerto Inca,HUC,RL,--3-----,,-9.366666666666667,-74.95,
PE,PEM,Puerto Maldonado,Puerto Maldonado,,AI,1--4----,,-12.616270199999999,-69.22676615374635,true
PE,PUA,Punchana,Punchana,LOR,RL,--3-----,,-3.716666666666667,-73.23333333333333,
PE,PUN,Puno,Puno,,AI,1-------,,-15.8405962,-70.0279512,true
PE,PHM,Punta Hermosa,Punta Hermosa,LIM,RL,--3-----,,-12.333333333333334,-76.81666666666666,
